,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Elapsed Time,,,,,
,Node Count,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5 ,Average
,1,723,702,724,690,698,707
,2,1162,779,711,909,666,845
,3,768,885,979,913,877,884
,4,1094,825,844,1060,1090,982
,5,779,989,908,1032,1172,976
,6,878,1147,877,931,1030,972
,7,915,970,927,960,972,948
,8,1192,934,1056,869,1031,1016
,9,1200,1195,1010,775,801,996
,10,1332,1322,976,925,865,1084
,11,1107,1074,1130,996,1035,1068
,12,1106,1310,1142,1003,1099,1132
,13,960,1084,1590,1105,979,1143
,14,950,939,1555,1073,1013,1106
,15,1130,1028,938,1352,1156,1120
,16,1016,1112,1023,1231,1204,1117
