Task Count,Iteration 1 Elapsed Time (ms),Iteration 2 Elapsed Time (ms),Iteration 3 Elapsed Time (ms),Iteration 4 Elapsed Time (ms),Iteration 5 Elapsed Time (ms),Iteration 6 Elapsed Time (ms),Iteration 7 Elapsed Time (ms),Iteration 8 Elapsed Time (ms),Iteration 9 Elapsed Time (ms),Iteration 10 Elapsed Time (ms),Average Elapsed Time (ms)
1,4889,4867,4745,4746,4793,4754,4746,4748,4744,4755,4778
2,3631,3639,3632,3635,3629,3626,3624,3627,3630,3619,3629
3,2714,2709,2706,2708,2714,2715,2709,2719,2716,2713,2712
4,2151,2147,2145,2149,2149,2145,2147,2146,2149,2144,2147
5,1773,1771,1773,1772,1772,1778,1768,1771,1771,1769,1771
6,1507,1516,1512,1508,1511,1514,1512,1510,1507,1515,1511
7,1322,1330,1325,1327,1360,1338,1329,1328,1336,1325,1332
8,1171,1163,1171,1172,1191,1164,1185,1171,1172,1177,1173
9,1097,1069,1086,1170,1089,1052,1096,1062,1054,1046,1082
10,998,958,956,959,992,974,979,1001,954,968,973
11,877,873,876,894,908,878,885,881,891,900,886
12,846,811,847,816,835,868,826,831,823,814,831
13,776,769,778,786,774,754,741,776,744,781,767
14,733,730,736,714,745,722,702,696,711,696,718
15,677,672,691,702,685,711,711,693,673,656,687
16,663,634,630,675,671,656,665,620,658,680,655
17,667,659,651,643,639,651,638,652,640,656,649
18,645,625,605,597,593,657,625,620,669,655,629
19,586,589,670,644,584,634,594,564,599,625,608
20,679,604,637,608,643,546,639,609,651,590,620
