"Task Count","Iteration 1 Elapsed Time (ms)","Iteration 2 Elapsed Time (ms)","Iteration 3 Elapsed Time (ms)","Iteration 4 Elapsed Time (ms)","Iteration 5 Elapsed Time (ms)","Iteration 6 Elapsed Time (ms)","Iteration 7 Elapsed Time (ms)","Iteration 8 Elapsed Time (ms)","Iteration 9 Elapsed Time (ms)","Iteration 10 Elapsed Time (ms)","Average Elapsed Time (ms)"
"1","9112","4782","4781","4750","4767","4734","4757","4684","4724","4758","5184"
"1","3609","3653","3599","3618","3610","3617","3605","3627","3604","3601","3614"
"1","2704","2681","2703","2695","2695","2701","2695","2699","2693","2697","2696"
"1","2125","2115","2128","2124","2130","2122","2123","2124","2122","2116","2122"
"1","1756","1752","1761","1748","1753","1732","1761","1749","1754","1750","1751"
"1","1495","1495","1496","1495","1492","1500","1501","1487","1490","1495","1494"
"1","1303","1301","1304","1312","1299","1292","1300","1309","1307","1298","1302"
"1","1150","1156","1152","1158","1151","1151","1150","1167","1150","1141","1152"
"1","1027","1043","1039","1028","1046","1045","1035","1042","1033","1029","1036"
"1","935","938","933","940","935","946","935","935","953","939","938"
"1","853","861","853","870","886","861","870","893","862","865","867"
"1","816","784","832","805","797","822","785","802","796","788","802"
"1","770","778","735","764","768","740","734","736","761","735","752"
"1","686","730","680","695","723","731","700","728","713","682","706"
"1","668","695","672","686","675","706","665","677","677","682","680"
"1","652","606","603","624","643","641","648","612","615","607","625"
"1","609","598","617","603","599","630","621","590","614","605","608"
"1","589","573","587","587","577","595","590","607","578","611","589"
"1","598","577","567","561","585","560","612","559","569","575","576"
"1","546","530","542","554","576","542","542","504","552","552","544"
