Task Count,Iteration 1 Elapsed Time (ms),Iteration 2 Elapsed Time (ms),Iteration 3 Elapsed Time (ms),Iteration 4 Elapsed Time (ms),Iteration 5 Elapsed Time (ms),Iteration 6 Elapsed Time (ms),Iteration 7 Elapsed Time (ms),Iteration 8 Elapsed Time (ms),Iteration 9 Elapsed Time (ms),Iteration 10 Elapsed Time (ms),Average Elapsed Time (ms)
1,5309,4762,4729,4717,4727,4737,4710,4733,4732,4714,4787
2,3610,3599,3611,3631,3621,3616,3627,3622,3603,3594,3613
3,2680,2704,2695,2687,2707,2708,2705,2702,2714,2704,2700
4,2132,2134,2128,2130,2131,2140,2133,2116,2133,2133,2131
5,1759,1764,1759,1757,1760,1770,1757,1759,1758,1757,1760
6,1496,1492,1492,1493,1505,1496,1494,1495,1501,1489,1495
7,1301,1307,1306,1306,1304,1302,1309,1308,1296,1303,1304
8,1159,1153,1154,1149,1152,1149,1164,1155,1163,1154,1155
9,1037,1033,1036,1042,1041,1046,1028,1039,1031,1042,1037
10,938,946,933,933,936,937,938,958,956,933,940
11,875,885,854,860,864,886,876,857,858,878,869
12,831,816,822,828,807,793,832,813,828,797,816
13,776,748,761,746,761,740,745,750,771,768,756
14,721,721,729,727,700,712,721,695,699,686,711
15,669,692,665,643,683,686,651,644,690,667,669
16,613,655,633,639,649,641,650,648,652,644,642
17,620,629,631,611,627,639,613,603,617,619,620
18,583,598,604,625,610,620,615,608,597,616,607
19,617,609,593,600,608,604,609,622,614,601,607
20,617,585,602,590,591,596,618,602,595,598,599
