"Task Count","Iteration 1 Elapsed Time (ms)","Iteration 2 Elapsed Time (ms)","Iteration 3 Elapsed Time (ms)","Iteration 4 Elapsed Time (ms)","Iteration 5 Elapsed Time (ms)","Iteration 6 Elapsed Time (ms)","Iteration 7 Elapsed Time (ms)","Iteration 8 Elapsed Time (ms)","Iteration 9 Elapsed Time (ms)","Iteration 10 Elapsed Time (ms)","Average Elapsed Time (ms)"
"1","5350","4869","4875","4865","4870","4872","4870","4857","4870","4867","4916"
"1","3732","3726","3628","3726","3731","3731","3627","3632","3641","3734","3690"
"1","2696","2711","2715","2712","2709","2749","2713","2713","2722","2753","2719"
"1","2203","2149","2170","2146","2201","2216","2144","2147","2148","2143","2166"
"1","1820","1770","1773","1772","1818","1767","1769","1770","1820","1815","1789"
"1","1547","1548","1524","1505","1548","1508","1508","1512","1511","1511","1522"
"1","1312","1313","1315","1312","1320","1311","1312","1312","1312","1320","1313"
"1","1171","1162","1176","1170","1187","1166","1162","1191","1174","1188","1174"
"1","1046","1052","1057","1089","1087","1055","1079","1050","1044","1055","1061"
"1","959","981","1006","1004","979","957","969","961","982","962","976"
"1","887","881","872","874","874","892","891","922","875","910","887"
"1","836","830","833","824","849","832","816","825","842","814","830"
"1","783","752","801","792","815","822","770","793","803","807","793"
"1","757","765","786","732","748","780","783","732","761","750","759"
"1","708","702","718","710","724","725","687","713","733","741","716"
"1","750","706","713","708","697","677","678","649","677","716","697"
"1","679","649","666","684","676","682","659","640","627","687","664"
"1","610","663","658","636","616","708","688","664","625","607","647"
"1","668","638","634","656","639","623","645","646","664","606","641"
"1","645","587","565","599","582","617","614","576","656","560","600"
