"Task Count","Iteration 1 Elapsed Time (ms)","Iteration 2 Elapsed Time (ms)","Iteration 3 Elapsed Time (ms)","Iteration 4 Elapsed Time (ms)","Iteration 5 Elapsed Time (ms)","Iteration 6 Elapsed Time (ms)","Iteration 7 Elapsed Time (ms)","Iteration 8 Elapsed Time (ms)","Iteration 9 Elapsed Time (ms)","Iteration 10 Elapsed Time (ms)","Average Elapsed Time (ms)"
"1","4723","4698","4739","4723","4708","4729","4715","4712","4721","4750","4721"
"1","3603","3615","3618","3625","3606","3596","3592","3607","3624","3622","3610"
"1","2697","2697","2707","2702","2709","2679","2696","2671","2688","2676","2692"
"1","2121","2132","2120","2117","2139","2148","2124","2143","2146","2119","2130"
"1","1755","1753","1748","1771","1753","1757","1751","1761","1758","1753","1756"
"1","1488","1496","1499","1493","1507","1499","1501","1503","1489","1498","1497"
"1","1298","1305","1299","1303","1293","1304","1296","1303","1293","1299","1299"
"1","1148","1148","1146","1161","1147","1149","1145","1161","1148","1145","1149"
"1","1033","1040","1035","1041","1030","1035","1034","1036","1025","1035","1034"
"1","943","937","940","950","936","960","941","960","967","947","948"
"1","853","862","854","886","884","865","861","853","879","867","866"
"1","789","814","794","808","801","822","822","822","791","808","807"
"1","734","737","761","772","748","738","758","743","777","732","750"
"1","729","696","732","715","724","695","713","691","734","687","711"
"1","684","669","652","663","668","687","681","668","648","657","667"
"1","605","630","621","637","621","647","632","646","607","639","628"
"1","614","616","605","609","612","621","594","619","610","613","611"
"1","594","579","566","573","587","588","565","568","569","583","577"
"1","561","560","597","589","570","564","528","565","556","558","564"
"1","510","548","541","572","556","547","560","518","530","567","544"
