Task Count,Iteration 1 Elapsed Time (ms),Iteration 2 Elapsed Time (ms),Iteration 3 Elapsed Time (ms),Iteration 4 Elapsed Time (ms),Iteration 5 Elapsed Time (ms),Iteration 6 Elapsed Time (ms),Iteration 7 Elapsed Time (ms),Iteration 8 Elapsed Time (ms),Iteration 9 Elapsed Time (ms),Iteration 10 Elapsed Time (ms),Average Elapsed Time (ms)
1,4862,4696,4691,4692,4696,4703,4712,4695,4684,4712,4714
2,3636,3625,3645,3591,3631,3618,3605,3693,3595,3625,3626
3,2708,2803,2789,2712,2805,2681,2673,2735,2807,2799,2751
4,2127,2128,2122,2221,2122,2130,2119,2118,2116,2121,2132
5,1744,1761,1743,1757,1761,1755,1747,1763,1777,1747,1755
6,1485,1488,1542,1489,1497,1482,1545,1485,1494,1483,1499
7,1301,1355,1295,1314,1301,1331,1290,1312,1304,1346,1314
8,1182,1144,1143,1142,1149,1165,1159,1153,1156,1163,1155
9,1029,1073,1028,1025,1041,1055,1040,1029,1030,1029,1037
10,954,959,937,943,933,931,933,939,934,938,940
11,883,853,855,855,872,858,872,856,889,851,864
12,782,835,787,821,800,789,793,802,806,799,801
13,735,764,728,739,733,722,732,759,762,769,744
14,720,703,728,711,727,679,717,708,701,699,709
15,662,638,643,666,657,652,687,667,677,670,661
16,634,638,644,625,629,642,626,635,651,644,636
17,627,583,585,611,625,591,609,623,590,614,605
18,561,565,563,586,562,579,575,582,585,579,573
19,542,552,542,546,540,530,547,556,540,545,544
20,513,518,515,525,514,523,521,545,531,532,523
