Task Count,Iteration 1 Elapsed Time (ms),Iteration 2 Elapsed Time (ms),Iteration 3 Elapsed Time (ms),Iteration 4 Elapsed Time (ms),Iteration 5 Elapsed Time (ms),Iteration 6 Elapsed Time (ms),Iteration 7 Elapsed Time (ms),Iteration 8 Elapsed Time (ms),Iteration 9 Elapsed Time (ms),Iteration 10 Elapsed Time (ms),Average Elapsed Time (ms)
1,6803,4911,4746,4723,4706,4700,4685,4915,4767,4719,4967
2,3630,3638,3723,3591,3609,3702,3739,3712,3612,3591,3654
3,2787,2686,2694,2719,2700,2802,2696,2808,2751,2676,2731
4,2198,2117,2118,2128,2128,2126,2129,2186,2175,2121,2142
5,1750,1752,1781,1752,1782,1752,1762,1750,1813,1749,1764
6,1490,1508,1525,1489,1493,1488,1492,1485,1523,1549,1504
7,1333,1298,1296,1296,1307,1318,1298,1294,1300,1293,1303
8,1177,1145,1144,1142,1141,1146,1147,1144,1151,1140,1147
9,1032,1026,1031,1024,1057,1026,1046,1028,1029,1032,1033
10,954,954,961,955,953,933,938,931,934,928,944
11,886,885,871,858,886,871,875,859,883,849,872
12,835,820,805,811,827,802,828,863,789,784,816
13,776,774,729,754,761,728,732,732,769,750,750
14,712,681,683,719,730,708,683,728,696,684,702
15,689,687,707,716,673,691,648,649,668,665,679
16,617,612,610,653,655,675,632,667,657,648,642
17,628,625,598,628,658,641,591,624,592,635,622
18,614,595,613,617,615,615,607,625,604,603,610
19,605,586,585,619,619,594,596,617,600,616,603
20,603,603,589,633,609,594,603,594,607,602,603
