,,,,,,,,,,,,,,,,,
,Naive Implementation,,,,,,,,,,,,,,,,
,Task Count,Elapsed Time (ms),,,,,,,,,,,Naive Speedup,,Task Count,Naive Speedup,Tuned Speedup
,,Iteration 1 ,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Average ,,,1,1,1
,1,4862,4696,4691,4692,4696,4703,4712,4695,4684,4712,4714,1,,2,1.30005515719801,1.35933223864258
,2,3636,3625,3645,3591,3631,3618,3605,3693,3595,3625,3626,1.30005515719801,,3,1.71355870592512,1.818747711461
,3,2708,2803,2789,2712,2805,2681,2673,2735,2807,2799,2751,1.71355870592512,,4,2.21106941838649,2.31886087768441
,4,2127,2128,2122,2221,2122,2130,2119,2118,2116,2121,2132,2.21106941838649,,5,2.68603988603989,2.81575963718821
,5,1744,1761,1743,1757,1761,1755,1747,1763,1777,1747,1755,2.68603988603989,,6,3.1447631754503,3.30252659574468
,6,1485,1488,1542,1489,1497,1482,1545,1485,1494,1483,1499,3.1447631754503,,7,3.58751902587519,3.8119723714505
,7,1301,1355,1295,1314,1301,1331,1290,1312,1304,1346,1314,3.58751902587519,,8,4.08138528138528,4.33042720139494
,8,1182,1144,1143,1142,1149,1165,1159,1153,1156,1163,1155,4.08138528138528,,9,4.54580520732883,4.80832526621491
,9,1029,1073,1028,1025,1041,1055,1040,1029,1030,1029,1037,4.54580520732883,,10,5.01489361702128,5.26165254237288
,10,954,959,937,943,933,931,933,939,934,938,940,5.01489361702128,,11,5.45601851851852,5.69610091743119
,11,883,853,855,855,872,858,872,856,889,851,864,5.45601851851852,,12,5.88514357053683,6.08700980392157
,12,782,835,787,821,800,789,793,802,806,799,801,5.88514357053683,,13,6.33602150537634,6.62266666666667
,13,735,764,728,739,733,722,732,759,762,769,744,6.33602150537634,,14,6.64880112834979,7.07549857549858
,14,720,703,728,711,727,679,717,708,701,699,709,6.64880112834979,,15,7.13161875945537,7.31516936671576
,15,662,638,643,666,657,652,687,667,677,670,661,7.13161875945537,,16,7.41194968553459,7.73676012461059
,16,634,638,644,625,629,642,626,635,651,644,636,7.41194968553459,,17,7.79173553719008,7.98553054662379
,17,627,583,585,611,625,591,609,623,590,614,605,7.79173553719008,,18,8.22687609075044,8.14262295081967
,18,561,565,563,586,562,579,575,582,585,579,573,8.22687609075044,,19,8.66544117647059,8.23714759535655
,19,542,552,542,546,540,530,547,556,540,545,544,8.66544117647059,,20,9.01338432122371,8.23714759535655
,20,513,518,515,525,514,523,521,545,531,532,523,9.01338432122371,,,,
,,,,,,,,,,,,,,,,,
,Tuned Implementation,,,,,,,,,,,,,,,,
,Task Count,Elapsed Time (ms),,,,,,,,,,,Tuned Speedup,,,,
,,Iteration 1 ,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Average ,,,,,
,1,6803,4911,4746,4723,4706,4700,4685,4915,4767,4719,4967,1,,,,
,2,3630,3638,3723,3591,3609,3702,3739,3712,3612,3591,3654,1.35933223864258,,,,
,3,2787,2686,2694,2719,2700,2802,2696,2808,2751,2676,2731,1.818747711461,,,,
,4,2198,2117,2118,2128,2128,2126,2129,2186,2175,2121,2142,2.31886087768441,,,,
,5,1750,1752,1781,1752,1782,1752,1762,1750,1813,1749,1764,2.81575963718821,,,,
,6,1490,1508,1525,1489,1493,1488,1492,1485,1523,1549,1504,3.30252659574468,,,,
,7,1333,1298,1296,1296,1307,1318,1298,1294,1300,1293,1303,3.8119723714505,,,,
,8,1177,1145,1144,1142,1141,1146,1147,1144,1151,1140,1147,4.33042720139494,,,,
,9,1032,1026,1031,1024,1057,1026,1046,1028,1029,1032,1033,4.80832526621491,,,,
,10,954,954,961,955,953,933,938,931,934,928,944,5.26165254237288,,,,
,11,886,885,871,858,886,871,875,859,883,849,872,5.69610091743119,,,,
,12,835,820,805,811,827,802,828,863,789,784,816,6.08700980392157,,,,
,13,776,774,729,754,761,728,732,732,769,750,750,6.62266666666667,,,,
,14,712,681,683,719,730,708,683,728,696,684,702,7.07549857549858,,,,
,15,689,687,707,716,673,691,648,649,668,665,679,7.31516936671576,,,,
,16,617,612,610,653,655,675,632,667,657,648,642,7.73676012461059,,,,
,17,628,625,598,628,658,641,591,624,592,635,622,7.98553054662379,,,,
,18,614,595,613,617,615,615,607,625,604,603,610,8.14262295081967,,,,
,19,605,586,585,619,619,594,596,617,600,616,603,8.23714759535655,,,,
,20,603,603,589,633,609,594,603,594,607,602,603,8.23714759535655,,,,
