"Job Count","Average Result","Average Job Runtime (ms)","Average Total Runtime (ms)"
"1","3.141577312499999","38","44"
"2","3.1415790875000003","48","51"
"3","3.1416002916666668","66","70"
"4","3.141592035625","83","88"
"5","3.1415711640000006","102","108"
"6","3.141574084166666","119","126"
"7","3.1416010621428567","138","146"
"8","3.1415829809375015","155","163"
"9","3.141607803888887","177","186"
"10","3.1415923849999996","194","206"
"11","3.141582572727273","212","224"
"12","3.141585213958334","229","243"
"13","3.141596087307694","244","259"
"14","3.141605831785715","265","280"
"15","3.1415958181666674","281","298"
"16","3.1415783298437505","298","319"
