"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.142168","132","3.1418105","237","3.14072425","242","3.14118425","242","3.141634","199","3.1412725","236","3.141081","199","3.141533","236","3.141933","236","3.14161775","222","3.14177925","247","3.14183975","244","3.1415481041666666","222","258"
"2","3.1414145","227","3.142303","227","3.14134125","226","3.14195575","227","3.1417015","222","3.14193125","237","3.141671","235","3.140954","238","3.142088","222","3.1409605","228","3.14244","237","3.14233775","236","3.1417582083333335","230","239"
"3","3.1415695","221","3.1408685","225","3.1417405","205","3.14161925","233","3.14157975","225","3.14122525","236","3.14181825","229","3.14142625","221","3.14119325","235","3.1418495","231","3.14151725","181","3.142106","186","3.141542770833333","219","236"
"4","3.14168675","229","3.14176875","236","3.141808","239","3.1418185","231","3.14159325","221","3.14119175","239","3.14200775","238","3.1414725","229","3.141067","221","3.141271","231","3.14234","231","3.141703","239","3.141644020833333","232","240"
"5","3.14133225","208","3.14165125","228","3.1420595","230","3.1420675","237","3.14133875","214","3.1418685","229","3.14168075","230","3.1411485","236","3.1419905","233","3.14152","236","3.14132075","231","3.142116","237","3.1416745208333334","229","238"
"6","3.14116975","63","3.14141475","232","3.1411645","232","3.14063325","232","3.14166175","242","3.14138475","241","3.141039","241","3.14164025","238","3.1419735","232","3.1413305","241","3.14170475","227","3.14200875","243","3.141427125","222","245"
"7","3.141044","177","3.14171725","227","3.14130725","233","3.14226025","217","3.14119875","233","3.14205325","210","3.141032","233","3.14208075","217","3.142031","236","3.140846","235","3.1407735","227","3.14201025","227","3.1415295208333336","222","237"
"8","3.1411675","203","3.141679","239","3.1413685","239","3.1410495","239","3.14153275","246","3.141654","243","3.141635","239","3.14134","248","3.14120425","236","3.141733","247","3.1407465","246","3.141055","243","3.1413470833333332","239","248"
"9","3.141647","239","3.14152175","247","3.1416725","245","3.141388","243","3.14205775","247","3.1418475","246","3.14188475","254","3.14181525","243","3.1419495","248","3.141482","254","3.14187525","231","3.14174425","251","3.141740458333333","245","254"
"10","3.14213625","207","3.14111525","239","3.14135725","248","3.14123625","240","3.14156175","230","3.14210975","230","3.1416125","244","3.14082125","234","3.14096275","207","3.141921","234","3.1413235","234","3.14154525","241","3.141475229166667","232","248"
"11","3.142148","216","3.1416875","224","3.1417905","231","3.141421","225","3.14199675","222","3.14110125","235","3.14164425","224","3.14059825","216","3.141664","203","3.141834","222","3.14114225","224","3.14184925","224","3.141573083333333","222","235"
"12","3.14175425","201","3.14151875","234","3.14196825","241","3.14186225","241","3.1416985","240","3.142169","241","3.1423205","234","3.14108025","201","3.14063375","234","3.141983","242","3.1417775","234","3.1415865","234","3.1416960416666666","231","243"
"13","3.14153675","214","3.14167525","233","3.14153725","241","3.14158975","239","3.1418145","233","3.141844","231","3.1416775","245","3.14153925","233","3.14146575","241","3.141249","231","3.14145575","232","3.142041","244","3.1416188125000004","234","245"
"14","3.1416535","192","3.141225","233","3.141491","234","3.141596","233","3.14147225","239","3.14197","240","3.1419535","233","3.14101675","233","3.142334","233","3.14193125","235","3.1418565","233","3.141127","240","3.1416355624999994","231","241"
"15","3.14069425","221","3.1420065","204","3.14109025","221","3.141758","222","3.14200475","224","3.14194225","231","3.14115125","214","3.14276775","221","3.14104625","231","3.14199725","214","3.141552","231","3.1418525","231","3.1416552499999995","222","231"
"16","3.14110975","192","3.1419635","192","3.1418465","218","3.14135625","222","3.141558","215","3.1409545","227","3.14167225","217","3.1411265","228","3.1420855","224","3.141583","220","3.14152525","215","3.14151875","228","3.141524979166667","216","228"
"17","3.14095275","60","3.141086","237","3.14207925","242","3.141919","237","3.1411355","233","3.14206025","244","3.14260475","237","3.1409755","245","3.142244","227","3.141729","246","3.1411595","230","3.14137875","245","3.1416103541666662","223","246"
"18","3.14150125","166","3.140573","240","3.14145075","239","3.14088125","238","3.14229875","238","3.14074625","249","3.141733","238","3.1417905","247","3.14121475","247","3.140598","247","3.1418845","240","3.1416165","238","3.1413573749999997","235","249"
"19","3.14130325","218","3.142344","234","3.14151325","234","3.141115","241","3.14155475","238","3.14109675","241","3.141594","238","3.141337","249","3.14121275","248","3.14194875","249","3.141579","249","3.1422885","249","3.141573916666667","240","249"
"20","3.141391","229","3.1412365","241","3.14139525","245","3.141694","238","3.1411645","246","3.142218","245","3.1418505","241","3.14199","238","3.1420205","238","3.141606","238","3.14186575","238","3.14161025","239","3.1416701875000004","239","246"
"21","3.14159625","173","3.14177025","148","3.1417615","252","3.1423365","254","3.14108175","249","3.14255225","232","3.142204","251","3.1417495","249","3.141514","232","3.14189175","250","3.141051","250","3.14182475","249","3.1417777916666663","232","254"
"22","3.1417215","244","3.14187425","234","3.140934","242","3.141424","248","3.14089425","248","3.1418695","246","3.14206775","247","3.14163875","244","3.14224275","220","3.141803","244","3.14101975","244","3.141655","244","3.1415953749999996","242","248"
"23","3.14135425","69","3.14179775","250","3.14090825","255","3.141859","250","3.14122","251","3.14215625","250","3.1414455","251","3.14166525","251","3.14192775","250","3.14190075","251","3.14126675","254","3.14197075","251","3.1416226875","236","255"
"24","3.14163925","166","3.1422665","156","3.1413615","216","3.14176175","238","3.14154575","230","3.14126175","240","3.1413615","243","3.1414545","233","3.14075225","233","3.1418945","241","3.142218","242","3.1414855","241","3.1415835624999997","223","243"
"25","3.14195525","237","3.141815","237","3.141737","237","3.14156625","237","3.14153825","238","3.14178475","246","3.141923","237","3.1414955","237","3.14151475","244","3.1406735","237","3.142654","237","3.14094075","246","3.1416331666666664","239","246"
"26","3.1420835","239","3.1411975","245","3.141351","226","3.1419595","250","3.14255075","241","3.14197625","241","3.1406775","250","3.141286","248","3.141975","248","3.1410465","241","3.140753","242","3.141618","246","3.1415395416666665","243","251"
"27","3.141135","245","3.14186775","256","3.1420235","247","3.14150575","245","3.14153925","252","3.14115575","255","3.14189175","251","3.141547","235","3.14164775","251","3.140583","248","3.14207875","245","3.1410015","245","3.1414980625","247","256"
"28","3.1415565","209","3.141483","230","3.1416345","235","3.14165175","222","3.14158675","237","3.14068775","223","3.1420065","217","3.14259575","230","3.14171475","236","3.14108425","239","3.14198075","239","3.14146225","230","3.141620375","228","239"
"29","3.14118425","216","3.142291","244","3.1424815","235","3.1410505","243","3.14158175","246","3.1421735","230","3.14078875","245","3.1416885","252","3.141635","245","3.14135325","245","3.1414315","244","3.14214425","249","3.141650312500001","241","252"
"30","3.14119825","191","3.1418825","237","3.14138725","229","3.1414635","242","3.14168025","240","3.141127","235","3.14181775","243","3.1407435","233","3.14152225","244","3.1415255","246","3.14106475","243","3.14155975","246","3.141414354166667","235","246"
"31","3.14154875","237","3.1412305","239","3.14142675","230","3.14242875","213","3.14209525","230","3.1408995","233","3.1415105","236","3.142344","229","3.14152725","229","3.14252675","241","3.1416635","229","3.14136825","229","3.1417141458333333","231","241"
"32","3.14105","72","3.14214175","217","3.14216675","218","3.14198775","218","3.14089675","224","3.14200275","230","3.14121225","223","3.140914","228","3.1417965","229","3.141115","222","3.14152825","222","3.14171525","218","3.141543916666666","210","230"
"33","3.14089975","224","3.14139675","224","3.141751","227","3.14171625","224","3.1421585","233","3.141884","224","3.14060075","236","3.1409615","229","3.141723","236","3.14241525","236","3.14173825","214","3.1413585","228","3.141550291666667","227","236"
"34","3.142608","161","3.1410285","161","3.1411255","190","3.14228675","220","3.1415575","232","3.14122575","232","3.1415085","233","3.1414695","241","3.14079475","231","3.14111525","236","3.14143925","234","3.1420355","237","3.1415162291666667","217","244"
"35","3.14164125","107","3.14142425","173","3.14201125","228","3.14139775","200","3.14137075","196","3.14175525","230","3.1418915","230","3.141226","200","3.14191925","231","3.141946","230","3.1410425","239","3.141105","238","3.1415608958333334","208","239"
"36","3.14164575","193","3.1405685","223","3.141113","224","3.14182725","224","3.1409155","229","3.14205175","210","3.14194425","228","3.14204975","220","3.140972","215","3.140961","224","3.1410145","226","3.14172375","223","3.1413989166666663","219","229"
"37","3.1417745","231","3.141457","228","3.1418195","234","3.14141225","240","3.141068","228","3.1415185","228","3.141354","235","3.1413975","227","3.1408665","227","3.14151175","240","3.14158625","235","3.1409205","240","3.1413905208333333","232","241"
"38","3.14150325","223","3.1414085","223","3.14085475","230","3.14199875","182","3.14183975","237","3.14195725","229","3.1413205","222","3.14149075","237","3.1415225","230","3.14131375","224","3.14056175","222","3.14175225","229","3.1414603124999996","224","237"
"39","3.142136","235","3.141986","223","3.141718","242","3.14174075","238","3.141642","238","3.14115725","238","3.14141525","231","3.1410875","246","3.14177625","237","3.14107725","244","3.14204675","233","3.14161875","232","3.1416168125","236","246"
"40","3.141552","162","3.14229775","162","3.14135925","161","3.14200525","165","3.14284575","215","3.140938","214","3.14131075","211","3.141019","208","3.14195475","211","3.14106675","210","3.1414105","199","3.1417075","209","3.141622270833333","193","232"
"41","3.14128025","181","3.14112875","193","3.141836","239","3.1414755","232","3.14142925","248","3.14098825","243","3.14192425","239","3.14168925","239","3.14156225","243","3.14123175","247","3.1410285","251","3.1411405","243","3.1413928749999993","233","251"
"42","3.14149625","221","3.14187","245","3.14126475","244","3.141884","244","3.14227275","241","3.141765","237","3.14094725","237","3.142475","237","3.142615","239","3.14247425","239","3.1416765","240","3.14229775","237","3.1419198749999997","238","245"
"43","3.141731","231","3.141097","240","3.14243675","240","3.142308","231","3.14191325","232","3.14118125","240","3.14222325","231","3.141487","240","3.14137375","232","3.1419855","239","3.14098275","232","3.1409745","238","3.1416411666666666","235","241"
"44","3.141799","228","3.14158475","229","3.14187325","244","3.1418845","229","3.14174275","229","3.1415245","228","3.14167475","243","3.141149","201","3.1412205","243","3.1407675","214","3.14216475","228","3.141594","228","3.141581604166666","228","244"
"45","3.14170025","50","3.14178275","228","3.141429","231","3.14190775","239","3.140966","224","3.14179225","235","3.140945","236","3.14109775","230","3.14124675","228","3.140961","228","3.141177","223","3.14219025","217","3.1414329791666664","214","239"
"46","3.14124475","251","3.1412395","255","3.1418025","251","3.141312","264","3.14148","255","3.14135075","261","3.14121075","254","3.1415925","264","3.141647","251","3.1418115","259","3.14173825","264","3.14156225","260","3.1414993124999993","257","264"
"47","3.1411805","236","3.14096325","243","3.14196","250","3.14142475","262","3.14193075","262","3.14244675","260","3.14153025","250","3.1420195","253","3.1412715","250","3.142664","253","3.1414755","250","3.14099225","263","3.141654916666667","252","263"
"48","3.14172425","236","3.1417175","237","3.140945","236","3.1414965","244","3.14175025","246","3.1420925","236","3.14225325","243","3.1415075","236","3.141942","242","3.141601","246","3.14119825","229","3.14137675","236","3.1416337291666667","238","246"
"49","3.141485","234","3.141891","235","3.141459","236","3.14096325","235","3.14168575","234","3.1411605","216","3.1415185","241","3.141435","235","3.1412415","229","3.14153825","234","3.14158425","229","3.14123375","241","3.1414329791666664","233","241"
"50","3.1417545","266","3.14266675","241","3.1421045","266","3.14094525","247","3.14177075","228","3.14100925","260","3.14129025","267","3.14168625","268","3.1410285","260","3.14155875","261","3.1414805","211","3.141461","227","3.1415630208333334","250","268"
"51","3.14186425","246","3.14175875","246","3.141137","249","3.141442","246","3.141835","258","3.1418175","252","3.14183725","249","3.1420935","249","3.14144275","249","3.141904","249","3.141572","251","3.140976","249","3.1416400000000007","249","258"
"52","3.14124675","137","3.1416465","254","3.1418725","237","3.1419405","254","3.14242825","257","3.14147725","224","3.14150325","255","3.1417565","250","3.142077","254","3.14126525","255","3.14161725","254","3.14101","247","3.1416534166666668","239","257"
"53","3.14159925","243","3.141378","237","3.14116425","236","3.14131675","244","3.14093425","239","3.14139275","243","3.141364","242","3.1418665","231","3.14112975","212","3.14161825","231","3.14206425","241","3.14133425","236","3.1414301874999997","236","245"
"54","3.14224925","244","3.1412625","248","3.14166225","254","3.1421255","249","3.14109575","248","3.141709","254","3.14082475","248","3.14151175","253","3.1417575","252","3.141107","243","3.14129925","235","3.1420685","247","3.141556083333334","247","254"
"55","3.14184825","237","3.1417765","238","3.14072575","233","3.141734","239","3.141585","234","3.141983","237","3.14208975","233","3.14206","233","3.14142425","233","3.141418","237","3.1412575","236","3.1418645","238","3.141647208333333","235","239"
"56","3.14206225","241","3.142346","237","3.14212025","238","3.14184425","222","3.14200325","231","3.142125","222","3.14171425","233","3.14187425","232","3.14212725","229","3.1415145","233","3.1420935","232","3.142068","236","3.1419910625000003","232","241"
"57","3.14098675","172","3.141089","226","3.14149125","227","3.14156375","219","3.14180475","219","3.1414635","229","3.14239425","229","3.14112125","227","3.1416575","213","3.14247325","213","3.1414095","221","3.1415435","223","3.1415831875","218","229"
"58","3.14179175","146","3.1421595","229","3.14199475","232","3.141327","227","3.14065825","228","3.14119525","234","3.14136425","228","3.14146075","229","3.142278","235","3.1415085","236","3.14170975","226","3.14203775","236","3.141623791666667","223","237"
"59","3.142196","242","3.14175425","229","3.14155125","229","3.14147725","235","3.14133525","229","3.14025475","229","3.1407725","232","3.14122025","231","3.141977","236","3.14158525","223","3.1415065","238","3.14177425","233","3.141450375","232","242"
"60","3.14094575","216","3.14243225","220","3.140779","234","3.140967","237","3.14190825","213","3.1419095","233","3.14139175","239","3.1417185","233","3.141332","234","3.141986","236","3.1421915","231","3.14198975","236","3.141629270833333","230","239"
"61","3.141533","180","3.141738","218","3.14181275","197","3.14160025","218","3.142006","231","3.141754","226","3.141255","223","3.14135125","218","3.1421335","218","3.141644","217","3.1410465","229","3.14144925","218","3.1416102916666664","216","231"
"62","3.14132475","75","3.140896","75","3.14156125","232","3.141219","232","3.14144425","225","3.141432","232","3.14194425","232","3.14120275","235","3.14099225","242","3.1419095","241","3.141918","241","3.140821","243","3.141388750000001","208","246"
"63","3.141596","196","3.141422","223","3.14210675","238","3.1412055","199","3.1414965","238","3.14106775","238","3.14138825","225","3.1414665","206","3.1423155","225","3.14170475","226","3.14076975","239","3.14149","225","3.1415024374999994","223","239"
"64","3.14155825","228","3.14089425","225","3.1420985","237","3.14107675","210","3.14115125","238","3.14101775","234","3.141728","227","3.1403825","231","3.14174075","230","3.14207275","220","3.14224825","234","3.141795","228","3.141480333333334","228","238"
"65","3.1415585","222","3.14284125","225","3.14179025","208","3.14157125","222","3.1419875","222","3.14185575","235","3.1414585","225","3.141391","235","3.14255425","229","3.1418115","235","3.141605","225","3.141868","235","3.1418577291666665","226","235"
"66","3.1408435","220","3.141231","220","3.14094075","224","3.1413505","222","3.14250675","228","3.14150975","230","3.14170875","226","3.1417885","220","3.1410455","222","3.14131675","220","3.14161","220","3.14192825","229","3.141481666666667","223","230"
"67","3.1417075","228","3.1423095","230","3.141772","225","3.14137025","218","3.1416105","225","3.1414545","227","3.14163275","185","3.141689","230","3.14116975","235","3.14212975","235","3.14116625","223","3.14115525","225","3.14159725","223","238"
"68","3.142312","235","3.14203","235","3.141124","231","3.141408","232","3.14101475","240","3.1414685","227","3.141548","238","3.14130275","236","3.1414195","235","3.14210775","235","3.14152175","227","3.14137425","239","3.1415526041666673","234","240"
"69","3.1412455","152","3.1413385","189","3.1418625","182","3.140719","179","3.14181","234","3.1414165","234","3.1416845","234","3.14162525","234","3.141285","234","3.1423265","234","3.1415465","234","3.142596","234","3.1416213124999994","214","234"
"70","3.14182825","224","3.14252775","225","3.14212575","226","3.141958","224","3.1416585","225","3.1418915","217","3.1427265","224","3.1420025","217","3.1422545","233","3.14193525","223","3.141989","231","3.14192625","231","3.1420686458333336","225","233"
"71","3.14224725","257","3.1422875","233","3.141437","258","3.1419575","247","3.14134775","257","3.1423915","224","3.141504","247","3.14214275","257","3.141009","249","3.141837","257","3.14174925","249","3.14132775","257","3.1417698541666668","249","258"
"72","3.141586","246","3.14185725","256","3.141251","239","3.14142025","256","3.14115525","249","3.14184125","255","3.1410215","246","3.14124425","256","3.1418185","247","3.1418005","247","3.14182525","251","3.14086175","246","3.1414735625","249","256"
"73","3.1417935","249","3.1419745","246","3.14232025","248","3.14193075","248","3.14105875","249","3.141697","250","3.140961","248","3.14183125","248","3.141973","249","3.141859","246","3.14183225","246","3.14230625","246","3.141794791666666","247","250"
"74","3.1417265","151","3.141134","151","3.1411215","235","3.1408875","234","3.1414435","234","3.14156425","241","3.14137325","234","3.14176","231","3.1405995","238","3.14193225","235","3.14129275","242","3.14140525","234","3.1413533541666667","221","243"
"75","3.141827","241","3.141418","241","3.141283","258","3.14159025","249","3.14196","256","3.140923","264","3.14179975","263","3.14136375","262","3.14156775","256","3.14198225","249","3.141392","235","3.141448","248","3.1415462291666665","251","265"
"76","3.14191325","203","3.14119375","189","3.14069475","250","3.1417265","247","3.1417555","244","3.141378","244","3.1422925","243","3.1419145","244","3.1425265","244","3.14114825","244","3.14250275","251","3.1419165","252","3.1417468958333337","237","252"
"77","3.14137275","217","3.141694","245","3.14104475","234","3.14136625","246","3.14153875","245","3.141553","245","3.14152675","245","3.141538","245","3.14116","245","3.1420485","245","3.14196025","245","3.1411085","249","3.141492625","242","249"
"78","3.1421775","237","3.14192675","239","3.141306","234","3.141854","238","3.14155925","208","3.14147225","238","3.14121875","237","3.14127325","232","3.14213775","237","3.1409895","237","3.1419905","237","3.1416365","178","3.1416285","229","239"
"79","3.1409","98","3.14224025","239","3.14163425","254","3.14126475","244","3.14109325","238","3.14094875","246","3.141496","238","3.14195025","244","3.142073","249","3.141191","225","3.14081275","251","3.14188025","251","3.141457041666667","231","254"
"80","3.14131175","236","3.141493","244","3.14100875","236","3.14157175","246","3.14152425","241","3.141271","240","3.14156575","244","3.14284","245","3.1414805","247","3.14198725","237","3.14124","245","3.14171625","246","3.1415841875","242","247"
"81","3.14164625","176","3.14185825","229","3.14172175","234","3.14169","213","3.141151","238","3.14161575","233","3.14146675","243","3.141474","244","3.14213725","239","3.141526","241","3.1414975","230","3.14213775","233","3.1416601875","229","244"
"82","3.140949","175","3.1413625","221","3.141266","225","3.14162025","221","3.14161025","221","3.14133825","230","3.14165875","221","3.14188825","228","3.1413605","208","3.14157625","208","3.1412105","208","3.14180025","223","3.1414700625000003","215","230"
"83","3.14203975","222","3.14148975","227","3.14112575","222","3.14095725","227","3.14171125","218","3.141588","218","3.14128025","227","3.14167425","235","3.141532","236","3.1422685","230","3.14169325","234","3.14155025","224","3.141575854166667","226","236"
"84","3.1416705","173","3.141703","236","3.141837","237","3.14177675","236","3.1411375","236","3.1411425","236","3.14121975","243","3.14185","236","3.1420315","236","3.1420025","243","3.141513","236","3.1415095","246","3.141616125","232","246"
"85","3.142304","145","3.14206525","238","3.1420825","235","3.14176225","238","3.1414465","236","3.141547","238","3.14182125","238","3.142018","227","3.14140275","215","3.1421315","222","3.14143775","227","3.14109025","215","3.1417590833333335","222","238"
"86","3.14080075","199","3.1416285","203","3.14278975","222","3.141394","222","3.14223475","222","3.141275","222","3.14223675","234","3.14138825","234","3.14093575","224","3.1425995","223","3.14090025","226","3.1409815","222","3.1415970625000003","221","235"
"87","3.14196975","234","3.14157925","235","3.14102825","219","3.14128575","237","3.1417205","218","3.14145875","236","3.14082625","237","3.141799","225","3.14137375","237","3.14200375","225","3.1414405","229","3.141938","227","3.141535291666667","229","237"
