"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.142645","114","3.142645","114","627"
"2","3.14204875","256","3.14204875","256","256"
"3","3.14132125","86","3.14132125","86","87"
"4","3.1417275","39","3.1417275","39","39"
"5","3.1415415","35","3.1415415","35","35"
"6","3.141083","56","3.141083","56","56"
"7","3.14169525","50","3.14169525","50","50"
"8","3.1416505","55","3.1416505","55","55"
"9","3.14191825","60","3.14191825","60","61"
"10","3.14159175","39","3.14159175","39","39"
"11","3.14192575","38","3.14192575","38","38"
"12","3.1411195","42","3.1411195","42","43"
"13","3.14142475","38","3.14142475","38","38"
"14","3.14180675","40","3.14180675","40","40"
"15","3.14136525","45","3.14136525","45","46"
"16","3.14152175","35","3.14152175","35","35"
"17","3.14125125","35","3.14125125","35","35"
"18","3.14236975","41","3.14236975","41","41"
"19","3.14104325","34","3.14104325","34","34"
"20","3.14130475","34","3.14130475","34","34"
"21","3.14135875","32","3.14135875","32","32"
"22","3.14165025","40","3.14165025","40","40"
"23","3.1414035","36","3.1414035","36","36"
"24","3.14148225","36","3.14148225","36","39"
"25","3.142164","40","3.142164","40","40"
"26","3.141778","40","3.141778","40","40"
"27","3.14152425","37","3.14152425","37","38"
"28","3.1414745","31","3.1414745","31","32"
"29","3.14076825","33","3.14076825","33","33"
"30","3.1418975","36","3.1418975","36","36"
"31","3.14080175","40","3.14080175","40","40"
"32","3.14159725","30","3.14159725","30","30"
"33","3.14139425","34","3.14139425","34","35"
"34","3.1416425","37","3.1416425","37","37"
"35","3.14147375","44","3.14147375","44","44"
"36","3.1414765","33","3.1414765","33","33"
"37","3.14148325","34","3.14148325","34","34"
"38","3.14171975","32","3.14171975","32","32"
"39","3.14166725","41","3.14166725","41","41"
"40","3.1415665","34","3.1415665","34","34"
"41","3.14165525","34","3.14165525","34","34"
"42","3.141347","35","3.141347","35","35"
"43","3.14065375","32","3.14065375","32","32"
"44","3.1414715","34","3.1414715","34","34"
"45","3.1418395","32","3.1418395","32","32"
"46","3.14191075","33","3.14191075","33","33"
"47","3.1416655","33","3.1416655","33","33"
"48","3.14074025","31","3.14074025","31","31"
"49","3.141855","32","3.141855","32","32"
"50","3.1425555","32","3.1425555","32","32"
"51","3.1417245","33","3.1417245","33","34"
"52","3.14129575","30","3.14129575","30","30"
"53","3.14181","32","3.14181","32","32"
"54","3.14099875","33","3.14099875","33","33"
"55","3.14140975","28","3.14140975","28","28"
"56","3.14169775","41","3.14169775","41","41"
"57","3.14152675","30","3.14152675","30","30"
"58","3.14179925","30","3.14179925","30","30"
"59","3.1413945","34","3.1413945","34","34"
"60","3.14184425","30","3.14184425","30","30"
"61","3.14143025","30","3.14143025","30","30"
"62","3.141988","32","3.141988","32","32"
"63","3.141552","33","3.141552","33","33"
"64","3.14077825","32","3.14077825","32","32"
"65","3.14158175","33","3.14158175","33","33"
"66","3.14161775","30","3.14161775","30","30"
"67","3.1411715","34","3.1411715","34","34"
"68","3.141472","33","3.141472","33","33"
"69","3.1415565","38","3.1415565","38","38"
"70","3.14117325","33","3.14117325","33","33"
"71","3.14110875","33","3.14110875","33","33"
"72","3.14183775","33","3.14183775","33","33"
"73","3.14171475","34","3.14171475","34","34"
"74","3.14142025","30","3.14142025","30","30"
"75","3.141867","37","3.141867","37","38"
"76","3.14215825","33","3.14215825","33","33"
"77","3.141684","38","3.141684","38","38"
"78","3.14176975","37","3.14176975","37","37"
"79","3.1421595","33","3.1421595","33","33"
"80","3.141719","36","3.141719","36","36"
"81","3.14124525","35","3.14124525","35","35"
"82","3.1412565","32","3.1412565","32","32"
"83","3.1428725","33","3.1428725","33","33"
"84","3.140949","35","3.140949","35","35"
"85","3.14220725","33","3.14220725","33","33"
"86","3.14135725","33","3.14135725","33","33"
"87","3.1415565","30","3.1415565","30","30"
"88","3.14102075","39","3.14102075","39","39"
"89","3.14148475","36","3.14148475","36","37"
"90","3.141301","34","3.141301","34","34"
"91","3.14183175","34","3.14183175","34","34"
"92","3.14229175","37","3.14229175","37","37"
"93","3.1414905","33","3.1414905","33","33"
"94","3.14162025","32","3.14162025","32","32"
"95","3.14147475","30","3.14147475","30","31"
"96","3.14127775","38","3.14127775","38","38"
"97","3.141743","33","3.141743","33","33"
"98","3.14171","37","3.14171","37","38"
"99","3.14146775","38","3.14146775","38","38"
"100","3.141938","26","3.141938","26","26"
"Averages","3.141577312499999","38","3.141577312499999","38","44"
