"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14187875","212","3.14140675","212","3.1408935","232","3.14108525","191","3.14126525","207","3.1418465","192","3.1415495","191","3.141384","192","3.14158375","207","3.1415635","207","3.14134425","190","3.1414364545454543","203","243"
"2","3.14173225","232","3.140869","235","3.14153325","234","3.14236525","235","3.14161375","225","3.14220775","231","3.1410795","225","3.142108","233","3.141052","216","3.14183525","218","3.14217425","232","3.1416882045454546","228","236"
"3","3.1412345","219","3.141624","234","3.141443","219","3.141912","218","3.1416915","219","3.14198075","216","3.142302","219","3.141836","218","3.14113925","219","3.14158225","234","3.141329","234","3.141643113636363","222","234"
"4","3.1408265","231","3.1412995","232","3.141657","226","3.14150825","237","3.141585","228","3.141909","225","3.14182575","235","3.14206575","225","3.1413025","224","3.14149825","220","3.141541","219","3.141547136363636","227","237"
"5","3.141567","207","3.14187675","202","3.14185475","224","3.14142175","213","3.1406635","212","3.14243625","203","3.14239725","213","3.141646","189","3.1416995","189","3.1405675","196","3.1415895","210","3.1416108863636367","205","231"
"6","3.14133375","209","3.14188375","209","3.14188025","209","3.1411715","209","3.1418115","210","3.14179425","211","3.14159775","210","3.1411865","208","3.14168275","214","3.14181775","215","3.14207075","210","3.141657318181818","210","216"
"7","3.1418915","203","3.1412995","216","3.1418695","208","3.14233125","216","3.14091875","211","3.14187975","211","3.141582","208","3.141846","208","3.14094175","215","3.141631","208","3.14079","216","3.1415437272727273","210","217"
"8","3.14180275","216","3.14190775","216","3.1417075","216","3.1410485","232","3.1418555","209","3.14204925","216","3.14194175","202","3.14094475","216","3.14117775","216","3.141689","216","3.1411845","218","3.1415735454545457","215","232"
"9","3.14224225","167","3.14110475","202","3.1417865","200","3.14125375","201","3.14178425","209","3.141855","201","3.140937","203","3.14146475","200","3.14193225","208","3.1417705","202","3.14118275","200","3.141573977272728","199","220"
"10","3.14178725","184","3.14160625","223","3.1414455","221","3.1420415","227","3.14143025","216","3.141645","223","3.14115225","226","3.141099","223","3.14176075","225","3.14159175","222","3.1411585","223","3.1415198181818185","219","227"
