"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.1418175","226","3.14159975","253","3.1417825","236","3.1416035","241","3.1413265","247","3.14174625","252","3.14141575","247","3.141691","254","3.141823","250","3.141611","250","3.14202125","248","3.14194375","254","3.1414905","253","3.1416824807692314","247","265"
"2","3.14133825","263","3.141527","263","3.14222225","263","3.1421745","262","3.14164075","262","3.14134275","274","3.14097925","263","3.141483","263","3.1413565","263","3.14143775","263","3.1412415","262","3.14135025","262","3.1423785","263","3.141574788461539","263","274"
"3","3.14136525","245","3.1419925","236","3.1431455","245","3.1411165","236","3.14158","245","3.141802","243","3.1416","249","3.141832","244","3.1418525","242","3.14152975","242","3.1421285","245","3.1420915","248","3.14118575","248","3.1417862884615384","243","249"
"4","3.14180725","250","3.14170275","250","3.14169475","250","3.1416545","250","3.14155","251","3.14194875","250","3.14173025","250","3.141314","252","3.141449","250","3.1411255","250","3.1410655","250","3.14184425","250","3.1417865","250","3.1415902307692316","250","253"
"5","3.14212975","252","3.141369","248","3.14171425","241","3.141105","232","3.142147","248","3.14176975","248","3.14168","248","3.141048","247","3.14140475","248","3.14220575","252","3.14118875","241","3.141976","241","3.1414815","249","3.1416322692307688","245","253"
"6","3.1420425","264","3.14092025","264","3.142094","258","3.14169675","264","3.141922","264","3.1411705","247","3.14124825","264","3.14248725","264","3.14130375","266","3.14163075","266","3.14098575","264","3.1418195","264","3.1411995","264","3.141578519230769","262","266"
"7","3.1419185","272","3.1418005","265","3.141143","290","3.14186225","290","3.141416","298","3.142132","272","3.141914","290","3.14153875","295","3.14206925","290","3.1417405","290","3.142303","290","3.14211525","290","3.1418885","290","3.141833961538462","286","298"
"8","3.14259475","237","3.141878","243","3.1410685","244","3.1417565","244","3.14140525","248","3.14149675","248","3.14178475","249","3.142246","248","3.1413095","245","3.14103775","248","3.142046","248","3.14117","245","3.14159475","244","3.1416452692307693","245","249"
"9","3.1414005","236","3.141607","240","3.1418515","244","3.14239825","247","3.14207325","246","3.141227","244","3.1413715","244","3.141309","253","3.141523","252","3.14149825","244","3.141776","247","3.14194725","254","3.14143925","244","3.141647826923077","245","254"
"10","3.14197225","239","3.1416545","239","3.141088","250","3.14117175","246","3.1413955","249","3.141958","245","3.14200525","245","3.14152925","249","3.141366","245","3.14103325","233","3.14121425","249","3.14131125","253","3.14196825","242","3.1415128846153846","244","253"
"11","3.14108825","239","3.141058","239","3.1414275","258","3.141582","254","3.1417045","267","3.14214075","261","3.1417335","255","3.1410785","264","3.14115675","255","3.1409645","254","3.141948","267","3.14125775","255","3.14224375","254","3.141491057692307","255","267"
"12","3.14114025","251","3.14237925","243","3.14179025","244","3.1415645","243","3.14182825","236","3.1406705","245","3.1418665","246","3.1420445","243","3.1411405","246","3.14124425","238","3.14110575","243","3.1420505","249","3.140923","243","3.141519076923077","243","251"
"13","3.14145125","244","3.14095725","238","3.142051","242","3.14155075","252","3.14132175","240","3.14109725","246","3.14168475","238","3.1408555","246","3.14139625","246","3.14109125","239","3.1416845","248","3.14148875","257","3.14224425","246","3.1414518846153845","244","258"
