"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14124625","85","3.14076425","81","3.1418655","86","3.1417025","82","3.141394625","83","96"
"2","3.14183875","79","3.1416135","80","3.14174475","78","3.140991","80","3.141547","79","80"
"3","3.1409535","79","3.1412045","84","3.14191175","85","3.142161","79","3.1415576875","81","85"
"4","3.1417105","81","3.1414335","82","3.1414235","81","3.141363","82","3.141482625","81","82"
"5","3.142039","80","3.14147325","82","3.1413255","77","3.14213875","82","3.1417441249999998","80","82"
"6","3.1416365","86","3.141411","93","3.14195575","95","3.142055","91","3.1417645624999997","91","95"
"7","3.1405945","83","3.14144","93","3.141833","90","3.14167725","92","3.1413861875","89","93"
"8","3.14118525","79","3.14197925","77","3.14123925","75","3.1406155","81","3.1412548124999997","78","81"
"9","3.1416805","87","3.1410495","87","3.14135625","88","3.14100075","87","3.14127175","87","88"
"10","3.1412985","84","3.141125","83","3.14074575","88","3.142018","87","3.1412968125000003","85","88"
"11","3.1416915","77","3.14170625","77","3.141146","85","3.141778","73","3.1415804375","78","85"
"12","3.1416775","82","3.14185575","81","3.1417645","81","3.1422205","77","3.1418795625","80","82"
"13","3.14168125","79","3.1415325","79","3.142016","79","3.14147225","80","3.1416755","79","80"
"14","3.141376","79","3.142025","82","3.14289175","82","3.1420745","80","3.1420918125","80","83"
"15","3.14168875","82","3.14116875","80","3.14118175","82","3.140968","75","3.1412518125","79","82"
"16","3.14102475","77","3.1414545","78","3.14121525","78","3.14160425","79","3.1413246875","78","79"
"17","3.14145275","78","3.14176225","81","3.1414945","82","3.142087","81","3.141699125","80","82"
"18","3.141925","78","3.14177725","93","3.1418915","91","3.14118925","85","3.1416957500000002","86","93"
"19","3.141378","81","3.141087","81","3.14181075","79","3.14129225","79","3.1413919999999997","80","81"
"20","3.14128025","86","3.14141975","85","3.14183075","85","3.1406625","79","3.1412983125","83","86"
"21","3.14224925","83","3.14220725","84","3.14139675","82","3.1414135","76","3.1418166875","81","84"
"22","3.14171975","80","3.142029","84","3.14128925","85","3.14138225","80","3.1416050625","82","85"
"23","3.141611","80","3.141419","79","3.14242775","80","3.1415665","82","3.1417560625","80","82"
"24","3.14143225","78","3.142197","81","3.14146325","79","3.14160925","77","3.1416754375","78","81"
"25","3.1416985","79","3.1421565","84","3.14201775","79","3.141743","85","3.1419039375","81","85"
"26","3.14228725","87","3.141395","95","3.1416685","92","3.14209725","95","3.1418619999999997","92","95"
"27","3.14141525","80","3.14162025","81","3.1420455","75","3.1418325","75","3.141728375","77","81"
"28","3.14155475","82","3.14105075","86","3.141617","85","3.1419955","85","3.1415545","84","86"
"29","3.14092925","82","3.1422735","96","3.14226275","97","3.14164475","101","3.1417775624999997","94","101"
"30","3.1416605","78","3.14205875","83","3.1417245","85","3.141832","78","3.1418189375","81","85"
"31","3.14081725","79","3.1413145","81","3.14135275","82","3.1420075","78","3.1413729999999997","80","82"
"32","3.1411665","83","3.141455","83","3.1417045","82","3.14168425","84","3.1415025625000004","83","85"
"33","3.1414855","84","3.14150825","80","3.142081","82","3.14192375","80","3.141749625","81","85"
"34","3.1418035","81","3.14205325","80","3.1424075","79","3.14116575","85","3.1418574999999995","81","85"
"35","3.14149925","83","3.14135925","82","3.1416555","82","3.141763","81","3.14156925","82","83"
"36","3.14137875","82","3.1417655","83","3.14139025","84","3.14162475","81","3.1415398125","82","84"
"37","3.141609","84","3.14142775","80","3.141977","76","3.14169175","84","3.141676375","81","84"
"38","3.1424885","77","3.141823","78","3.142352","76","3.14177025","78","3.1421084375","77","78"
"39","3.1415405","86","3.1417285","82","3.1409345","82","3.141075","84","3.1413196250000004","83","86"
"40","3.1419195","78","3.1421745","78","3.14137275","79","3.141554","85","3.1417551875000003","80","85"
"41","3.14207425","98","3.14160575","95","3.14239475","87","3.14167925","86","3.1419385","91","98"
"42","3.14133975","73","3.14232725","79","3.141168","77","3.14179225","81","3.1416568125","77","81"
"43","3.142485","83","3.14197225","84","3.1414065","83","3.14076275","85","3.141656625","83","85"
"44","3.14160825","80","3.14139175","78","3.1418915","79","3.1419245","84","3.141704","80","84"
"45","3.141697","78","3.14186025","81","3.14215725","83","3.14147725","83","3.1417979375","81","84"
"46","3.1412695","77","3.14194625","78","3.14161425","78","3.1410405","78","3.1414676249999998","77","78"
"47","3.14113975","87","3.1421055","88","3.141613","93","3.14131475","88","3.14154325","89","93"
"48","3.1413915","83","3.14156075","76","3.1413285","82","3.141667","81","3.1414869375000003","80","83"
"49","3.14169125","83","3.14121975","85","3.141395","79","3.141431","95","3.1414342500000005","85","95"
"50","3.14119325","81","3.14213","81","3.14170975","97","3.14165625","81","3.1416723125000003","85","97"
"51","3.14159325","70","3.14068125","85","3.14161475","84","3.1422675","85","3.1415391875000003","81","85"
"52","3.14134875","83","3.1416175","83","3.1412595","96","3.141241","83","3.1413666874999997","86","96"
"53","3.14091575","88","3.14174575","75","3.1413095","84","3.140807","84","3.1411945","82","88"
"54","3.14227375","83","3.14204725","83","3.14169875","83","3.14189775","83","3.141979375","83","83"
"55","3.14203","88","3.14169375","92","3.1413","92","3.1418225","92","3.1417115625000003","91","92"
"56","3.14184875","84","3.141761","83","3.1420245","84","3.1413155","83","3.1417374375","83","85"
"57","3.14176425","75","3.14117875","89","3.14178275","88","3.1419925","84","3.1416795625000002","84","89"
"58","3.14147075","91","3.14169175","86","3.14270475","86","3.14182175","88","3.14192225","87","91"
"59","3.14133475","90","3.1417825","89","3.141985","90","3.141629","89","3.1416828125","89","90"
"60","3.141434","87","3.14134725","93","3.14189","93","3.141971","91","3.1416605625","91","93"
"61","3.14169","94","3.1415935","95","3.14144475","94","3.1411065","82","3.1414586874999997","91","95"
"62","3.1409305","84","3.1415915","88","3.142331","82","3.141778","85","3.1416577500000002","84","88"
"63","3.141279","93","3.1417175","97","3.14165975","97","3.14138125","97","3.141509375","96","97"
"64","3.14145225","82","3.141086","84","3.14147","81","3.14119775","84","3.1413015","82","84"
"65","3.141576","83","3.14170425","93","3.141435","88","3.14135175","83","3.14151675","86","94"
"66","3.1414775","82","3.14158125","83","3.1422295","78","3.14102925","82","3.141579375","81","83"
"67","3.14173575","79","3.14144625","80","3.141682","84","3.1419145","83","3.141694625","81","84"
"68","3.14209175","79","3.141601","83","3.14225","79","3.1415355","82","3.1418695625","80","83"
"69","3.141552","83","3.14193675","87","3.14081225","85","3.14114075","82","3.1413604375","84","87"
"70","3.14171925","81","3.141008","82","3.14170425","78","3.1403565","83","3.141197","81","83"
"71","3.1411715","86","3.142048","85","3.140903","83","3.14221625","86","3.1415846875","85","87"
"72","3.14189025","77","3.14152525","84","3.14089925","81","3.1413595","78","3.1414185625","80","84"
"73","3.14139175","69","3.141729","86","3.141533","85","3.14168225","81","3.1415840000000004","80","86"
"74","3.142198","81","3.14238075","81","3.14154625","82","3.14150125","80","3.1419065625","81","82"
"75","3.14208275","88","3.1420045","88","3.14171275","88","3.14125725","89","3.1417643125000003","88","89"
"76","3.1412445","87","3.1418105","82","3.14206","86","3.141522","84","3.14165925","84","88"
"77","3.14214875","82","3.14132525","82","3.14157725","82","3.1418065","82","3.1417144374999997","82","82"
"78","3.14154325","82","3.141475","83","3.14172275","81","3.14127125","80","3.1415030625","81","83"
"79","3.14210325","82","3.14186175","82","3.141405","85","3.14104525","84","3.1416038125","83","85"
"80","3.141659","79","3.1417735","81","3.14186525","84","3.141707","88","3.1417511875","83","88"
"81","3.1416095","83","3.1411995","86","3.1421095","86","3.14221825","74","3.1417841875","82","86"
"82","3.14138575","79","3.14139925","77","3.141827","80","3.141115","76","3.1414317499999997","78","80"
"83","3.1411225","78","3.141786","80","3.1411665","82","3.14193675","80","3.1415029375000003","80","83"
"84","3.14144425","84","3.14191725","85","3.14240575","83","3.14165375","80","3.14185525","83","86"
"85","3.1420445","78","3.14173325","82","3.1407845","79","3.14135775","78","3.1414800000000005","79","82"
"86","3.140872","79","3.1418385","81","3.14150675","78","3.14175325","80","3.1414926249999997","79","81"
"87","3.141562","85","3.141536","100","3.14177125","98","3.14134875","101","3.1415545000000002","96","101"
"88","3.14183675","80","3.1410835","78","3.14179825","79","3.141402","79","3.141530125","79","80"
"89","3.14143675","67","3.14064875","86","3.1419415","81","3.14238875","85","3.1416039375","79","86"
"90","3.1414015","86","3.1426445","89","3.140842","88","3.1417395","89","3.141656875","88","89"
"91","3.140922","84","3.141483","79","3.1413115","77","3.1419155","81","3.141408","80","84"
"92","3.141637","78","3.14169775","78","3.14174525","82","3.14145575","77","3.1416339375","78","82"
"93","3.14218025","80","3.14189275","79","3.14167475","77","3.14091975","79","3.141666875","78","80"
"94","3.1419245","78","3.1415485","77","3.141402","82","3.1417445","80","3.141654875","79","82"
"95","3.1420435","81","3.14184625","80","3.14198","80","3.14204775","80","3.141979375","80","81"
"96","3.1421415","80","3.1421225","82","3.14184875","79","3.14136325","76","3.141869","79","82"
"97","3.14175","82","3.142102","80","3.1414455","78","3.14101175","81","3.1415773125","80","82"
"98","3.1413965","84","3.14165425","89","3.141734","89","3.141188","87","3.1414931875","87","89"
"99","3.1413505","84","3.141635","83","3.141883","81","3.141475","82","3.141585875","82","84"
"100","3.141192","77","3.14137525","78","3.141196","76","3.14203275","81","3.141449","78","81"
"Averages","3.1415771874999985","81","3.1416430875000017","83","3.1416664924999993","83","3.141561867500002","82","3.141612158749999","82","85"
