"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14171625","145","3.14170725","160","3.1415975","146","3.14071675","158","3.14153625","145","3.142064","158","3.14225675","142","3.1410435","146","3.14157978125","150","171"
"2","3.14189175","156","3.141228","156","3.14152875","156","3.14200675","156","3.14209575","156","3.1415175","156","3.141385","156","3.14108825","160","3.1415927187499997","156","160"
"3","3.142158","159","3.1420185","156","3.14161075","155","3.141191","164","3.141469","167","3.14147875","156","3.14138075","155","3.14194575","158","3.1416565625","158","167"
"4","3.14148075","151","3.141187","153","3.1416395","152","3.1419895","151","3.141798","149","3.14193075","150","3.14166425","153","3.14209125","150","3.141722625","151","153"
"5","3.1413395","150","3.14166","155","3.14175725","151","3.141462","166","3.1416135","151","3.14106425","154","3.14190575","150","3.14100225","153","3.1414755625","153","166"
"6","3.1414785","152","3.14184","152","3.14135","152","3.14129025","152","3.14208275","152","3.14151975","152","3.140839","156","3.1415115","152","3.14148896875","152","156"
"7","3.1415015","150","3.1404385","154","3.14143025","151","3.141962","151","3.14185175","151","3.1415725","156","3.1420925","154","3.1415345","153","3.1415479375","152","157"
"8","3.14162225","166","3.14225725","169","3.14140725","175","3.14127725","166","3.14125575","166","3.14136","170","3.1412965","169","3.14098725","175","3.1414329374999994","169","175"
"9","3.141502","147","3.1420835","148","3.141885","147","3.141865","156","3.14196975","153","3.1416335","151","3.1414375","146","3.1416525","149","3.1417535937499994","149","156"
"10","3.14186275","153","3.1413275","154","3.1422405","158","3.14176075","156","3.14190275","156","3.1418075","153","3.141411","159","3.14152825","154","3.141730125","155","159"
"11","3.1423325","153","3.14168025","156","3.1414105","153","3.141428","154","3.14146425","154","3.14148025","153","3.140947","154","3.14123725","153","3.1414975000000003","153","156"
"12","3.14102275","150","3.14132475","156","3.141455","153","3.14156475","156","3.14112175","151","3.14155675","148","3.14157275","158","3.14166325","152","3.14141021875","153","158"
"13","3.14129425","163","3.14174525","163","3.141251","162","3.1413925","162","3.140818","162","3.1412485","158","3.141052","164","3.1415885","165","3.1412987500000003","162","165"
"14","3.14197225","153","3.14156975","150","3.14168375","151","3.14084175","150","3.14087075","154","3.1408135","154","3.14154525","158","3.1416135","152","3.1413638125","152","158"
"15","3.1415945","151","3.14107275","151","3.1416275","153","3.14097975","153","3.14210575","151","3.1404135","152","3.141811","151","3.14151475","151","3.1413899375","151","153"
"16","3.14144925","155","3.14182775","158","3.141933","162","3.141704","159","3.14157975","161","3.142078","161","3.14138125","159","3.14148425","154","3.14167965625","158","162"
"17","3.1418415","139","3.141287","155","3.142157","150","3.14155575","146","3.1416605","157","3.14157725","144","3.1417125","146","3.14164775","150","3.1416799062500003","148","157"
"18","3.14202425","153","3.14150675","156","3.1408755","152","3.1420655","152","3.1419295","153","3.14063875","156","3.14187675","151","3.1420435","157","3.1416200625000004","153","157"
"19","3.1408755","147","3.141646","147","3.142216","157","3.14177825","153","3.14163425","157","3.14157425","150","3.1413295","155","3.1408545","154","3.1414885312500003","152","157"
"20","3.141664","156","3.1411295","154","3.141706","156","3.141099","155","3.1419275","158","3.1423515","160","3.14147925","155","3.14163525","149","3.1416239999999998","155","161"
