"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14164075","172","3.1419705","183","3.142071","186","3.1414725","189","3.14159725","191","3.14165775","190","3.14114575","185","3.14170225","190","3.14172425","189","3.14131625","172","3.141629825","184","202"
"2","3.14129","183","3.14170875","183","3.14188075","188","3.14203475","186","3.141702","183","3.14124075","186","3.141721","187","3.14137625","192","3.14105575","183","3.141272","186","3.1415282","185","192"
"3","3.1416525","194","3.14185375","186","3.1414095","185","3.14151925","191","3.14139","189","3.14104675","197","3.14147275","189","3.14165775","188","3.141583","194","3.14155025","177","3.14151355","189","197"
"4","3.1418165","145","3.1416295","151","3.141703","155","3.14118225","175","3.14161825","173","3.14190825","175","3.14137525","195","3.141942","195","3.14190625","195","3.141745","195","3.141682625","175","196"
"5","3.1420855","186","3.142122","195","3.14245875","188","3.1419605","191","3.14205675","196","3.141248","197","3.14183","197","3.14279925","197","3.141755","188","3.14142","195","3.1419735749999997","193","198"
"6","3.14138425","187","3.1421935","193","3.14143725","192","3.14202","190","3.1412955","200","3.142057","197","3.14163475","190","3.14143525","196","3.142026","187","3.14210425","200","3.1417587750000004","193","200"
"7","3.14182975","186","3.14165675","183","3.1421275","187","3.14164475","186","3.14155775","191","3.141623","183","3.1419755","191","3.14135175","187","3.1413665","183","3.14139175","193","3.1416525","187","193"
"8","3.14183375","190","3.14198675","190","3.14200725","187","3.1412095","177","3.14114775","176","3.14204425","182","3.1415595","186","3.142075","182","3.14187675","180","3.14124025","194","3.1416980750000003","184","195"
"9","3.1415835","195","3.14146975","192","3.14176375","198","3.14173775","197","3.14120425","196","3.14167275","191","3.141586","186","3.14176025","194","3.14172925","187","3.1416225","186","3.141612975","192","198"
"10","3.141306","80","3.14158325","184","3.14167975","185","3.1412705","192","3.14171225","194","3.141857","183","3.141691","191","3.1418955","195","3.141537","183","3.14167475","192","3.1416207","177","195"
