"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.1408345","214","3.14160025","240","3.1421815","261","3.14183625","277","3.14108275","271","3.141944","283","3.14116","271","3.14206025","247","3.1419425","251","3.141945","248","3.141476","246","3.14168675","241","3.1420365","240","3.14124325","252","3.1416449642857143","253","293"
"2","3.1413635","103","3.14192325","270","3.1418355","237","3.14229625","281","3.141801","257","3.142109","271","3.14165975","270","3.14218","262","3.14157075","270","3.14157725","270","3.14198375","275","3.14164375","274","3.14172575","270","3.14187025","270","3.141824267857143","255","281"
"3","3.142031","212","3.141728","277","3.141695","281","3.14142025","278","3.1415505","273","3.1414065","274","3.14157625","279","3.1410515","274","3.1408545","275","3.14206825","273","3.141647","276","3.141391","280","3.14152425","279","3.14198025","275","3.1415660178571434","271","281"
"4","3.14144925","126","3.14127775","266","3.1420545","267","3.1417395","267","3.14121325","250","3.1412905","243","3.14163225","252","3.14111725","271","3.14110275","272","3.142063","267","3.14133575","267","3.14186775","252","3.141317","250","3.1415245","272","3.1414989285714294","251","272"
"5","3.141725","214","3.14185425","227","3.14139175","183","3.1410625","250","3.14191525","275","3.14219875","243","3.1417915","264","3.14099675","250","3.14151225","246","3.14154425","263","3.14121725","263","3.141488","268","3.14186625","268","3.14168125","263","3.1415889285714287","248","276"
"6","3.1410045","210","3.14163675","275","3.140613","264","3.1416605","267","3.141787","276","3.14133","264","3.14234825","260","3.1417735","270","3.142001","264","3.1416295","270","3.14130675","264","3.141683","270","3.14183575","260","3.1419135","259","3.141608785714286","262","276"
"7","3.141623","230","3.14196025","244","3.14189875","273","3.14154075","257","3.1409425","280","3.14121425","279","3.1412535","267","3.141348","275","3.14170275","260","3.142339","279","3.14255775","281","3.14114425","257","3.14176925","273","3.1418795","267","3.14165525","265","281"
"8","3.14126575","249","3.141802","260","3.142102","270","3.14136325","267","3.14173225","263","3.14135875","260","3.1412365","260","3.1411795","260","3.141804","268","3.141238","272","3.140839","227","3.142071","255","3.14174325","260","3.14126025","259","3.141499678571429","259","272"
"9","3.14186225","264","3.141829","266","3.1414375","265","3.14139225","260","3.14111725","246","3.141358","237","3.14162025","266","3.140859","266","3.14181175","267","3.1415415","266","3.14192325","270","3.141611","272","3.14248675","264","3.14267025","259","3.14168","262","275"
"10","3.141812","269","3.14112775","262","3.14166975","262","3.141456","266","3.14202325","276","3.14164675","269","3.14138275","265","3.1422585","265","3.14116","274","3.1411495","265","3.14181825","277","3.14174625","248","3.1418535","273","3.1405295","275","3.141545267857143","267","278"
"11","3.14168425","246","3.1421275","269","3.1424935","270","3.14141575","274","3.14131975","280","3.141569","280","3.141939","257","3.14134925","270","3.14134325","281","3.141059","269","3.14126325","269","3.14112175","278","3.14097075","279","3.14089275","278","3.1414677678571428","271","281"
"12","3.142029","267","3.14150725","259","3.14220175","253","3.14194225","269","3.1415325","252","3.14184425","241","3.1416155","263","3.14010925","271","3.14151275","253","3.141815","258","3.14169925","267","3.141424","263","3.14137675","263","3.14199875","265","3.1416148749999997","260","271"
"13","3.14160375","223","3.141183","262","3.14217325","258","3.142257","270","3.14146325","260","3.14171225","262","3.14141625","240","3.14106025","262","3.1415425","262","3.142176","269","3.14195","236","3.141839","262","3.1411035","270","3.141128","262","3.1416148571428573","257","270"
"14","3.1411615","269","3.142859","266","3.14169125","266","3.1419645","262","3.14145775","256","3.14092975","270","3.14193575","266","3.14132275","273","3.1416425","273","3.141597","262","3.14144175","269","3.141539","266","3.1420025","277","3.14202125","276","3.141683303571429","267","277"
"15","3.141172","266","3.14247","231","3.141315","251","3.1414665","260","3.141057","262","3.14127","267","3.14239475","254","3.14199625","253","3.14112025","260","3.14202175","267","3.1411535","263","3.141846","269","3.14142025","228","3.14120525","230","3.141564892857143","254","269"
"16","3.1418185","261","3.1414165","259","3.14142875","259","3.1420245","264","3.14187675","260","3.1418505","254","3.14251875","254","3.1423685","259","3.14132775","259","3.14146975","254","3.14219625","258","3.1421865","254","3.1414545","254","3.141993","254","3.141852178571429","257","264"
"17","3.14202","263","3.142038","257","3.1421945","270","3.14211025","260","3.1414055","262","3.14143025","260","3.1414555","257","3.1409185","260","3.14189325","270","3.14155575","263","3.1412755","250","3.142","261","3.14140175","250","3.141334","263","3.141645196428571","260","271"
