"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.141431","55","3.140579","284","3.1413145","280","3.14129475","282","3.14215675","271","3.14093","261","3.14132775","267","3.1414815","263","3.14182425","260","3.141793","277","3.14215875","276","3.1417615","250","3.1418805","275","3.14107675","268","3.1416705","275","3.1415120333333335","256","294"
"2","3.1412925","208","3.14172375","254","3.1413895","224","3.14124075","285","3.14196225","269","3.14090575","277","3.14190275","265","3.14195475","257","3.14149975","256","3.141777","278","3.1418385","279","3.14250325","256","3.14185575","273","3.141575","273","3.14141075","275","3.1416554666666667","261","285"
"3","3.14173675","225","3.14148125","255","3.141178","291","3.14183575","269","3.1417705","293","3.141067","283","3.1416655","284","3.14124675","288","3.141052","285","3.1413525","272","3.14214825","283","3.141787","270","3.1415695","245","3.1415715","284","3.141271","291","3.1415155500000007","274","294"
"4","3.14093925","286","3.14192375","278","3.1419695","283","3.14154","278","3.14160725","278","3.14192925","221","3.14152575","241","3.1427645","278","3.14131975","284","3.14201625","285","3.141063","282","3.14124675","258","3.14151175","258","3.141626","258","3.1415935","258","3.141638416666667","268","286"
"5","3.1414605","284","3.141228","285","3.1412615","262","3.14187375","275","3.141097","271","3.141063","265","3.14146","284","3.140956","278","3.14130075","276","3.142185","284","3.14176","258","3.14179875","276","3.14161925","284","3.14169725","279","3.1411185","279","3.1414586166666663","276","285"
"6","3.14207175","265","3.14184675","265","3.14147825","280","3.14258","282","3.14169575","273","3.141559","280","3.14142875","273","3.1411865","270","3.1416515","270","3.1417855","280","3.140842","266","3.1410715","266","3.14222625","281","3.141505","265","3.14125125","270","3.141611983333334","272","282"
"7","3.14097075","209","3.141638","295","3.14155725","295","3.14161075","301","3.14228825","297","3.14143075","295","3.14158025","299","3.141331","294","3.14085125","298","3.14201875","300","3.1411275","295","3.1422865","295","3.14107925","295","3.141811","295","3.141574","294","3.141543683333333","290","301"
"8","3.14124575","236","3.141568","278","3.14132175","278","3.14161525","278","3.141266","278","3.14149275","246","3.14120175","283","3.14114975","285","3.1420715","279","3.141588","282","3.14141425","278","3.14206975","281","3.1414255","278","3.14193775","283","3.14183075","246","3.141546566666666","272","285"
"9","3.14107525","284","3.14204725","274","3.14127575","278","3.141452","264","3.14147625","263","3.14088875","263","3.14187925","282","3.1418845","251","3.141981","268","3.14092975","285","3.14206575","275","3.1413605","269","3.1418245","283","3.14173375","277","3.1419115","269","3.1415857166666665","272","285"
"10","3.1409015","255","3.14078825","265","3.14189075","277","3.14157775","286","3.1414445","283","3.14169","286","3.141276","278","3.1417105","279","3.14163625","286","3.1412885","251","3.14224175","287","3.14084425","278","3.14131375","285","3.141341","287","3.14179875","277","3.141449566666666","277","287"
"11","3.14138625","273","3.14146875","274","3.141386","279","3.1413445","273","3.140905","271","3.1416805","286","3.1416535","287","3.141499","277","3.1411055","285","3.14213675","285","3.1405385","253","3.14175875","273","3.14185175","286","3.14129075","283","3.14154575","286","3.14143675","278","287"
"12","3.14170525","203","3.14147425","280","3.14102575","280","3.14099275","274","3.141494","281","3.14129875","263","3.1417935","278","3.141848","277","3.1415885","276","3.14098575","280","3.1412835","279","3.14136725","270","3.141454","263","3.141125","274","3.1414065","266","3.1413895166666674","269","281"
"13","3.14213","272","3.141437","251","3.141233","272","3.14199925","251","3.141203","241","3.14155175","278","3.14093175","241","3.14173425","275","3.14207875","280","3.14262775","284","3.14153875","241","3.14226925","275","3.14145775","286","3.14171275","282","3.14105425","280","3.1416639499999994","267","286"
"14","3.14169825","276","3.14186875","240","3.14174575","286","3.14155925","272","3.14077625","245","3.14112075","280","3.14108275","272","3.141632","281","3.14084575","283","3.14209425","286","3.1414445","278","3.141889","278","3.141465","287","3.14206525","272","3.14257975","272","3.141591150000001","273","287"
"15","3.1424215","214","3.14128225","287","3.14175625","276","3.14121475","275","3.142369","241","3.141617","285","3.1412245","284","3.14148725","285","3.14177725","274","3.1412925","285","3.14108425","274","3.14108425","285","3.14137325","285","3.141608","275","3.141772","286","3.1415576","274","287"
"16","3.14181475","210","3.141696","278","3.14132725","283","3.14108975","276","3.14146025","283","3.14187275","270","3.1411935","276","3.1420305","253","3.141596","286","3.1415595","286","3.1413025","286","3.14160975","279","3.14135575","276","3.1413895","287","3.141371","286","3.14151125","274","287"
"17","3.14187475","243","3.141539","285","3.141574","279","3.14172325","239","3.14100025","275","3.141475","288","3.1409225","287","3.14244175","280","3.14168275","242","3.14069725","276","3.1413885","283","3.141218","246","3.141511","285","3.1408195","286","3.14099625","286","3.1413909166666665","272","288"
"18","3.1416455","244","3.14138625","284","3.14185175","287","3.14170225","284","3.14141275","277","3.14168275","244","3.141012","286","3.14219625","264","3.14143","288","3.141819","284","3.1414305","288","3.1425405","277","3.14183025","258","3.1419215","287","3.141176","270","3.1416691500000002","274","288"
"19","3.14183475","166","3.14182525","264","3.140943","269","3.14129675","256","3.14151525","263","3.14142425","265","3.1417535","269","3.14156475","278","3.142","281","3.14091975","275","3.14251625","282","3.1412645","276","3.141746","279","3.14179275","280","3.1415365","278","3.14159555","265","282"
"20","3.14258175","258","3.14184825","271","3.14094475","258","3.14084325","273","3.14147275","266","3.14161875","272","3.14078975","271","3.1413635","271","3.14172325","271","3.141761","274","3.141662","271","3.1408205","285","3.14118225","277","3.141495","271","3.14163275","285","3.1414492999999997","271","285"
"21","3.141761","200","3.142031","271","3.14134775","265","3.1414615","271","3.14163875","271","3.14168775","267","3.141623","254","3.14114625","260","3.142209","257","3.14156575","273","3.1414795","270","3.1411185","281","3.1423685","282","3.14163425","253","3.14188425","275","3.141663783333333","263","282"
"22","3.1421365","274","3.14155425","278","3.1414725","288","3.14155325","289","3.1409765","289","3.14160775","277","3.1422465","232","3.1419535","290","3.142326","280","3.1421395","277","3.1422865","278","3.14241375","280","3.142114","285","3.1410885","277","3.14148975","288","3.1418239166666666","278","290"
"23","3.1418185","281","3.14143575","277","3.14116775","280","3.141587","267","3.141734","276","3.14138925","276","3.1410475","276","3.141473","282","3.14236225","278","3.14181425","277","3.14212575","278","3.14123725","276","3.14064025","276","3.14148825","280","3.141531","276","3.14152345","277","282"
"24","3.14081425","257","3.14081025","277","3.14133","292","3.14159975","288","3.141628","292","3.1409715","286","3.1418935","281","3.14168975","260","3.1408645","292","3.141628","292","3.1420195","287","3.14157825","290","3.14149925","281","3.1419145","257","3.14149975","292","3.1414493833333337","281","293"
"25","3.141727","161","3.142302","283","3.14202375","281","3.14122125","281","3.14146075","287","3.14126975","288","3.14192125","290","3.14240475","281","3.14162975","283","3.141821","281","3.14117625","291","3.14231225","292","3.14138625","288","3.14097425","294","3.14163775","292","3.1416845333333328","278","294"
"26","3.14202775","246","3.14167075","230","3.14100925","259","3.1416565","246","3.14169075","246","3.14124775","259","3.142559","269","3.14210125","269","3.1410425","283","3.141742","271","3.142218","246","3.1418225","278","3.14156975","277","3.14103325","281","3.141905","283","3.1416864","262","284"
"27","3.1410395","169","3.14121225","189","3.1419645","253","3.14247725","277","3.14170775","273","3.14166975","271","3.14196625","273","3.14086725","278","3.14182625","271","3.14159675","277","3.14120275","280","3.14099025","242","3.14164725","280","3.142451","242","3.1415645","279","3.1416122166666667","256","280"
"28","3.14122125","278","3.141596","278","3.1423235","283","3.14208675","276","3.14179475","279","3.1410005","268","3.1407025","168","3.14155475","276","3.14193325","268","3.14145025","275","3.1415535","275","3.14180375","278","3.141849","284","3.14136075","281","3.141583","281","3.1415875666666664","269","284"
"29","3.1412205","167","3.14179","277","3.1412955","260","3.141761","287","3.1415405","292","3.1411485","289","3.1416195","272","3.14084525","285","3.141795","289","3.141529","261","3.14146925","292","3.1411955","280","3.14195375","277","3.14108175","283","3.1417495","287","3.1414663000000003","273","292"
"30","3.1415715","168","3.1415895","261","3.14146775","275","3.14216375","267","3.14162375","279","3.1415805","261","3.14180625","254","3.141379","280","3.14196225","280","3.1412885","275","3.14069275","279","3.1412755","282","3.14191025","284","3.14164575","274","3.14129725","279","3.1415502833333333","266","284"
"31","3.14144475","100","3.14201425","246","3.1416505","256","3.14173575","263","3.14111175","276","3.14201725","276","3.1416825","226","3.14199325","282","3.14157875","253","3.141706","283","3.142111","249","3.141995","247","3.14175025","248","3.141731","244","3.14141775","254","3.141729316666667","246","284"
"32","3.14226025","108","3.14166375","268","3.14167125","275","3.141602","268","3.141308","268","3.1421865","280","3.14209275","280","3.14096175","282","3.141135","274","3.141079","258","3.141471","273","3.14169475","268","3.14169975","277","3.14131475","274","3.1413485","274","3.1415659333333332","261","282"
"33","3.1415025","201","3.14175625","283","3.14129575","279","3.1419375","286","3.141291","279","3.1413935","286","3.14145925","286","3.14183275","279","3.141918","290","3.14119975","293","3.14141525","286","3.1422445","286","3.1410355","279","3.14120975","290","3.14182275","289","3.1415542666666667","279","293"
"34","3.141759","273","3.1416785","283","3.1415915","263","3.141946","273","3.14152325","263","3.141025","268","3.142046","282","3.1416225","269","3.1419965","269","3.14163925","277","3.14131775","222","3.14102925","273","3.14169625","279","3.14153025","279","3.141147","283","3.1415698666666674","270","283"
"35","3.1407495","85","3.140585","278","3.14192025","276","3.1423345","276","3.141878","269","3.1411405","279","3.14114225","280","3.1411785","274","3.1418735","272","3.141946","278","3.141909","277","3.14141775","285","3.1419255","258","3.14138225","277","3.1414435","265","3.1415217333333336","261","285"
"36","3.14154975","193","3.14165575","280","3.14172725","280","3.141163","280","3.142807","281","3.140801","280","3.1414295","267","3.1411725","280","3.1418835","283","3.14169325","280","3.14228925","280","3.14111975","269","3.142695","257","3.140977","284","3.141312","279","3.141618366666667","271","284"
"37","3.14122975","279","3.1421505","248","3.141248","292","3.1412445","274","3.14127875","273","3.141444","280","3.14041525","273","3.14161475","289","3.141354","280","3.1421955","289","3.14172125","282","3.14172475","289","3.1411115","274","3.1411245","289","3.14192575","266","3.141452183333334","278","292"
"38","3.14143","196","3.14160475","240","3.14132675","274","3.14120875","260","3.14190025","250","3.14195975","274","3.141218","273","3.14177575","274","3.14155625","246","3.140863","274","3.1414135","260","3.142071","277","3.14166075","284","3.140766","274","3.1408425","281","3.1414397999999997","262","284"
"39","3.14097375","161","3.14180975","278","3.1417025","269","3.14167725","278","3.14252625","269","3.14124325","278","3.142269","278","3.14133775","278","3.14163625","278","3.141583","286","3.14207975","278","3.141152","283","3.141753","279","3.14142675","286","3.1420155","289","3.14167905","271","289"
"40","3.14235","283","3.141772","283","3.141921","283","3.141445","294","3.14182975","290","3.1413205","283","3.14237375","293","3.14208125","283","3.142421","291","3.141624","294","3.14142","258","3.1419735","291","3.14151","283","3.14176825","290","3.142044","282","3.1418569333333326","285","294"
"41","3.142025","281","3.14174","273","3.141785","271","3.14179","285","3.141856","277","3.141622","285","3.1413855","279","3.1419655","277","3.14117325","281","3.14163175","285","3.1418105","273","3.14185525","286","3.141622","271","3.141097","267","3.14125825","264","3.141641133333333","277","286"
"42","3.1418655","291","3.1413315","283","3.1413915","283","3.1420155","280","3.14161125","281","3.1419645","292","3.1415155","286","3.14131425","281","3.14147225","274","3.14175825","267","3.1414445","292","3.1416865","257","3.14181775","288","3.14113575","284","3.14167425","277","3.141599916666667","281","293"
"43","3.141126","228","3.14147325","227","3.14204975","238","3.14157175","261","3.1415325","257","3.14135825","282","3.142146","283","3.14114","272","3.1413755","282","3.1419205","277","3.1417145","269","3.1409315","274","3.1419255","278","3.1412835","272","3.14082975","251","3.1414918833333334","263","283"
"44","3.1419435","242","3.141754","257","3.142225","291","3.141905","291","3.14180275","293","3.1412725","288","3.14240275","292","3.142174","292","3.141901","260","3.1419735","292","3.1412685","284","3.14094375","294","3.14146325","291","3.14198975","284","3.1420265","267","3.14180305","281","294"
"45","3.14138775","252","3.14241425","254","3.1421655","269","3.1416665","255","3.14180925","276","3.141127","236","3.14147525","280","3.141902","268","3.14131475","254","3.14121475","279","3.14167275","281","3.14143775","277","3.141117","268","3.1408395","270","3.14178325","275","3.1415551500000003","266","282"
"46","3.14151775","250","3.140963","277","3.14160475","280","3.141374","283","3.14152675","280","3.14214675","254","3.14195675","267","3.1413475","284","3.1415605","245","3.14182075","284","3.14223775","283","3.1416045","276","3.1420995","281","3.14151375","280","3.14173975","267","3.141667583333334","272","284"
"47","3.14184125","253","3.1414495","276","3.14184375","265","3.14136225","266","3.14174425","275","3.1417265","275","3.141653","219","3.14179575","266","3.14143975","277","3.14158925","282","3.141793","278","3.14104575","270","3.14193625","278","3.1417435","284","3.141435","277","3.1416265833333337","269","284"
"48","3.14145925","281","3.141554","251","3.1409235","287","3.1411785","289","3.14237825","263","3.14176275","277","3.1416655","277","3.14204675","254","3.1418405","277","3.14151725","287","3.14097175","291","3.14132025","284","3.1412185","290","3.14192875","289","3.14163475","263","3.1415600166666664","277","291"
"49","3.1425635","213","3.14110375","275","3.1409295","270","3.1415435","269","3.14168025","269","3.1410305","256","3.140872","269","3.141813","233","3.14158375","270","3.14159025","272","3.14192575","269","3.1419775","280","3.1410425","275","3.141689","276","3.14171425","276","3.1415372666666666","264","280"
"50","3.14141925","271","3.14161575","278","3.14139975","252","3.1417305","272","3.1416465","272","3.14137075","271","3.14135","255","3.14202525","276","3.141284","271","3.141633","280","3.14185425","252","3.14227975","272","3.1413395","284","3.14134625","259","3.14099775","275","3.141552816666666","269","284"
"51","3.14125075","261","3.1404565","261","3.14166675","290","3.141763","262","3.14164575","261","3.14193825","276","3.141317","276","3.14102775","290","3.14154925","283","3.14177225","276","3.142133","276","3.1411975","276","3.14177525","290","3.1415775","276","3.14117325","290","3.1414829166666665","276","290"
"52","3.1417095","260","3.14078175","273","3.141295","277","3.1423115","285","3.142234","276","3.14068325","277","3.141778","285","3.1413165","276","3.14182475","277","3.14167725","281","3.14129375","277","3.14181975","272","3.142371","281","3.1414725","259","3.14131425","281","3.1415921833333327","275","285"
"53","3.14118225","164","3.1408905","240","3.142281","276","3.14115225","280","3.14166925","267","3.14155","276","3.141002","282","3.14149925","276","3.14063625","276","3.14102575","267","3.14151075","276","3.14162025","277","3.14242375","276","3.14230475","276","3.14129725","282","3.1414696833333333","266","283"
"54","3.14096025","228","3.14225125","276","3.1416195","275","3.1422155","276","3.141868","275","3.141595","259","3.14102","274","3.1415035","276","3.14223725","284","3.14185175","284","3.14196825","281","3.14058425","279","3.14133975","280","3.14156625","282","3.141781","277","3.1416241","273","284"
