"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.141042","45","3.14172875","57","3.141385375","51","98"
"2","3.1415885","52","3.14209075","51","3.1418396250000002","51","52"
"3","3.14164975","48","3.14155375","48","3.14160175","48","48"
"4","3.1416105","47","3.14164475","48","3.141627625","47","48"
"5","3.14138575","49","3.14207075","51","3.14172825","50","51"
"6","3.141398","59","3.14143975","59","3.1414188750000003","59","59"
"7","3.141505","56","3.14173875","67","3.1416218750000002","61","67"
"8","3.141681","60","3.141381","62","3.141531","61","62"
"9","3.14183675","50","3.142131","47","3.141983875","48","51"
"10","3.14191875","50","3.14230825","52","3.1421135","51","52"
"11","3.14216525","40","3.14137325","52","3.1417692500000003","46","52"
"12","3.1416755","41","3.14235425","45","3.142014875","43","45"
"13","3.1414755","43","3.141675","49","3.14157525","46","49"
"14","3.1414515","45","3.14099625","53","3.141223875","49","53"
"15","3.142061","44","3.14154925","48","3.1418051250000003","46","48"
"16","3.14145725","49","3.141719","50","3.141588125","49","50"
"17","3.14146825","46","3.14177125","45","3.1416197500000003","45","46"
"18","3.1417785","45","3.14128","48","3.14152925","46","48"
"19","3.1413435","52","3.1414145","54","3.141379","53","54"
"20","3.14189675","49","3.1411765","46","3.1415366249999996","47","49"
"21","3.1411165","59","3.1415705","53","3.1413434999999996","56","59"
"22","3.141032","50","3.14137275","53","3.1412023749999998","51","54"
"23","3.14134075","60","3.14177875","75","3.14155975","67","76"
"24","3.1415225","46","3.14115175","51","3.141337125","48","52"
"25","3.14201275","54","3.14182075","54","3.14191675","54","54"
"26","3.14181675","41","3.141592","51","3.1417043749999998","46","51"
"27","3.141406","56","3.14103675","56","3.1412213749999998","56","56"
"28","3.140676","39","3.14106425","47","3.140870125","43","47"
"29","3.1422645","46","3.14157925","53","3.141921875","49","53"
"30","3.14093025","49","3.14145125","45","3.14119075","47","49"
"31","3.141752","47","3.141805","50","3.1417785","48","50"
"32","3.14183125","44","3.1421695","46","3.1420003750000003","45","46"
