"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.141618","66","3.14133625","64","3.1412905","62","3.1414149166666667","64","77"
"2","3.14081825","64","3.14204725","68","3.141762","66","3.1415425","66","68"
"3","3.14139525","54","3.140937","62","3.1416045","65","3.14131225","60","65"
"4","3.14174875","62","3.14134575","63","3.14221225","60","3.141768916666667","61","63"
"5","3.14192225","59","3.14162375","59","3.14077775","59","3.1414412499999997","59","59"
"6","3.14183975","63","3.14156925","64","3.142029","64","3.1418126666666666","63","64"
"7","3.14157","78","3.14149325","78","3.14222825","79","3.1417638333333335","78","79"
"8","3.14232925","60","3.14188025","66","3.140886","64","3.1416985","63","66"
"9","3.14139975","65","3.141256","68","3.14124425","71","3.1412999999999998","68","72"
"10","3.142314","64","3.14197725","68","3.14167025","65","3.1419871666666666","65","68"
"11","3.14165375","61","3.142511","64","3.14134075","64","3.1418351666666666","63","64"
"12","3.14238575","71","3.142059","71","3.14107075","71","3.1418385","71","71"
"13","3.14212725","69","3.14147675","75","3.14126175","71","3.141621916666667","71","76"
"14","3.14225875","61","3.14123225","63","3.14240575","63","3.141965583333333","62","63"
"15","3.14156025","65","3.14206425","67","3.14229025","65","3.1419715833333335","65","67"
"16","3.1415335","60","3.1422295","68","3.14101625","64","3.1415930833333334","64","68"
"17","3.1414125","58","3.142065","61","3.1417165","58","3.141731333333333","59","61"
"18","3.14142625","57","3.1417355","64","3.142012","64","3.141724583333333","61","64"
"19","3.140818","66","3.14169225","70","3.1418575","68","3.1414559166666667","68","70"
"20","3.1415295","84","3.14158675","70","3.1411305","82","3.1414155833333335","78","84"
"21","3.14209025","65","3.141436","61","3.141918","65","3.14181475","63","65"
"22","3.14121625","56","3.1414065","66","3.142072","62","3.141564916666667","61","66"
"23","3.1421075","60","3.14136625","63","3.14192475","63","3.1417995","62","63"
"24","3.14132375","61","3.14227925","66","3.14124","66","3.141614333333333","64","66"
"25","3.1417415","65","3.14160775","67","3.14215075","65","3.141833333333333","65","67"
"26","3.14166875","62","3.1413095","66","3.141094","65","3.1413574166666667","64","66"
"27","3.14213625","61","3.141391","60","3.1417965","59","3.1417745833333335","60","61"
"28","3.141302","64","3.14214025","66","3.14184825","67","3.1417634999999997","65","68"
"29","3.141392","60","3.14118475","61","3.14108475","63","3.1412205000000006","61","63"
"30","3.141296","63","3.14154375","62","3.14231775","64","3.141719166666667","63","64"
"31","3.14148475","58","3.141757","62","3.1410725","65","3.1414380833333335","61","65"
"32","3.14173375","61","3.14178475","60","3.141264","65","3.1415941666666662","62","65"
"33","3.142311","70","3.14079575","73","3.141466","77","3.14152425","73","77"
"34","3.14132","64","3.1408785","67","3.14183375","74","3.1413440833333333","68","75"
"35","3.14143875","67","3.14112325","65","3.14158","67","3.1413806666666666","66","68"
"36","3.14166025","67","3.14158225","68","3.1421835","72","3.1418086666666665","69","72"
"37","3.14066525","73","3.141197","74","3.14148125","75","3.1411145","74","75"
"38","3.14171875","62","3.14155475","65","3.141754","67","3.1416758333333337","64","68"
"39","3.141485","68","3.1417215","68","3.1413285","70","3.1415116666666667","68","70"
"40","3.141774","63","3.141592","66","3.14226225","67","3.141876083333333","65","67"
"41","3.14134925","59","3.1417255","59","3.1418885","62","3.141654416666667","60","62"
"42","3.14160025","59","3.1428175","61","3.14156475","59","3.1419941666666666","59","61"
"43","3.14166325","69","3.14157825","59","3.14079","69","3.1413438333333334","65","69"
"44","3.1414275","60","3.14167875","57","3.14218425","62","3.1417634999999997","59","62"
"45","3.1428155","64","3.1417215","63","3.140958","66","3.1418316666666666","64","66"
"46","3.1414585","60","3.1415715","64","3.1414065","71","3.1414788333333337","65","71"
"47","3.141875","62","3.14149","70","3.141143","70","3.1415026666666663","67","70"
"48","3.1412015","58","3.14188675","59","3.14170825","60","3.1415988333333336","59","60"
"49","3.14216575","59","3.14196525","61","3.1418325","59","3.1419878333333333","59","61"
"50","3.14140475","67","3.1413785","68","3.1415375","68","3.14144025","67","69"
"51","3.14116225","58","3.14175425","60","3.1419845","58","3.141633666666667","58","60"
"52","3.1408945","60","3.1421255","65","3.14100975","65","3.1413432500000003","63","65"
"53","3.14206925","68","3.14207725","58","3.1419285","64","3.1420250000000003","63","68"
"54","3.141596","60","3.14182175","66","3.1414115","64","3.14160975","63","67"
"55","3.14174275","68","3.14144625","70","3.141476","69","3.1415550000000003","69","70"
"56","3.14152225","60","3.1417665","64","3.141797","59","3.14169525","61","64"
"57","3.141534","58","3.14151825","61","3.142049","61","3.141700416666667","60","62"
"58","3.142066","68","3.141184","67","3.14169175","68","3.14164725","67","68"
"59","3.1412145","65","3.14170575","61","3.141482","61","3.1414674166666665","62","65"
"60","3.14250175","67","3.1416275","64","3.14131725","67","3.1418155","66","67"
"61","3.14195575","56","3.141926","66","3.141817","68","3.1418995833333336","63","68"
"62","3.14199325","59","3.14191925","58","3.1418065","62","3.141906333333333","59","62"
"63","3.141896","61","3.141315","62","3.14193375","58","3.1417149166666665","60","62"
"64","3.14158525","57","3.14205625","60","3.14137025","59","3.141670583333333","58","60"
"65","3.14257775","69","3.14073975","67","3.14168825","71","3.1416685833333333","69","71"
"66","3.141882","69","3.1406695","73","3.1416245","68","3.1413919999999997","70","73"
"67","3.1409945","63","3.14149675","68","3.14125125","63","3.1412475","64","68"
"68","3.1420425","64","3.14184775","65","3.14128175","64","3.141724","64","65"
"69","3.14172375","62","3.142433","65","3.14201925","66","3.1420586666666668","64","66"
"70","3.1411725","68","3.1411315","68","3.14152025","70","3.1412747499999996","68","70"
"71","3.141023","62","3.1416345","66","3.14133975","67","3.1413324166666663","65","68"
"72","3.14180025","58","3.141168","60","3.141754","61","3.1415740833333334","59","62"
"73","3.141361","69","3.14141175","69","3.14186925","69","3.141547333333333","69","69"
"74","3.14162825","64","3.1413855","65","3.14173725","65","3.141583666666667","64","65"
"75","3.14139025","59","3.141691","59","3.14173075","59","3.1416039999999996","59","60"
"76","3.14139475","64","3.14149175","63","3.1415","64","3.141462166666667","63","64"
"77","3.141995","64","3.14169525","65","3.141337","59","3.1416757499999997","62","65"
"78","3.1420595","60","3.14229025","61","3.141403","61","3.141917583333333","60","61"
"79","3.14103575","60","3.14205925","60","3.14196475","61","3.141686583333333","60","61"
"80","3.14067975","71","3.14142175","68","3.1423685","71","3.1414899999999997","70","71"
"81","3.142315","66","3.14183125","65","3.141169","66","3.14177175","65","66"
"82","3.1418065","56","3.14095425","63","3.14174925","63","3.141503333333333","60","64"
"83","3.1411435","64","3.1409825","62","3.14153875","61","3.1412215833333335","62","64"
"84","3.142305","71","3.1413365","64","3.1412975","70","3.1416463333333335","68","71"
"85","3.1413515","65","3.14157675","65","3.1418785","62","3.1416022499999996","64","65"
"86","3.14216625","73","3.14275525","70","3.1416945","71","3.142205333333333","71","73"
"87","3.1408725","57","3.1411295","61","3.1419475","62","3.1413165000000003","60","63"
"88","3.14105325","64","3.14173825","67","3.14150325","67","3.141431583333333","66","67"
"89","3.14181525","67","3.14190675","67","3.14166775","67","3.1417965833333334","67","67"
"90","3.1422745","59","3.14143025","64","3.141179","64","3.1416279166666663","62","64"
"91","3.1413465","58","3.14093675","59","3.14213725","65","3.1414735","60","65"
"92","3.14157175","64","3.14149625","61","3.14155925","63","3.141542416666667","62","64"
"93","3.14210925","61","3.142015","63","3.14204225","59","3.1420554999999997","61","63"
"94","3.1422565","61","3.14136175","67","3.141518","69","3.141712083333333","65","69"
"95","3.141422","58","3.142049","67","3.141335","57","3.1416020000000002","60","67"
"96","3.14070175","66","3.14138625","61","3.1412775","63","3.141121833333333","63","66"
"97","3.14175825","72","3.1413255","75","3.14168775","78","3.1415905","75","78"
"98","3.1420455","61","3.1426805","64","3.14135275","60","3.1420262500000002","61","64"
"99","3.14258375","62","3.14164925","65","3.14200725","62","3.142080083333333","63","65"
"100","3.14155425","64","3.14123825","60","3.14191975","59","3.1415707499999996","61","64"
"Averages","3.1416543449999996","63","3.1416217399999993","64","3.1416241850000017","65","3.141633423333334","64","66"
