"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.141372","77","3.14180425","77","3.141353","101","3.14204725","105","3.14112275","97","3.14153985","91","116"
"2","3.14203125","109","3.14192075","97","3.14211725","102","3.14169225","105","3.14231575","109","3.14201545","104","109"
"3","3.14144825","104","3.1419505","101","3.14203825","105","3.141132","103","3.141759","105","3.1416656000000005","103","105"
"4","3.1407595","100","3.14224975","111","3.1417495","109","3.14148525","104","3.14097225","100","3.1414432500000005","104","111"
"5","3.141789","98","3.140872","92","3.14178175","98","3.1415045","100","3.14203675","96","3.1415968","96","100"
"6","3.1412285","98","3.14216225","100","3.14207775","101","3.14252875","103","3.14151225","96","3.1419019","99","104"
"7","3.14149575","98","3.14111625","98","3.14187975","102","3.141283","103","3.14147925","101","3.1414508000000003","100","103"
"8","3.14155825","99","3.14205125","98","3.1418475","97","3.141632","98","3.14165625","97","3.1417490500000005","97","99"
"9","3.14134825","96","3.1414535","93","3.1420235","96","3.141868","96","3.14105825","103","3.1415503","96","103"
"10","3.14212225","51","3.141052","103","3.14222075","104","3.14198525","99","3.1417545","93","3.1418269499999996","90","104"
"11","3.14183225","101","3.14099725","103","3.14159325","102","3.14126475","103","3.141718","104","3.1414811","102","104"
"12","3.1414135","106","3.14154425","102","3.1419715","107","3.14191025","101","3.1420505","106","3.141778","104","107"
"13","3.14181425","96","3.14074375","112","3.1419435","112","3.14134425","110","3.1419875","103","3.14156665","106","112"
"14","3.14138175","103","3.1417595","103","3.1414815","101","3.14189475","99","3.14127475","100","3.1415584500000002","101","103"
"15","3.1412325","102","3.14130925","102","3.1419605","102","3.14130525","102","3.1427305","102","3.1417076","102","102"
"16","3.14160925","94","3.14136","100","3.14167025","96","3.1415435","107","3.14130025","104","3.1414966500000006","100","107"
"17","3.1422105","99","3.141383","95","3.14203175","99","3.14183175","96","3.1419655","95","3.1418844999999997","96","99"
"18","3.141123","100","3.141099","97","3.14167075","99","3.141976","98","3.142005","97","3.14157475","98","100"
"19","3.14233375","97","3.1419385","93","3.142061","98","3.14137875","95","3.1417255","96","3.1418875","95","98"
"20","3.1417585","91","3.141775","91","3.142202","89","3.1419455","97","3.14226875","96","3.14198995","92","97"
"21","3.14069975","101","3.141983","103","3.14227875","96","3.141145","101","3.1413005","103","3.1414814","100","103"
"22","3.14145125","88","3.140721","101","3.142384","100","3.14218825","103","3.14157575","100","3.14166405","98","103"
"23","3.14157675","88","3.14202","106","3.14171175","104","3.14130275","104","3.142016","102","3.14172545","100","106"
"24","3.14209075","98","3.1413235","92","3.141386","95","3.14137825","91","3.1419065","100","3.141617","95","100"
"25","3.141904","95","3.14168025","95","3.14194625","91","3.141629","98","3.14108675","91","3.14164925","94","98"
"26","3.1418575","92","3.1411925","92","3.14214225","100","3.14225025","99","3.14114225","104","3.1417169499999997","97","104"
"27","3.14172","96","3.14130475","99","3.1413695","100","3.14157225","99","3.1416115","98","3.1415156","98","100"
"28","3.14151275","102","3.14141575","105","3.14207275","100","3.14120775","95","3.1420855","106","3.1416589000000004","101","106"
"29","3.14143025","108","3.14202725","107","3.141682","123","3.14136825","123","3.14110825","107","3.1415232","113","123"
"30","3.1409045","102","3.14128275","94","3.14105225","103","3.14237225","106","3.1411855","106","3.14135945","102","106"
"31","3.1420525","97","3.14204275","107","3.14186275","102","3.1416685","105","3.14245275","109","3.14201585","104","109"
"32","3.14155","99","3.1413525","97","3.141152","104","3.14170825","104","3.14143925","104","3.1414404","101","104"
"33","3.14190675","107","3.141279","109","3.14127775","107","3.141797","111","3.14109975","111","3.14147205","109","112"
"34","3.141427","90","3.140795","97","3.14183","104","3.14213125","104","3.1416185","105","3.14156035","100","105"
"35","3.14146","102","3.14138075","102","3.14147125","108","3.1423015","109","3.141963","109","3.1417153000000004","106","109"
"36","3.141168","95","3.141567","104","3.14240125","105","3.14087725","103","3.14211325","105","3.14162535","102","105"
"37","3.14114175","100","3.14159825","96","3.14189125","103","3.14028375","97","3.1422455","101","3.1414321000000003","99","103"
"38","3.14183625","103","3.141742","103","3.14139","103","3.141898","97","3.1419965","103","3.1417725499999998","101","103"
"39","3.1416425","108","3.14190275","103","3.14084975","104","3.141711","102","3.14091925","99","3.1414050500000004","103","108"
"40","3.14132275","108","3.14174875","107","3.14136125","113","3.14108325","111","3.1419865","109","3.1415005000000003","109","113"
"41","3.142175","99","3.14128225","102","3.1410815","98","3.1416935","104","3.140827","107","3.14141185","102","107"
"42","3.141668","72","3.1415185","95","3.14134075","103","3.141581","106","3.14177525","106","3.1415767000000003","96","106"
"43","3.14172975","99","3.141246","106","3.14161125","104","3.1416485","110","3.1407975","106","3.1414066000000003","105","111"
"44","3.1421965","104","3.1410615","107","3.14246075","107","3.141782","105","3.14102975","105","3.1417061","105","108"
"45","3.14178975","100","3.1414635","101","3.14215225","106","3.14171475","98","3.14172475","108","3.141769","102","108"
"46","3.14186075","92","3.141826","96","3.14200675","101","3.14132225","96","3.1414325","101","3.1416896500000004","97","102"
"47","3.14160675","106","3.14142925","107","3.1417345","106","3.14093325","108","3.141425","107","3.14142575","106","108"
"48","3.14093","101","3.14161125","103","3.141103","103","3.14178025","98","3.14191275","99","3.1414674499999995","100","103"
