"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"1","3.14142825","151","3.14217775","164","3.1414415","164","3.141253","176","3.14158225","175","3.14205575","165","3.14155575","173","3.142209","165","3.14157075","176","3.1416971111111116","167","187"
"2","3.14139575","162","3.141091","167","3.141356","170","3.1416785","163","3.14148275","162","3.14091","173","3.14141725","155","3.14062775","172","3.14136","172","3.1412576666666663","166","173"
"3","3.14242075","144","3.1414545","161","3.141489","161","3.14142475","171","3.1415425","161","3.14216975","164","3.141299","171","3.1419015","171","3.14178175","169","3.141720388888889","163","171"
"4","3.1413685","83","3.1412185","170","3.1419025","163","3.141401","168","3.1416905","170","3.14184675","174","3.1419905","163","3.1414335","169","3.141208","159","3.1415621944444445","157","174"
"5","3.14205775","172","3.141797","172","3.14133425","172","3.14083375","170","3.14199325","172","3.14096925","172","3.142196","172","3.141692","176","3.142103","176","3.141664027777778","172","176"
"6","3.141881","174","3.14111725","171","3.142151","168","3.1414175","163","3.14155825","168","3.1417425","161","3.141427","169","3.1415915","163","3.1407995","163","3.141520611111111","166","174"
"7","3.14136175","130","3.141693","167","3.141047","178","3.14144325","174","3.14268625","172","3.14089275","168","3.14121725","178","3.1415075","179","3.141411","173","3.1414733055555555","168","179"
"8","3.14216025","95","3.142413","163","3.1418245","166","3.14128","157","3.1417095","169","3.1413505","171","3.142198","169","3.14197575","169","3.142165","170","3.141897388888889","158","171"
"9","3.1416745","113","3.140995","177","3.1421725","166","3.14133525","156","3.14131175","175","3.1416835","178","3.1411365","182","3.14165475","179","3.14119225","172","3.1414617777777782","166","183"
"10","3.14182225","167","3.14105475","174","3.141554","181","3.14112","178","3.141015","174","3.14180625","153","3.1405855","177","3.1419995","178","3.14179225","180","3.1414166111111106","173","181"
