"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Total Runtime (ms)"
"1","3.1411185","208","3.141426","208","3.141576","208","3.1417985","208","3.1409595","208","3.14122225","208","3.14183","208","3.1419755","208","3.14120175","208","3.14192875","208","218"
"2","3.1414855","206","3.14140525","206","3.14148075","206","3.141283","206","3.140861","206","3.1415785","206","3.1417345","206","3.14097375","206","3.14150825","206","3.14204625","206","207"
"3","3.14221225","198","3.14171725","198","3.141636","198","3.14131925","198","3.14125925","198","3.142216","198","3.142274","198","3.141939","198","3.14148175","198","3.14197675","198","199"
"4","3.1413075","208","3.14107175","208","3.141654","208","3.14200025","208","3.14190075","208","3.14164175","208","3.141084","208","3.14145975","208","3.14179175","208","3.1416685","208","208"
"5","3.142026","196","3.142777","196","3.14129375","196","3.141688","196","3.14211575","196","3.1417555","196","3.1414905","196","3.1422485","196","3.1410705","196","3.14094775","196","196"
"6","3.14142175","208","3.14151425","208","3.14181625","208","3.1423145","208","3.1419815","208","3.1418695","208","3.141835","208","3.14181175","208","3.1412225","208","3.14175675","208","208"
"7","3.14174425","208","3.14179975","208","3.141057","208","3.1421975","208","3.1418235","208","3.14122275","208","3.14136775","208","3.14084575","208","3.14227625","208","3.1420805","208","208"
"8","3.1413745","198","3.14130925","198","3.14135325","198","3.1418515","198","3.142278","198","3.140949","198","3.1421135","198","3.14164575","198","3.14185325","198","3.14193175","198","198"
"9","3.14172","210","3.14161875","210","3.141473","210","3.141385","210","3.1414665","210","3.1416895","210","3.14145775","210","3.14161225","210","3.14149925","210","3.14195575","210","211"
"10","3.141605","205","3.140985","205","3.14158375","205","3.14188325","205","3.14187875","205","3.1415685","205","3.1426145","205","3.14229225","205","3.141837","205","3.141415","205","205"
"11","3.14139075","193","3.14149225","193","3.1409095","193","3.14159375","193","3.1416905","193","3.14145475","193","3.14119925","193","3.1411285","193","3.14135675","193","3.1415395","193","193"
"12","3.14186225","203","3.14185925","203","3.141941","203","3.1415435","203","3.1418355","203","3.140828","203","3.14087325","203","3.14258525","203","3.14146325","203","3.1407635","203","203"
"13","3.1416175","200","3.14127975","200","3.14146025","200","3.1409955","200","3.142106","200","3.1418565","200","3.141533","200","3.141622","200","3.14155225","200","3.14177775","200","201"
"14","3.1416265","195","3.14141625","195","3.14139525","195","3.14212625","195","3.14123175","195","3.1413335","195","3.14131075","195","3.1414855","195","3.1419065","195","3.14163675","195","195"
"15","3.141561","201","3.14184275","201","3.14204925","201","3.140921","201","3.1413855","201","3.1415705","201","3.1414045","201","3.14124325","201","3.14163175","201","3.141755","201","202"
"16","3.14197125","193","3.14218475","193","3.140959","193","3.1416355","193","3.14124825","193","3.142384","193","3.14150675","193","3.14189725","193","3.141399","193","3.14239775","193","193"
"17","3.1417545","210","3.14161925","210","3.1417465","210","3.14115025","210","3.14108325","210","3.14138225","210","3.1414455","210","3.14146275","210","3.14167975","210","3.14178575","210","210"
"18","3.14211975","219","3.140836","219","3.1417945","219","3.142214","219","3.141171","219","3.14159275","219","3.141504","219","3.14132","219","3.1415305","219","3.14217025","219","219"
"19","3.14201875","194","3.141428","194","3.14205125","194","3.14221525","194","3.14196825","194","3.14160475","194","3.14159775","194","3.1409665","194","3.14135325","194","3.14184925","194","194"
"20","3.14162525","201","3.14101875","201","3.14205925","201","3.141743","201","3.14118125","201","3.1424025","201","3.1417895","201","3.141509","201","3.1414315","201","3.141233","201","201"
"21","3.14196375","208","3.1414675","208","3.14173975","208","3.1418345","208","3.14186925","208","3.140988","208","3.14154425","208","3.14150375","208","3.14207075","208","3.141626","208","208"
