"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Total Runtime (ms)"
"1","3.14190475","268","3.14181175","268","3.1416805","268","3.14141225","268","3.14162875","268","3.14199625","268","3.14218","268","3.141415","268","3.142024","268","3.1414365","268","3.142265","268","3.141455","268","3.14167525","268","279"
"2","3.1414835","262","3.141403","262","3.1419425","262","3.14134375","262","3.14256225","262","3.1416015","262","3.1418175","262","3.1419985","262","3.141753","262","3.14171775","262","3.14227075","262","3.1409435","262","3.14198175","262","262"
"3","3.141209","260","3.14107075","260","3.14151125","260","3.14229575","260","3.141642","260","3.14208575","260","3.141461","260","3.14162975","260","3.1412615","260","3.14115025","260","3.14095925","260","3.14124825","260","3.141302","260","261"
"4","3.14201725","251","3.14116625","251","3.1412505","251","3.142083","251","3.1422545","251","3.1412785","251","3.1412705","251","3.14126175","251","3.14198075","251","3.141788","251","3.1418215","251","3.14190625","251","3.1413665","251","251"
"5","3.1412175","266","3.14187775","266","3.1415445","266","3.142077","266","3.14244775","266","3.141736","266","3.14143925","266","3.1417665","266","3.14121875","266","3.14240175","266","3.14202025","266","3.1417975","266","3.14145525","266","266"
"6","3.14109925","275","3.1423035","275","3.1416","275","3.14182225","275","3.1415305","275","3.14197175","275","3.14190325","275","3.141381","275","3.1413935","275","3.14203175","275","3.1413735","275","3.14198625","275","3.14098575","275","275"
"7","3.1411725","282","3.141309","282","3.14092","282","3.141065","282","3.14225775","282","3.14240625","282","3.14213025","282","3.14174525","282","3.14128125","282","3.14166725","282","3.14178275","282","3.1421815","282","3.14088625","282","283"
"8","3.141297","268","3.1415225","268","3.140949","268","3.1415","268","3.14185275","268","3.14099425","268","3.1415245","268","3.14199375","268","3.141569","268","3.14165175","268","3.14152825","268","3.141223","268","3.141567","268","268"
"9","3.141027","267","3.140489","267","3.14249475","267","3.14253025","267","3.14175525","267","3.1411745","267","3.14110225","267","3.14115825","267","3.14124725","267","3.1411625","267","3.142017","267","3.14198475","267","3.14132375","267","267"
"10","3.14149825","253","3.1410845","253","3.1418765","253","3.1418685","253","3.1417115","253","3.14159675","253","3.141476","253","3.14194525","253","3.14177725","253","3.14115125","253","3.141497","253","3.142264","253","3.14186425","253","253"
"11","3.14192675","265","3.141139","265","3.1417555","265","3.1419695","265","3.141631","265","3.14117475","265","3.14119725","265","3.14233125","265","3.141043","265","3.14116525","265","3.14139825","265","3.14163575","265","3.14148025","265","265"
"12","3.1422405","253","3.1425035","253","3.1414535","253","3.14183425","253","3.14119925","253","3.1415965","253","3.14242825","253","3.14179375","253","3.1418345","253","3.1415935","253","3.1414305","253","3.1412795","253","3.14142025","253","253"
"13","3.141182","263","3.141923","263","3.1413425","263","3.14245425","263","3.14169875","263","3.141644","263","3.1423795","263","3.141169","263","3.1408175","263","3.14144725","263","3.14147625","263","3.141726","263","3.1416","263","264"
"14","3.141913","256","3.14175075","256","3.1413645","256","3.14233","256","3.14145275","256","3.14259625","256","3.14209","256","3.141126","256","3.14157725","256","3.14213425","256","3.141463","256","3.14127175","256","3.14180675","256","256"
"15","3.14130425","267","3.14130825","267","3.1415635","267","3.14109125","267","3.14156925","267","3.142173","267","3.1415965","267","3.141053","267","3.141919","267","3.1412185","267","3.14199675","267","3.1415305","267","3.141786","267","267"
"16","3.14144325","249","3.141648","249","3.142319","249","3.14149125","249","3.1422215","249","3.1415825","249","3.1414675","249","3.14226525","249","3.1419375","249","3.14151575","249","3.14180925","249","3.141528","249","3.14193275","249","249"
"17","3.141514","257","3.140982","257","3.1422295","257","3.141634","257","3.1415645","257","3.1418335","257","3.14138","257","3.1418415","257","3.141171","257","3.14208075","257","3.141178","257","3.14095325","257","3.142524","257","257"
"18","3.14177575","255","3.1416625","255","3.14178175","255","3.1411065","255","3.14170025","255","3.14149125","255","3.14061975","255","3.14183875","255","3.14200425","255","3.1422995","255","3.1413025","255","3.14134475","255","3.14138725","255","258"
"19","3.141937","262","3.14198625","262","3.141284","262","3.14120375","262","3.141212","262","3.140934","262","3.14168225","262","3.14201525","262","3.14196725","262","3.1420625","262","3.141246","262","3.14134525","262","3.1419755","262","263"
"20","3.14188475","261","3.141522","261","3.142067","261","3.1419865","261","3.141456","261","3.14064625","261","3.14082275","261","3.1421565","261","3.14204025","261","3.14190075","261","3.14180025","261","3.1420565","261","3.141566","261","261"
"21","3.14130025","251","3.141884","251","3.14199675","251","3.14209","251","3.14156625","251","3.140829","251","3.142446","251","3.14179825","251","3.142219","251","3.14226075","251","3.14239875","251","3.14105225","251","3.14172275","251","251"
"22","3.14132975","272","3.14147175","272","3.14125275","272","3.1414755","272","3.14149925","272","3.1417055","272","3.14135075","272","3.14177375","272","3.1413375","272","3.141471","272","3.14183875","272","3.141307","272","3.14146675","272","273"
"23","3.14189225","255","3.14128075","255","3.14103475","255","3.14191175","255","3.141478","255","3.1416345","255","3.1419275","255","3.14195425","255","3.14153025","255","3.142071","255","3.14184825","255","3.14075375","255","3.14112475","255","255"
"24","3.141867","267","3.1423085","267","3.14231425","267","3.141336","267","3.14164625","267","3.14084925","267","3.141417","267","3.140955","267","3.1422145","267","3.1415435","267","3.141815","267","3.14132375","267","3.14175125","267","267"
"25","3.14178125","257","3.1417985","257","3.14134175","257","3.141616","257","3.14166225","257","3.142262","257","3.1411675","257","3.14165575","257","3.14138375","257","3.14177675","257","3.14195975","257","3.141832","257","3.141319","257","257"
"26","3.14171825","241","3.14137975","241","3.141976","241","3.14186275","241","3.1417575","241","3.14199725","241","3.14130275","241","3.1414105","241","3.1416835","241","3.1424475","241","3.14138375","241","3.141419","241","3.14154725","241","258"
"27","3.1421355","253","3.14198725","253","3.141641","253","3.1417725","253","3.14225775","253","3.1416495","253","3.1408305","253","3.1420515","253","3.14193525","253","3.14223025","253","3.14228475","253","3.14141825","253","3.14101575","253","253"
"28","3.1415435","265","3.14168275","265","3.1419295","265","3.142057","265","3.14193525","265","3.142179","265","3.14128125","265","3.14197","265","3.141173","265","3.141415","265","3.1416995","265","3.14216525","265","3.141097","265","265"
"29","3.14149775","255","3.14148","255","3.14123175","255","3.14141225","255","3.141679","255","3.1417205","255","3.14102025","255","3.1422735","255","3.141195","255","3.14167225","255","3.1411325","255","3.1416615","255","3.14246725","255","256"
"30","3.14207525","263","3.14152775","263","3.1413235","263","3.1415935","263","3.14092525","263","3.141281","263","3.14080275","263","3.1413665","263","3.14111425","263","3.14111125","263","3.14209225","263","3.1416055","263","3.141625","263","263"
"31","3.1414575","266","3.14124625","266","3.1409435","266","3.1414265","266","3.140834","266","3.14071925","266","3.1414995","266","3.14191625","266","3.14110225","266","3.14128225","266","3.14223725","266","3.14161025","266","3.14082825","266","266"
"32","3.14107425","270","3.1420845","270","3.1415035","270","3.1414395","270","3.14124675","270","3.14139375","270","3.1425265","270","3.14099575","270","3.14210425","270","3.141373","270","3.14110925","270","3.14087025","270","3.14188525","270","270"
"33","3.14137025","246","3.14124575","246","3.141768","246","3.1424255","246","3.142002","246","3.14178425","246","3.14220825","246","3.14173575","246","3.1416165","246","3.14150725","246","3.14170025","246","3.14141925","246","3.141079","246","246"
"34","3.1416855","267","3.1420285","267","3.14170425","267","3.14159175","267","3.1418355","267","3.141691","267","3.1414365","267","3.14139775","267","3.14124375","267","3.1412955","267","3.141463","267","3.14066475","267","3.141453","267","267"
"35","3.14163225","261","3.141767","261","3.14180325","261","3.14154975","261","3.1418355","261","3.1411855","261","3.141167","261","3.14124175","261","3.14253375","261","3.141599","261","3.14212375","261","3.141011","261","3.14163825","261","261"
"36","3.14140425","261","3.14141075","261","3.14101625","261","3.1406095","261","3.1417195","261","3.141871","261","3.1413315","261","3.1409985","261","3.14201225","261","3.1413585","261","3.14141275","261","3.14158125","261","3.14145625","261","263"
"37","3.14077625","268","3.142076","268","3.1419815","268","3.14200125","268","3.1414595","268","3.14147725","268","3.1419515","268","3.14182175","268","3.14107375","268","3.142221","268","3.14159225","268","3.141811","268","3.1416595","268","268"
"38","3.141164","252","3.14181925","252","3.141899","252","3.14209625","252","3.1421115","252","3.1415505","252","3.14161125","252","3.1416365","252","3.14139075","252","3.14139","252","3.14198975","252","3.141541","252","3.14220525","252","252"
"39","3.14206275","263","3.141326","263","3.14147525","263","3.14146625","263","3.141864","263","3.14162625","263","3.14180025","263","3.14224175","263","3.14217225","263","3.14146325","263","3.142427","263","3.1409475","263","3.1414365","263","263"
"40","3.14158025","260","3.141355","260","3.1420435","260","3.14195675","260","3.14202425","260","3.1416905","260","3.141569","260","3.14153325","260","3.141906","260","3.14157375","260","3.14040025","260","3.14104575","260","3.14131","260","260"
"41","3.14113975","261","3.14179625","261","3.141268","261","3.14187425","261","3.14112","261","3.14215575","261","3.14170425","261","3.140921","261","3.141465","261","3.14162425","261","3.14082775","261","3.14164825","261","3.14142575","261","261"
"42","3.141632","261","3.141355","261","3.141457","261","3.1428795","261","3.14212225","261","3.14190725","261","3.141266","261","3.14107775","261","3.14161875","261","3.1418815","261","3.1409575","261","3.14105225","261","3.14176175","261","261"
"43","3.14102425","261","3.141413","261","3.14151625","261","3.14194625","261","3.1405225","261","3.14138325","261","3.14219325","261","3.14106875","261","3.141578","261","3.14097925","261","3.1416515","261","3.14099","261","3.1408235","261","261"
"44","3.14159475","251","3.1411335","251","3.14190475","251","3.14157925","251","3.1407185","251","3.1414075","251","3.14152025","251","3.1407","251","3.14150175","251","3.1415545","251","3.14162275","251","3.14142275","251","3.14180575","251","251"
"45","3.141327","261","3.14112075","261","3.14225925","261","3.14211025","261","3.14206025","261","3.141517","261","3.1411","261","3.14185125","261","3.1416665","261","3.1419","261","3.14098275","261","3.14125025","261","3.1412035","261","261"
"46","3.1423645","261","3.1414605","261","3.1414115","261","3.1411815","261","3.14136025","261","3.14106425","261","3.1411365","261","3.1412125","261","3.14167375","261","3.141314","261","3.14184675","261","3.14210125","261","3.141687","261","261"
"47","3.14183725","261","3.141552","261","3.14137375","261","3.141289","261","3.141175","261","3.14189825","261","3.14144575","261","3.14184125","261","3.1412305","261","3.14163475","261","3.14166925","261","3.14130075","261","3.14163325","261","261"
"48","3.1423055","259","3.1409415","259","3.1409375","259","3.14173","259","3.1403805","259","3.14145975","259","3.1422875","259","3.141237","259","3.1423165","259","3.14172725","259","3.14106725","259","3.1418675","259","3.14180575","259","259"
"49","3.14105725","264","3.1415025","264","3.14138575","264","3.141592","264","3.1418265","264","3.14162625","264","3.14173525","264","3.14193375","264","3.14076125","264","3.1418925","264","3.14135875","264","3.141643","264","3.14206025","264","264"
"50","3.14162925","249","3.141357","249","3.14135875","249","3.14289025","249","3.14107775","249","3.1408145","249","3.1419965","249","3.1421925","249","3.14194075","249","3.1418625","249","3.1414765","249","3.14194225","249","3.14230475","249","249"
