"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"1","3.14138025","264","3.1412995","264","3.141581","264","3.14160625","264","3.14199675","264","3.14237","264","3.141767","264","3.14221975","264","3.141411","264","3.14202825","264","3.141108","264","3.1417275","264","3.14099625","264","3.141661","264","281"
"2","3.1413285","275","3.142541","275","3.14163025","275","3.1410995","275","3.141315","275","3.14163225","275","3.141546","275","3.141214","275","3.14171525","275","3.141438","275","3.1407895","275","3.141105","275","3.14137125","275","3.14143025","275","275"
"3","3.1415155","284","3.14141675","284","3.1413535","284","3.14159725","284","3.14215775","284","3.14142375","284","3.14171125","284","3.141531","284","3.141303","284","3.14194175","284","3.14088525","284","3.141665","284","3.141189","284","3.14038525","284","284"
"4","3.14124","284","3.14127425","284","3.14155375","284","3.141826","284","3.1418035","284","3.14141875","284","3.14173425","284","3.14163975","284","3.14147125","284","3.14178625","284","3.1414465","284","3.14197025","284","3.1418875","284","3.141272","284","284"
"5","3.14189225","280","3.1424285","280","3.14187275","280","3.14184475","280","3.14206925","280","3.14222575","280","3.14127175","280","3.141716","280","3.14226125","280","3.14059725","280","3.141308","280","3.14226175","280","3.141236","280","3.14131575","280","280"
"6","3.1417715","280","3.14137525","280","3.14097025","280","3.14138175","280","3.14117425","280","3.14102025","280","3.14145625","280","3.14186925","280","3.14160725","280","3.141714","280","3.1419785","280","3.14130425","280","3.141219","280","3.14072275","280","280"
"7","3.14117075","278","3.141149","278","3.1426095","278","3.14148975","278","3.14171125","278","3.141579","278","3.1415305","278","3.14237825","278","3.141523","278","3.1417535","278","3.141689","278","3.1426765","278","3.1413675","278","3.141409","278","278"
"8","3.14180475","276","3.14210825","276","3.14160125","276","3.14116425","276","3.1416445","276","3.14103875","276","3.14148125","276","3.1416035","276","3.14174875","276","3.14123025","276","3.14117875","276","3.14151725","276","3.141373","276","3.14095775","276","276"
"9","3.14133925","272","3.14192675","272","3.14167","272","3.1417985","272","3.142048","272","3.1422285","272","3.14155125","272","3.141358","272","3.14177925","272","3.14181775","272","3.14218925","272","3.14100375","272","3.142858","272","3.14229225","272","272"
"10","3.14086875","269","3.14220375","269","3.1416305","269","3.140942","269","3.14199025","269","3.1422855","269","3.141529","269","3.14152325","269","3.141517","269","3.141422","269","3.141145","269","3.14212175","269","3.14104975","269","3.141197","269","270"
