"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Total Runtime (ms)"
"1","3.141557","294","3.14183575","294","3.14189075","294","3.14211725","294","3.140923","294","3.1419385","294","3.141498","294","3.14148775","294","3.1413845","294","3.14138525","294","3.14171575","294","3.14242425","294","3.14186125","294","3.141468","294","3.14150125","294","304"
"2","3.14192675","302","3.1420875","302","3.1425035","302","3.1416925","302","3.1414565","302","3.141317","302","3.14191025","302","3.14180125","302","3.14158725","302","3.14143725","302","3.141533","302","3.14163825","302","3.1420325","302","3.14236575","302","3.14112875","302","302"
"3","3.1416345","302","3.14152575","302","3.1413185","302","3.1413385","302","3.1414355","302","3.141599","302","3.140797","302","3.14172275","302","3.141005","302","3.14131575","302","3.14162325","302","3.142055","302","3.142399","302","3.14157225","302","3.141841","302","302"
"4","3.1415565","301","3.140216","301","3.14172425","301","3.14178075","301","3.1411935","301","3.1411435","301","3.14152425","301","3.1411975","301","3.14154475","301","3.141768","301","3.14171225","301","3.14159375","301","3.141364","301","3.14125775","301","3.14276375","301","302"
"5","3.14086425","302","3.1423225","302","3.1413095","302","3.14207775","302","3.14220825","302","3.14166275","302","3.141443","302","3.1416415","302","3.14148075","302","3.1415585","302","3.1416285","302","3.14107775","302","3.141828","302","3.14132","302","3.1416025","302","302"
"6","3.14116725","303","3.1417285","303","3.1420825","303","3.14165875","303","3.142332","303","3.142124","303","3.14169125","303","3.1409915","303","3.14189225","303","3.141649","303","3.1407565","303","3.1412665","303","3.1420435","303","3.14185475","303","3.1420555","303","304"
"7","3.14195075","300","3.14169775","300","3.14200675","300","3.14143375","300","3.14197875","300","3.14237575","300","3.14128325","300","3.141361","300","3.141573","300","3.14116275","300","3.14151125","300","3.14166325","300","3.14188975","300","3.14132925","300","3.14147575","300","300"
"8","3.1414685","300","3.14124775","300","3.141987","300","3.1415895","300","3.14163025","300","3.140718","300","3.14134425","300","3.1421175","300","3.14154575","300","3.14176475","300","3.14062975","300","3.14177775","300","3.14100175","300","3.1421475","300","3.14168325","300","301"
"9","3.1421315","286","3.14135375","286","3.14225875","286","3.1423335","286","3.14112225","286","3.1412965","286","3.1414115","286","3.14130575","286","3.14167475","286","3.14052375","286","3.14153475","286","3.14174925","286","3.142022","286","3.14217","286","3.141086","286","299"
"10","3.141671","296","3.14078825","296","3.141534","296","3.14125125","296","3.1417435","296","3.1416135","296","3.14169775","296","3.14150275","296","3.141463","296","3.14149625","296","3.14156925","296","3.141241","296","3.14149575","296","3.14178","296","3.14159575","296","296"
"11","3.14098575","302","3.14184425","302","3.14129425","302","3.14105775","302","3.14226025","302","3.14205775","302","3.1412285","302","3.14141625","302","3.14076525","302","3.14183625","302","3.1415185","302","3.14123","302","3.14132375","302","3.1412855","302","3.14132425","302","302"
"12","3.14172875","301","3.1413325","301","3.14180925","301","3.141049","301","3.1418865","301","3.1422955","301","3.14173125","301","3.1420005","301","3.1416165","301","3.141901","301","3.14198125","301","3.14075025","301","3.1420335","301","3.14171475","301","3.1416155","301","301"
