Iteration Count,Job[1] Result,Job[1] Runtime (ms),Total Runtime (ms)
1,3.1414875,98,2321
2,3.14192675,194,194
3,3.1416175,113,113
4,3.14148475,37,38
5,3.14172275,42,43
6,3.14103725,53,54
7,3.14136575,49,49
8,3.1422025,51,51
9,3.141396,45,45
10,3.14137325,39,39
11,3.14173575,40,40
12,3.141642,51,51
13,3.14147675,40,40
14,3.142001,47,47
15,3.1410455,42,42
16,3.14114425,39,39
17,3.1413685,38,38
18,3.1411355,43,43
19,3.1410995,47,47
20,3.14164275,35,35
21,3.14135225,35,35
22,3.14100375,31,31
23,3.14155775,35,35
24,3.14159725,50,50
25,3.1421125,38,38
26,3.140985,35,36
27,3.141061,29,29
28,3.1412805,39,39
29,3.14158075,39,39
30,3.1413815,33,33
31,3.141916,33,33
32,3.141738,32,32
33,3.141809,24,24
34,3.141512,35,36
35,3.142164,47,47
36,3.1414795,32,32
37,3.14204525,33,33
38,3.14201675,32,32
39,3.14154425,35,35
40,3.14172325,35,35
41,3.142281,36,36
42,3.14123675,33,33
43,3.14128625,32,32
44,3.1419495,36,36
45,3.14056175,37,37
46,3.14150725,34,35
47,3.1414215,34,34
48,3.14243825,37,37
49,3.14140675,32,32
50,3.1417795,32,32
51,3.14202,34,34
52,3.14144575,33,33
53,3.14176675,32,32
54,3.141801,33,33
55,3.14166925,32,32
56,3.1414335,42,42
57,3.14139425,34,34
58,3.14115375,31,31
59,3.14182375,35,36
60,3.1414175,35,35
61,3.140824,30,30
62,3.14148325,29,29
63,3.14144675,36,36
64,3.1419715,34,34
65,3.14129875,33,33
66,3.14179825,31,31
67,3.140813,34,34
68,3.1404055,34,34
69,3.14172525,38,38
70,3.14247225,33,33
71,3.141861,32,32
72,3.14172375,36,36
73,3.142184,34,34
74,3.14071475,33,33
75,3.14168725,33,33
76,3.14173125,33,33
77,3.14098025,40,40
78,3.141788,31,32
79,3.14073025,35,35
80,3.1420825,31,31
81,3.1418115,40,40
82,3.1420555,33,33
83,3.1419535,32,32
84,3.14098125,34,34
85,3.141371,33,33
86,3.14179825,32,32
87,3.1415215,36,37
88,3.141407,37,37
89,3.1415065,38,38
90,3.1420945,29,29
91,3.141278,36,36
92,3.14195475,32,32
93,3.14159525,31,31
94,3.141309,32,32
95,3.141671,33,33
96,3.14117725,34,34
97,3.14174825,36,36
98,3.14166725,41,41
99,3.1412665,33,33
100,3.14172025,28,28
,,,
,Job[1] Avg Result,Job[1] Avg Runtime (ms),Total Avg Runtime (ms)
,3.1415516925,38.79,61.11
