Iteration Count,Job[1] Result,Job[1] Runtime (ms),Job[2] Result,Job[2] Runtime (ms),Total Runtime (ms),Mean Job Result,Mean Job Runtime (ms)
1,3.141227,51,3.142465,51,61,3.141846,51
2,3.14166075,51,3.14131375,51,51,3.14148725,51
3,3.141432,51,3.14111625,51,51,3.141274125,51
4,3.14161275,51,3.142166,51,51,3.141889375,51
5,3.14113725,53,3.1416295,53,53,3.141383375,53
6,3.14137475,55,3.141422,55,55,3.141398375,55
7,3.14157325,50,3.14115475,50,50,3.141364,50
8,3.142203,51,3.141417,51,51,3.14181,51
9,3.141816,49,3.142841,49,49,3.1423285,49
10,3.1416765,68,3.14165275,68,68,3.141664625,68
11,3.14107025,52,3.14166925,52,52,3.14136975,52
12,3.1417315,50,3.1417555,50,51,3.1417435,50
13,3.14197225,51,3.14194025,51,51,3.14195625,51
14,3.1416955,50,3.14111375,50,50,3.141404625,50
15,3.14108425,50,3.14172975,50,50,3.141407,50
16,3.14078775,52,3.1410475,52,52,3.140917625,52
17,3.14172575,55,3.1419205,55,55,3.141823125,55
18,3.14183,48,3.141998,48,48,3.141914,48
19,3.14210875,55,3.14151325,55,55,3.141811,55
20,3.1415045,60,3.141856,60,60,3.14168025,60
21,3.141555,54,3.141612,54,54,3.1415835,54
22,3.14139175,52,3.142074,52,52,3.141732875,52
23,3.14182375,51,3.14102375,51,51,3.14142375,51
24,3.14223875,56,3.14147125,56,56,3.141855,56
25,3.141821,63,3.14175075,63,63,3.141785875,63
26,3.14141375,50,3.1415565,50,50,3.141485125,50
27,3.14120675,52,3.14150375,52,52,3.14135525,52
28,3.1422845,51,3.14212175,51,51,3.142203125,51
29,3.14224575,49,3.1416195,49,49,3.141932625,49
30,3.14180825,64,3.14192575,64,64,3.141867,64
31,3.14099775,52,3.141265,52,52,3.141131375,52
32,3.14179325,62,3.141482,62,62,3.141637625,62
33,3.14189225,51,3.14197575,51,51,3.141934,51
34,3.14133125,54,3.14099275,54,55,3.141162,54
35,3.14149,51,3.14092025,51,52,3.141205125,51
36,3.14107325,49,3.14148,49,49,3.141276625,49
37,3.14177925,59,3.14146525,59,59,3.14162225,59
38,3.1416265,50,3.1413145,50,50,3.1414705,50
39,3.1414285,53,3.14234525,53,53,3.141886875,53
40,3.14125925,58,3.14125725,58,58,3.14125825,58
41,3.14166525,50,3.1409105,50,50,3.141287875,50
42,3.14125675,53,3.14087025,53,53,3.1410635,53
43,3.1420375,48,3.14151575,48,51,3.141776625,48
44,3.14131475,48,3.14158475,48,48,3.14144975,48
45,3.141371,51,3.142162,51,51,3.1417665,51
46,3.1411635,39,3.14155225,39,39,3.141357875,39
47,3.14197275,49,3.1422335,49,49,3.142103125,49
48,3.14187175,43,3.1416725,43,43,3.141772125,43
49,3.141562,48,3.14112325,48,48,3.141342625,48
50,3.1416815,70,3.14115075,70,70,3.141416125,70
51,3.14163325,52,3.141325,52,52,3.141479125,52
52,3.141037,54,3.1418155,54,54,3.14142625,54
53,3.142068,51,3.14081675,51,51,3.141442375,51
54,3.14159075,49,3.1426545,49,49,3.142122625,49
55,3.14113875,48,3.14159225,48,48,3.1413655,48
56,3.14123775,50,3.14164975,50,50,3.14144375,50
57,3.140738,49,3.1416795,49,49,3.14120875,49
58,3.141911,61,3.14189675,61,61,3.141903875,61
59,3.14196075,49,3.1418275,49,49,3.141894125,49
60,3.1417595,59,3.141234,59,59,3.14149675,59
