"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Total Runtime (ms)"
"1","3.1420285","69","3.14111875","69","3.1414235","69","80"
"2","3.14151625","73","3.14139125","73","3.14130675","73","73"
"3","3.14157675","68","3.140957","68","3.14148","68","68"
"4","3.141934","85","3.1413505","85","3.14151125","85","85"
"5","3.14132025","67","3.1418755","67","3.14134125","67","67"
"6","3.14121325","67","3.141687","67","3.1429375","67","67"
"7","3.141241","69","3.141869","69","3.14137025","69","70"
"8","3.1421015","71","3.1410295","71","3.1419125","71","71"
"9","3.14196025","70","3.1412485","70","3.141929","70","70"
"10","3.141882","74","3.14200175","74","3.14181175","74","74"
"11","3.1416095","63","3.1414435","63","3.14152425","63","63"
"12","3.14154075","74","3.14139","74","3.14155025","74","74"
"13","3.14212825","92","3.141768","92","3.1412035","92","92"
"14","3.14158275","81","3.1413215","81","3.141919","81","81"
"15","3.141824","99","3.1414695","99","3.14222275","99","99"
"16","3.141559","72","3.141773","72","3.1412205","72","72"
"17","3.141881","67","3.14160275","67","3.142276","67","67"
"18","3.14081325","76","3.141099","76","3.141022","76","76"
"19","3.14161875","70","3.141529","70","3.141907","70","70"
"20","3.142163","75","3.14209975","75","3.14194","75","75"
"21","3.1418385","75","3.14149275","75","3.14136525","75","75"
"22","3.14120875","69","3.1412555","69","3.141257","69","69"
"23","3.14191625","70","3.14131925","70","3.14227625","70","70"
"24","3.1415995","69","3.14157375","69","3.1426025","69","69"
"25","3.14168425","78","3.14122775","78","3.1412475","78","78"
"26","3.1417455","66","3.14121025","66","3.1416695","66","66"
"27","3.1409505","65","3.141301","65","3.141237","65","65"
"28","3.14122325","68","3.14216025","68","3.141366","68","69"
"29","3.14127575","73","3.1418965","73","3.1415415","73","73"
"30","3.1417025","72","3.14190325","72","3.14194625","72","73"
"31","3.1417005","68","3.14156375","68","3.14146675","68","68"
"32","3.14104575","74","3.14128225","74","3.1412315","74","75"
"33","3.1413575","69","3.141954","69","3.140589","69","69"
"34","3.141657","77","3.14170375","77","3.1415675","77","77"
"35","3.14207075","79","3.141083","79","3.1409145","79","79"
"36","3.14145425","75","3.1415715","75","3.14162175","75","75"
"37","3.1413235","85","3.1410905","85","3.14174325","85","85"
"38","3.14159675","69","3.14141125","69","3.141625","69","69"
"39","3.14162925","70","3.14222425","70","3.14125175","70","70"
"40","3.1404915","73","3.141424","73","3.142077","73","73"
"41","3.14222","68","3.14197125","68","3.14249875","68","68"
"42","3.14157225","79","3.1412135","79","3.14139275","79","79"
"43","3.14066775","71","3.14142025","71","3.1409555","71","71"
"44","3.1422055","63","3.1417855","63","3.141495","63","63"
"45","3.14152","66","3.141432","66","3.142102","66","68"
"46","3.1418305","66","3.1411845","66","3.14158175","66","66"
"47","3.141029","64","3.14114575","64","3.1416955","64","64"
"48","3.1404765","74","3.14145575","74","3.141839","74","74"
"49","3.14087575","68","3.141562","68","3.1415035","68","68"
"50","3.141813","68","3.14238975","68","3.14178425","68","68"
"51","3.1414495","72","3.14149625","72","3.14139825","72","72"
"52","3.14121925","61","3.14112175","61","3.1414635","61","61"
"53","3.141412","79","3.1419375","79","3.1415665","79","79"
"54","3.1416265","70","3.14136325","70","3.14194625","70","70"
"55","3.14067625","69","3.141679","69","3.1412455","69","69"
"56","3.14155025","69","3.14165575","69","3.1420795","69","69"
"57","3.14135175","70","3.14234","70","3.141145","70","70"
"58","3.1412065","83","3.14085525","83","3.14197625","83","83"
"59","3.141797","68","3.1417405","68","3.1416135","68","68"
"60","3.14107425","69","3.141116","69","3.14183825","69","69"
"61","3.14240925","68","3.141156","68","3.1416415","68","68"
"62","3.14152475","68","3.14089925","68","3.14064625","68","68"
"63","3.1420825","66","3.14162975","66","3.14134175","66","66"
"64","3.1414865","66","3.1413765","66","3.142181","66","67"
"65","3.14254","69","3.141381","69","3.14232925","69","69"
"66","3.141592","67","3.14179325","67","3.14171525","67","67"
"67","3.1415295","64","3.14119275","64","3.14213025","64","64"
"68","3.14153375","64","3.1414545","64","3.14145475","64","64"
"69","3.141883","81","3.1420005","81","3.14114525","81","81"
"70","3.141866","68","3.1419805","68","3.14118225","68","68"
"71","3.1416455","68","3.142163","68","3.14126175","68","68"
"72","3.14205325","70","3.14194825","70","3.14140875","70","70"
"73","3.14134775","69","3.141894","69","3.14081075","69","69"
"74","3.1418175","73","3.14191675","73","3.14198875","73","73"
"75","3.142325","63","3.1416015","63","3.1416805","63","63"
"76","3.14196575","64","3.14152875","64","3.14194975","64","64"
"77","3.1411675","61","3.14139175","61","3.14136725","61","61"
"78","3.14218775","65","3.14172525","65","3.14149575","65","65"
"79","3.141125","82","3.14128425","82","3.141215","82","82"
"80","3.14127875","63","3.141539","63","3.14153","63","63"
"81","3.14156525","70","3.14234625","70","3.1414435","70","70"
"82","3.142126","70","3.14093325","70","3.141519","70","70"
"83","3.14177925","68","3.14186575","68","3.14172925","68","69"
"84","3.14134225","72","3.14147075","72","3.14130775","72","72"
"85","3.142062","69","3.14152775","69","3.14167375","69","69"
"86","3.14173275","65","3.141263","65","3.1411405","65","65"
"87","3.141105","63","3.14103275","63","3.1413705","63","63"
"88","3.1418985","67","3.141025","67","3.14148325","67","67"
"89","3.14163875","64","3.14132375","64","3.14153","64","64"
"90","3.14159275","75","3.14134875","75","3.14146125","75","75"
"91","3.14166275","68","3.1418825","68","3.14130975","68","68"
"92","3.1420015","69","3.1427485","69","3.14123925","69","69"
"93","3.142134","68","3.141314","68","3.14167525","68","68"
"94","3.14200075","63","3.141319","63","3.14102225","63","63"
"95","3.141746","72","3.142024","72","3.141822","72","72"
"96","3.141347","70","3.14122525","70","3.141379","70","71"
"97","3.14159475","68","3.142214","68","3.142279","68","68"
"98","3.1418925","70","3.1420945","70","3.14195925","70","70"
"99","3.14142725","68","3.14180425","68","3.1417515","68","69"
"100","3.14195575","74","3.14132125","74","3.141851","74","74"
