"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Total Runtime (ms)"
"1","3.1416625","129","3.14105875","129","3.14238075","129","3.1414915","129","3.14198325","129","3.14133025","129","140"
"2","3.141519","123","3.1415265","123","3.141454","123","3.14123825","123","3.14190275","123","3.141857","123","123"
"3","3.1412425","132","3.1417285","132","3.14159775","132","3.140943","132","3.141729","132","3.141592","132","132"
"4","3.14087375","129","3.14165375","129","3.14176875","129","3.14164","129","3.14186875","129","3.14222475","129","129"
"5","3.14118125","123","3.141565","123","3.141351","123","3.14151925","123","3.1411265","123","3.1418875","123","123"
"6","3.141516","138","3.14247375","138","3.1425395","138","3.1414305","138","3.14091825","138","3.1410765","138","138"
"7","3.1414435","121","3.14108375","121","3.14105475","121","3.141849","121","3.1409435","121","3.14150025","121","121"
"8","3.14097525","125","3.14140475","125","3.14106175","125","3.1422045","125","3.14162025","125","3.14188775","125","125"
"9","3.14123975","129","3.141475","129","3.141689","129","3.1409335","129","3.14129325","129","3.1417335","129","129"
"10","3.1417165","124","3.142419","124","3.142147","124","3.141014","124","3.14099375","124","3.14122975","124","124"
"11","3.142093","130","3.141531","130","3.14150475","130","3.1419995","130","3.14183575","130","3.14116475","130","130"
"12","3.1408205","129","3.14173075","129","3.142032","129","3.1412","129","3.141741","129","3.14198375","129","129"
"13","3.1413855","134","3.141606","134","3.14184575","134","3.14212025","134","3.1417385","134","3.14191825","134","134"
"14","3.1413855","135","3.1418635","135","3.141878","135","3.14070775","135","3.1409975","135","3.14123575","135","135"
"15","3.14149275","120","3.1418005","120","3.1427155","120","3.14126775","120","3.141654","120","3.1414315","120","120"
"16","3.14223425","132","3.1421545","132","3.14181025","132","3.14167325","132","3.1410565","132","3.14125475","132","132"
"17","3.1411075","124","3.14153425","124","3.14152125","124","3.142","124","3.14158225","124","3.140331","124","124"
"18","3.1419875","123","3.141683","123","3.14168925","123","3.14248525","123","3.14166225","123","3.14175","123","123"
"19","3.14202475","130","3.1415215","130","3.1418775","130","3.14187875","130","3.142124","130","3.14110875","130","130"
"20","3.14152075","122","3.141278","122","3.141293","122","3.14179725","122","3.14088","122","3.1420885","122","122"
"21","3.14094825","119","3.14214175","119","3.14247925","119","3.141545","119","3.141874","119","3.14178275","119","119"
"22","3.141572","129","3.14176175","129","3.14153875","129","3.1415335","129","3.1414695","129","3.14193875","129","129"
"23","3.14188475","124","3.141433","124","3.1412895","124","3.14135275","124","3.14203825","124","3.14147325","124","124"
