"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Total Runtime (ms)"
"1","3.14119075","156","3.141663","156","3.14120425","156","3.141142","156","3.1416985","156","3.140808","156","3.14169525","156","3.141586","156","167"
"2","3.141413","163","3.140971","163","3.1413945","163","3.1414945","163","3.14101225","163","3.14160575","163","3.14177425","163","3.1410315","163","163"
"3","3.14217875","160","3.14150925","160","3.14210025","160","3.1414925","160","3.14153675","160","3.141256","160","3.1413375","160","3.1424365","160","160"
"4","3.1412935","175","3.14106125","175","3.1418585","175","3.14196","175","3.14123025","175","3.1402945","175","3.1413005","175","3.141116","175","175"
"5","3.1418515","162","3.14120925","162","3.141575","162","3.140968","162","3.14146025","162","3.14173525","162","3.1407095","162","3.14127875","162","162"
"6","3.14146975","172","3.14091025","172","3.1413035","172","3.14157725","172","3.14114475","172","3.14189425","172","3.141088","172","3.14167825","172","172"
"7","3.141295","158","3.14141275","158","3.14189575","158","3.14222325","158","3.14178525","158","3.14139125","158","3.14136475","158","3.14218975","158","158"
"8","3.14215175","169","3.14181625","169","3.1409665","169","3.14151175","169","3.1411405","169","3.141559","169","3.14112025","169","3.14145675","169","169"
"9","3.14129825","202","3.141664","202","3.1424205","202","3.14183","202","3.14134325","202","3.14122525","202","3.14156","202","3.141508","202","204"
"10","3.14184525","177","3.1425615","177","3.1416255","177","3.14173975","177","3.14224","177","3.14159525","177","3.14242825","177","3.142","177","178"
"11","3.14119125","161","3.141671","161","3.141131","161","3.1413635","161","3.141474","161","3.14224825","161","3.141416","161","3.14160925","161","161"
"12","3.14179425","178","3.14216175","178","3.14133475","178","3.14206175","178","3.14169025","178","3.14155","178","3.1424545","178","3.14178925","178","179"
"13","3.14160475","158","3.14073475","158","3.1412665","158","3.1416475","158","3.14224975","158","3.1423675","158","3.14138","158","3.14119475","158","158"
"14","3.1422795","167","3.141082","167","3.14071125","167","3.14211875","167","3.14246825","167","3.1422005","167","3.1415215","167","3.141367","167","167"
"15","3.14199875","158","3.14132025","158","3.1415525","158","3.14167625","158","3.1412665","158","3.1420665","158","3.1412715","158","3.141095","158","158"
"16","3.14224675","168","3.14154225","168","3.14140725","168","3.1415385","168","3.14160625","168","3.14069525","168","3.1418025","168","3.1412975","168","168"
"17","3.1414875","159","3.1418845","159","3.141588","159","3.14229825","159","3.1411595","159","3.14118725","159","3.14177175","159","3.14139525","159","159"
"18","3.142164","173","3.14215975","173","3.14125725","173","3.141442","173","3.1407855","173","3.1422855","173","3.14131475","173","3.1411385","173","173"
"19","3.14149","156","3.14167225","156","3.14139275","156","3.141306","156","3.14159625","156","3.14143325","156","3.1420085","156","3.141822","156","156"
"20","3.1414725","166","3.14115575","166","3.1417795","166","3.14216525","166","3.14204925","166","3.141279","166","3.1417195","166","3.14181925","166","167"
"21","3.14150225","158","3.14080575","158","3.1409025","158","3.1417195","158","3.14150275","158","3.1413985","158","3.1415915","158","3.1419085","158","158"
"22","3.14191125","166","3.14199175","166","3.1416575","166","3.14154225","166","3.14111075","166","3.1409775","166","3.141425","166","3.141738","166","166"
"23","3.1411075","160","3.14148775","160","3.14184275","160","3.14116125","160","3.14117075","160","3.14218875","160","3.14182375","160","3.14223125","160","160"
"24","3.1420355","165","3.141966","165","3.14213375","165","3.14183875","165","3.14127075","165","3.14124825","165","3.1417415","165","3.14149","165","165"
"25","3.14212175","159","3.1415385","159","3.141584","159","3.14125975","159","3.1418995","159","3.141863","159","3.1414475","159","3.14153825","159","160"
"26","3.14204375","170","3.141661","170","3.1418435","170","3.14109475","170","3.14092525","170","3.14197675","170","3.14166125","170","3.14210775","170","170"
