"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Total Runtime (ms)"
"1","3.142055","50","3.142082","50","61"
"2","3.141842","57","3.14138575","57","57"
"3","3.142007","46","3.141633","46","47"
"4","3.14185875","66","3.141506","66","66"
"5","3.14066725","54","3.1412515","54","54"
"6","3.14145125","56","3.1416375","56","57"
"7","3.14162725","46","3.14208","46","46"
"8","3.141625","65","3.142271","65","65"
"9","3.14182375","44","3.141154","44","45"
"10","3.142079","49","3.14088775","49","49"
"11","3.1417705","50","3.14152575","50","51"
"12","3.1426225","53","3.14146525","53","53"
"13","3.14199375","48","3.141266","48","48"
"14","3.1418675","48","3.141945","48","49"
"15","3.1419505","49","3.1416905","49","49"
"16","3.14190425","50","3.14108275","50","50"
"17","3.1419005","52","3.14101175","52","52"
"18","3.141598","53","3.14191275","53","53"
"19","3.14152875","54","3.1414705","54","54"
"20","3.14154475","56","3.14138575","56","56"
"21","3.141591","54","3.14173175","54","55"
"22","3.141297","55","3.14110875","55","55"
"23","3.14113","68","3.14167525","68","68"
"24","3.14152","50","3.14116975","50","50"
"25","3.14132425","50","3.142013","50","50"
"26","3.1413875","57","3.14120425","57","57"
"27","3.1424525","56","3.1422415","56","56"
"28","3.1426535","48","3.1415305","48","48"
"29","3.141157","59","3.14137775","59","59"
"30","3.142131","53","3.1420395","53","54"
"31","3.141077","53","3.141933","53","53"
"32","3.14109125","47","3.1412205","47","47"
"33","3.141705","48","3.1416505","48","48"
"34","3.1417465","51","3.14078825","51","52"
"35","3.14161575","50","3.14147175","50","51"
"36","3.14207975","47","3.14100725","47","47"
"37","3.141642","56","3.1416525","56","57"
"38","3.14150225","49","3.14163725","49","49"
"39","3.141423","47","3.14121425","47","47"
"40","3.140949","49","3.14157325","49","49"
"41","3.14174025","43","3.141441","43","43"
"42","3.1413415","49","3.1413235","49","49"
"43","3.1406975","46","3.14225475","46","46"
"44","3.140806","50","3.1417005","50","50"
"45","3.14161925","46","3.141177","46","47"
"46","3.14145475","48","3.14055775","48","48"
"47","3.14175325","46","3.14182675","46","46"
"48","3.14165225","47","3.1418735","47","47"
"49","3.14136","47","3.1410295","47","47"
"50","3.141273","53","3.14232525","53","54"
"51","3.1412295","49","3.141978","49","49"
"52","3.1415925","48","3.1416585","48","48"
"53","3.14241475","47","3.142035","47","47"
"54","3.14112325","46","3.14186225","46","46"
"55","3.14154775","49","3.1417085","49","49"
"56","3.14168475","49","3.140891","49","49"
"57","3.141382","47","3.14174875","47","47"
"58","3.14184475","52","3.14114","52","52"
"59","3.14196375","44","3.141625","44","44"
"60","3.1420295","51","3.140826","51","51"
"61","3.14127625","50","3.14147575","50","50"
"62","3.141123","49","3.141803","49","49"
"63","3.14161375","47","3.1419795","47","47"
"64","3.1413715","47","3.14202275","47","47"
"65","3.14159775","55","3.14173825","55","55"
"66","3.1418435","69","3.141852","69","69"
"67","3.14128775","47","3.14139525","47","47"
"68","3.1412015","49","3.14144625","49","49"
"69","3.140913","47","3.14197425","47","47"
"70","3.14136975","47","3.1420895","47","48"
"71","3.14191225","43","3.14164275","43","43"
"72","3.14205825","56","3.14129775","56","56"
"73","3.14175025","54","3.14182425","54","54"
"74","3.141689","45","3.14187375","45","45"
"75","3.14150025","46","3.1413125","46","47"
"76","3.14165825","46","3.1420245","46","46"
"77","3.142066","48","3.141907","48","48"
"78","3.1417775","47","3.14130175","47","47"
"79","3.14156375","47","3.1416155","47","47"
"80","3.141782","51","3.1413805","51","51"
"81","3.14145875","46","3.1424655","46","46"
"82","3.141134","48","3.141936","48","48"
"83","3.141206","46","3.14157925","46","46"
"84","3.14126925","51","3.141655","51","51"
"85","3.14169125","50","3.14113625","50","50"
"86","3.14156925","44","3.14130325","44","44"
"87","3.14190975","56","3.141421","56","56"
"88","3.141871","45","3.14129775","45","45"
"89","3.141614","51","3.14189575","51","51"
"90","3.1410155","47","3.1416055","47","47"
"91","3.1418705","50","3.14156625","50","50"
"92","3.14130675","50","3.14093075","50","50"
"93","3.14143175","47","3.141199","47","47"
"94","3.142053","46","3.14210375","46","46"
"95","3.14184475","49","3.141495","49","49"
"96","3.14119725","43","3.14200575","43","43"
"97","3.141394","48","3.14176875","48","48"
"98","3.14150925","45","3.141365","45","45"
"99","3.14209575","44","3.14110025","44","44"
"100","3.1428475","48","3.14195","48","48"
