"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Total Runtime (ms)"
"1","3.141181","140","3.141845","140","3.1411395","140","3.14150925","140","3.1419415","140","3.14164975","140","3.14157825","140","150"
"2","3.1416185","139","3.14215325","139","3.14184525","139","3.14195325","139","3.14138725","139","3.141803","139","3.1413235","139","140"
"3","3.14202875","150","3.1415675","150","3.141698","150","3.140884","150","3.14132225","150","3.14272225","150","3.14059275","150","150"
"4","3.14200575","136","3.14153","136","3.142099","136","3.14171825","136","3.14188175","136","3.141722","136","3.141247","136","136"
"5","3.1414935","141","3.1417105","141","3.141476","141","3.14185375","141","3.14145225","141","3.141546","141","3.1426265","141","141"
"6","3.14129275","137","3.14088925","137","3.14124375","137","3.14163225","137","3.1415355","137","3.1421135","137","3.14152175","137","137"
"7","3.141101","138","3.1411415","138","3.14167025","138","3.1423085","138","3.14093675","138","3.14227975","138","3.14143525","138","138"
"8","3.14140975","147","3.1410345","147","3.142062","147","3.142192","147","3.14190125","147","3.141468","147","3.1418615","147","147"
"9","3.1419035","135","3.14155375","135","3.14164475","135","3.14170275","135","3.141731","135","3.14120275","135","3.14092175","135","135"
"10","3.141014","139","3.141121","139","3.1416405","139","3.141747","139","3.1417745","139","3.14208725","139","3.14191125","139","139"
"11","3.1419895","134","3.14173375","134","3.14202475","134","3.14158425","134","3.1417435","134","3.1421255","134","3.141258","134","135"
"12","3.14157775","138","3.141871","138","3.14132475","138","3.1412235","138","3.141795","138","3.14126825","138","3.14149325","138","138"
"13","3.14176925","141","3.14140825","141","3.1410625","141","3.14198725","141","3.1421615","141","3.1415175","141","3.141381","141","141"
"14","3.142168","135","3.1419725","135","3.14168675","135","3.141239","135","3.14165975","135","3.141362","135","3.141631","135","136"
"15","3.14118575","152","3.14134025","152","3.14132075","152","3.14165225","152","3.14181175","152","3.1415585","152","3.14087125","152","152"
"16","3.14154825","134","3.14205275","134","3.1417545","134","3.141112","134","3.1411725","134","3.1414585","134","3.14110025","134","134"
"17","3.14146925","141","3.14246825","141","3.141608","141","3.14208525","141","3.141763","141","3.14142825","141","3.1419025","141","141"
"18","3.141815","135","3.1412855","135","3.14207125","135","3.14153475","135","3.14100475","135","3.1412635","135","3.1410975","135","135"
"19","3.141721","140","3.14201725","140","3.1420545","140","3.1416005","140","3.14121125","140","3.1416845","140","3.1417365","140","140"
"20","3.14186575","135","3.1419115","135","3.14196625","135","3.14139675","135","3.141257","135","3.14233075","135","3.142008","135","135"
"21","3.14106175","141","3.14150725","141","3.14155875","141","3.14185275","141","3.1415795","141","3.141256","141","3.14232175","141","141"
"22","3.14203625","145","3.14167475","145","3.1413395","145","3.1415115","145","3.141736","145","3.14199925","145","3.14178625","145","145"
"23","3.1417125","140","3.1413015","140","3.1412605","140","3.1417645","140","3.1422465","140","3.14162275","140","3.14107975","140","140"
"24","3.14168475","138","3.142064","138","3.14184475","138","3.1418755","138","3.14145525","138","3.14223525","138","3.1416925","138","138"
"25","3.14161025","138","3.1407845","138","3.1416235","138","3.1418445","138","3.14174575","138","3.140969","138","3.14268175","138","138"
"26","3.141302","138","3.14150975","138","3.141965","138","3.1424345","138","3.14116875","138","3.1416725","138","3.1420015","138","138"
"27","3.14198675","139","3.1419185","139","3.1409605","139","3.1413155","139","3.1415505","139","3.14146375","139","3.14204","139","139"
"28","3.14178925","137","3.14172625","137","3.14128675","137","3.14080425","137","3.1416895","137","3.14169525","137","3.14133275","137","137"
"29","3.14121","146","3.1418615","146","3.141729","146","3.14136375","146","3.14113825","146","3.1411125","146","3.14214775","146","146"
"30","3.14173075","134","3.141631","134","3.1416725","134","3.1418395","134","3.1406535","134","3.141331","134","3.14111225","134","135"
"31","3.1415555","136","3.14241175","136","3.14102425","136","3.1413515","136","3.1418525","136","3.1413235","136","3.14076175","136","136"
"32","3.14179","136","3.141635","136","3.142145","136","3.14171225","136","3.14175175","136","3.14086975","136","3.14167775","136","136"
"33","3.14178175","135","3.1417505","135","3.1416805","135","3.141343","135","3.141239","135","3.14191275","135","3.1418445","135","135"
"34","3.14143375","137","3.1416565","137","3.14200175","137","3.141597","137","3.14224","137","3.1417055","137","3.142302","137","137"
"35","3.14116175","149","3.142399","149","3.1412965","149","3.142198","149","3.141314","149","3.14123425","149","3.14116675","149","149"
"36","3.14168675","137","3.14162575","137","3.14150575","137","3.1412915","137","3.14142525","137","3.14107425","137","3.1423575","137","137"
"37","3.14109625","143","3.142975","143","3.1421745","143","3.14101375","143","3.14148325","143","3.1406985","143","3.1414725","143","143"
"38","3.141325","138","3.1419485","138","3.1412135","138","3.14130325","138","3.1417245","138","3.14147","138","3.14153475","138","138"
"39","3.14148125","138","3.14163475","138","3.14161675","138","3.14150925","138","3.141998","138","3.1420855","138","3.141047","138","138"
"40","3.1417465","139","3.141351","139","3.14139725","139","3.14129625","139","3.14197375","139","3.1418275","139","3.14144075","139","139"
"41","3.14159275","144","3.14123325","144","3.14164425","144","3.141008","144","3.14178275","144","3.141563","144","3.14193225","144","144"
"42","3.14133775","145","3.1415745","145","3.14082275","145","3.14146075","145","3.1413865","145","3.14123425","145","3.141492","145","145"
"43","3.14145375","136","3.140798","136","3.14156575","136","3.142103","136","3.1420735","136","3.14177025","136","3.14184525","136","136"
"44","3.141831","139","3.1415255","139","3.1417555","139","3.14180825","139","3.14178975","139","3.14127225","139","3.14166","139","139"
"45","3.141352","135","3.14150825","135","3.14235825","135","3.14188575","135","3.14175225","135","3.14191625","135","3.14185025","135","142"
"46","3.14132475","144","3.14153275","144","3.1414245","144","3.1413315","144","3.14176","144","3.1413985","144","3.14101325","144","144"
"47","3.14151475","141","3.142081","141","3.14114925","141","3.1417065","141","3.14171775","141","3.14088925","141","3.14152075","141","141"
"48","3.1417645","134","3.14150075","134","3.141118","134","3.1411725","134","3.141269","134","3.14211075","134","3.14140925","134","134"
"49","3.1415025","143","3.14123175","143","3.141838","143","3.140902","143","3.141327","143","3.14162925","143","3.14142875","143","143"
"50","3.14198475","137","3.1413535","137","3.14162","137","3.14187175","137","3.141691","137","3.141048","137","3.14189925","137","137"
"51","3.1412335","139","3.14183725","139","3.14179175","139","3.14114325","139","3.14136","139","3.1421025","139","3.141672","139","139"
"52","3.141268","137","3.14115125","137","3.141833","137","3.14223325","137","3.1420785","137","3.1417695","137","3.141257","137","137"
"53","3.14171525","143","3.14074175","143","3.14180325","143","3.1420985","143","3.14206675","143","3.14115625","143","3.141832","143","143"
"54","3.14158775","134","3.1416555","134","3.14225275","134","3.14124475","134","3.142792","134","3.14124375","134","3.14143275","134","134"
"55","3.141743","138","3.1421525","138","3.14217225","138","3.14179025","138","3.14216825","138","3.142271","138","3.141762","138","138"
"56","3.14195575","144","3.141071","144","3.14120975","144","3.14152075","144","3.142245","144","3.14226425","144","3.1424545","144","144"
"57","3.14189725","138","3.1421735","138","3.14083325","138","3.14084075","138","3.14190975","138","3.14165875","138","3.141252","138","138"
"58","3.141692","145","3.141819","145","3.141211","145","3.14172125","145","3.1418325","145","3.14208125","145","3.14209","145","145"
"59","3.142534","137","3.1417245","137","3.14186375","137","3.14094925","137","3.14213025","137","3.14141625","137","3.1414835","137","137"
"60","3.141729","144","3.141658","144","3.141568","144","3.1416395","144","3.14179075","144","3.14137725","144","3.1413225","144","144"
"61","3.141893","138","3.14184625","138","3.142061","138","3.14206425","138","3.14147675","138","3.14097925","138","3.14131425","138","138"
"62","3.14141575","136","3.14093225","136","3.142135","136","3.14123225","136","3.1415605","136","3.1418185","136","3.14181275","136","137"
"63","3.1410575","138","3.1420355","138","3.14124825","138","3.14127225","138","3.141224","138","3.1423735","138","3.14204175","138","138"
"64","3.14200575","135","3.141056","135","3.14169575","135","3.14091475","135","3.14187425","135","3.14121575","135","3.14175925","135","135"
"65","3.14097725","138","3.14147625","138","3.14184075","138","3.14132225","138","3.1412345","138","3.14175","138","3.14222825","138","138"
"66","3.14202225","139","3.14150775","139","3.1415625","139","3.1419625","139","3.14106225","139","3.1423","139","3.14163975","139","139"
"67","3.14103075","136","3.1413025","136","3.14175175","136","3.1413165","136","3.141609","136","3.142203","136","3.14093175","136","136"
"68","3.14161825","146","3.1419915","146","3.14157025","146","3.14175475","146","3.1411055","146","3.1421655","146","3.1411075","146","146"
"69","3.14153325","138","3.1421385","138","3.14132325","138","3.14114925","138","3.14170675","138","3.142316","138","3.141723","138","138"
"70","3.141217","142","3.1417285","142","3.14148375","142","3.1413165","142","3.1414565","142","3.1414855","142","3.14184625","142","142"
"71","3.141415","143","3.14150425","143","3.1422165","143","3.1419575","143","3.141632","143","3.14172575","143","3.14146075","143","143"
"72","3.141676","142","3.1414595","142","3.1413285","142","3.141524","142","3.14270475","142","3.14256125","142","3.14222475","142","142"
"73","3.14129675","135","3.141127","135","3.1416125","135","3.14106325","135","3.14220625","135","3.14114925","135","3.1420465","135","136"
