"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Total Runtime (ms)"
"1","3.14089875","180","3.14171025","180","3.140914","180","3.1415825","180","3.1408585","180","3.141551","180","3.14136175","180","3.141411","180","3.141675","180","190"
"2","3.141551","174","3.1415545","174","3.1417905","174","3.14164025","174","3.1422715","174","3.14233725","174","3.1417605","174","3.1424665","174","3.14169475","174","174"
"3","3.141362","177","3.14236575","177","3.14184075","177","3.14170275","177","3.140862","177","3.14153625","177","3.14246275","177","3.14134175","177","3.1409075","177","177"
"4","3.1407025","175","3.1415655","175","3.14182775","175","3.141997","175","3.14087625","175","3.141175","175","3.141821","175","3.1416595","175","3.14138825","175","175"
"5","3.1414545","176","3.14142875","176","3.141523","176","3.14223675","176","3.142234","176","3.141343","176","3.141754","176","3.1418485","176","3.14196525","176","176"
"6","3.14180425","178","3.14190175","178","3.14081125","178","3.1416725","178","3.14134125","178","3.14147975","178","3.14178975","178","3.141468","178","3.14149025","178","178"
"7","3.1417975","182","3.14072375","182","3.141032","182","3.14079125","182","3.1411335","182","3.14206675","182","3.14181975","182","3.1414095","182","3.1412895","182","183"
"8","3.14173575","177","3.1412625","177","3.14228725","177","3.14224725","177","3.1418965","177","3.141588","177","3.1416165","177","3.14142025","177","3.1414855","177","177"
"9","3.1410775","175","3.1419625","175","3.1417805","175","3.1416665","175","3.1420045","175","3.14165875","175","3.141752","175","3.1414185","175","3.14125825","175","175"
"10","3.14203375","172","3.14240275","172","3.1417985","172","3.141253","172","3.142238","172","3.14089675","172","3.14140325","172","3.14127025","172","3.141175","172","172"
"11","3.1410875","172","3.141042","172","3.141686","172","3.14142125","172","3.1418845","172","3.14215625","172","3.14183","172","3.14172925","172","3.14135825","172","172"
"12","3.14171375","180","3.14107375","180","3.14085575","180","3.141044","180","3.141785","180","3.14094275","180","3.1417425","180","3.141855","180","3.14141375","180","180"
"13","3.14144775","173","3.14158825","173","3.14238425","173","3.141815","173","3.141513","173","3.14141875","173","3.14132525","173","3.14176625","173","3.141919","173","173"
"14","3.141725","180","3.14120575","180","3.14099875","180","3.1413095","180","3.141974","180","3.141976","180","3.14142675","180","3.14102275","180","3.1418635","180","180"
"15","3.14108975","173","3.142064","173","3.14179875","173","3.1418155","173","3.140476","173","3.14143125","173","3.1416905","173","3.141589","173","3.141122","173","173"
"16","3.14234975","174","3.140697","174","3.14229625","174","3.14198675","174","3.14162375","174","3.14188125","174","3.1416015","174","3.1420905","174","3.142083","174","174"
"17","3.14220375","173","3.141753","173","3.14173925","173","3.14172275","173","3.1416925","173","3.141758","173","3.14168625","173","3.14130925","173","3.14148125","173","173"
"18","3.141392","184","3.141335","184","3.14202675","184","3.14213125","184","3.1420975","184","3.141262","184","3.142122","184","3.14183475","184","3.14119175","184","184"
"19","3.14160875","188","3.14135275","188","3.14177525","188","3.14193325","188","3.14114075","188","3.1417725","188","3.14223675","188","3.14140525","188","3.14131975","188","188"
"20","3.14143425","174","3.1410025","174","3.141543","174","3.14197325","174","3.14181875","174","3.14125825","174","3.14171025","174","3.141059","174","3.14151325","174","174"
"21","3.141239","166","3.14049725","166","3.14169875","166","3.14179875","166","3.1411445","166","3.14153725","166","3.1409645","166","3.14169475","166","3.14134425","166","178"
"22","3.14120375","174","3.14132975","174","3.14092275","174","3.14187375","174","3.14127475","174","3.141689","174","3.1419155","174","3.14143325","174","3.1414305","174","174"
"23","3.14178875","208","3.1411625","208","3.14152925","208","3.14237875","208","3.14219075","208","3.14090725","208","3.141605","208","3.141683","208","3.14236125","208","208"
"24","3.1425065","182","3.14211675","182","3.14187725","182","3.14147325","182","3.141686","182","3.141931","182","3.14124875","182","3.1416015","182","3.1405565","182","182"
"25","3.1410055","199","3.1419985","199","3.14092775","199","3.14179925","199","3.14104325","199","3.14196425","199","3.1421995","199","3.14107975","199","3.14177775","199","199"
"26","3.14147","160","3.14270925","160","3.14131475","160","3.1412515","160","3.14193325","160","3.14198925","160","3.14149175","160","3.14128375","160","3.141851","160","178"
"27","3.14101375","175","3.1418925","175","3.14177175","175","3.14180825","175","3.14053825","175","3.141534","175","3.141497","175","3.141438","175","3.1413615","175","175"
"28","3.14252125","172","3.14086475","172","3.142151","172","3.1417515","172","3.14173625","172","3.1406385","172","3.141261","172","3.14185375","172","3.14131125","172","172"
"29","3.1411515","174","3.1420375","174","3.14169675","174","3.1411035","174","3.14163","174","3.141421","174","3.14111975","174","3.14222425","174","3.14142925","174","174"
"30","3.14169775","176","3.14181475","176","3.14147075","176","3.14153475","176","3.14192225","176","3.14163425","176","3.14117325","176","3.1417735","176","3.141694","176","176"
"31","3.141556","186","3.141346","186","3.1421515","186","3.14221775","186","3.141973","186","3.14144275","186","3.142005","186","3.141304","186","3.1417995","186","186"
"32","3.141887","172","3.1408765","172","3.1407635","172","3.1416725","172","3.14191575","172","3.1415445","172","3.1412815","172","3.14195225","172","3.141789","172","172"
"33","3.14130025","174","3.142092","174","3.14096775","174","3.141022","174","3.14092425","174","3.14162775","174","3.1417255","174","3.14299525","174","3.14177525","174","174"
"34","3.141446","172","3.14192075","172","3.1412835","172","3.14177075","172","3.14276625","172","3.14144175","172","3.141229","172","3.141846","172","3.141498","172","172"
"35","3.1419665","177","3.1412915","177","3.14095525","177","3.14079475","177","3.14150525","177","3.14117825","177","3.142149","177","3.14147825","177","3.14126","177","177"
"36","3.141521","171","3.14128425","171","3.14208675","171","3.14109575","171","3.141461","171","3.1411485","171","3.14135875","171","3.1413675","171","3.14153075","171","172"
"37","3.14174175","184","3.141915","184","3.1416005","184","3.14149325","184","3.1417675","184","3.14195275","184","3.14185975","184","3.14112475","184","3.14122225","184","184"
"38","3.14148625","175","3.14198025","175","3.1417225","175","3.1412705","175","3.1419635","175","3.141883","175","3.1411375","175","3.142074","175","3.1422215","175","175"
"39","3.14231975","174","3.14181775","174","3.141692","174","3.14123575","174","3.14143425","174","3.1414815","174","3.14141725","174","3.141615","174","3.1418815","174","174"
"40","3.1417105","172","3.14182325","172","3.1419755","172","3.141358","172","3.141846","172","3.14105575","172","3.141255","172","3.141612","172","3.14256875","172","172"
"41","3.14137425","178","3.14145525","178","3.14154625","178","3.1414755","178","3.141577","178","3.1421325","178","3.14164525","178","3.14112725","178","3.14138125","178","179"
"42","3.1424525","175","3.14238375","175","3.14119125","175","3.14157925","175","3.14205025","175","3.1419915","175","3.142084","175","3.14110675","175","3.140702","175","175"
"43","3.141303","191","3.14163675","191","3.1413185","191","3.14218975","191","3.14120875","191","3.1416405","191","3.1417225","191","3.1411095","191","3.140757","191","191"
"44","3.14068175","173","3.140929","173","3.1411655","173","3.1415475","173","3.141534","173","3.141414","173","3.14173925","173","3.1421295","173","3.141358","173","173"
"45","3.141976","175","3.14195225","175","3.14166225","175","3.14131425","175","3.142241","175","3.1417835","175","3.141494","175","3.14211675","175","3.141484","175","175"
"46","3.14138425","173","3.141596","173","3.14197925","173","3.141953","173","3.141725","173","3.141657","173","3.14139225","173","3.14201925","173","3.14150625","173","173"
"47","3.141007","176","3.142002","176","3.14072825","176","3.1418065","176","3.141507","176","3.141913","176","3.1415155","176","3.14214075","176","3.14142325","176","176"
"48","3.141657","174","3.14207125","174","3.14161175","174","3.1411895","174","3.141401","174","3.141431","174","3.141778","174","3.14144425","174","3.140921","174","174"
"49","3.14191375","177","3.14111475","177","3.1414195","177","3.14174375","177","3.14176575","177","3.14215275","177","3.14124925","177","3.141249","177","3.141362","177","177"
"50","3.141525","180","3.1415055","180","3.1415665","180","3.14189025","180","3.1414445","180","3.1416945","180","3.142201","180","3.14185725","180","3.14176875","180","180"
"51","3.14198975","179","3.14144825","179","3.1412605","179","3.14159925","179","3.14100525","179","3.14140225","179","3.14065","179","3.1417275","179","3.14123225","179","179"
"52","3.141733","176","3.141275","176","3.14205","176","3.1411675","176","3.14156225","176","3.1421475","176","3.14190475","176","3.14191775","176","3.14171525","176","176"
"53","3.14154425","173","3.14125075","173","3.141287","173","3.14150175","173","3.141999","173","3.14182475","173","3.14178975","173","3.141717","173","3.14176425","173","173"
"54","3.1414315","173","3.14149275","173","3.14100775","173","3.14166975","173","3.1411005","173","3.14213075","173","3.14116575","173","3.1409055","173","3.14174","173","173"
"55","3.14109125","179","3.1425795","179","3.1417665","179","3.14187675","179","3.14154375","179","3.141389","179","3.1415","179","3.1415875","179","3.14128775","179","183"
"56","3.14154475","182","3.14173325","182","3.1413155","182","3.1417905","182","3.14157325","182","3.14135475","182","3.14113575","182","3.14155975","182","3.14144775","182","182"
"57","3.14186775","173","3.14109525","173","3.14143625","173","3.14139975","173","3.14158925","173","3.14174625","173","3.14204925","173","3.14180825","173","3.14196875","173","173"
"58","3.1412285","174","3.1412395","174","3.14171175","174","3.142076","174","3.14135125","174","3.14142125","174","3.1419195","174","3.1417245","174","3.141174","174","174"
"59","3.1412705","172","3.14088625","172","3.141217","172","3.1418985","172","3.141732","172","3.14110075","172","3.14136575","172","3.14050225","172","3.14184575","172","172"
"60","3.14182725","185","3.141441","185","3.14191125","185","3.141423","185","3.141236","185","3.1416955","185","3.14231575","185","3.14144","185","3.14152975","185","185"
"61","3.14152475","180","3.14141925","180","3.142481","180","3.1412","180","3.14186075","180","3.141849","180","3.140887","180","3.14178575","180","3.142192","180","181"
"62","3.1413905","177","3.1412995","177","3.14220775","177","3.14104125","177","3.14137775","177","3.14197175","177","3.141751","177","3.1419335","177","3.141347","177","177"
"63","3.14181775","171","3.14178475","171","3.1416415","171","3.14162975","171","3.14220125","171","3.14158075","171","3.14181875","171","3.1419745","171","3.14201075","171","171"
"64","3.14175975","173","3.1416765","173","3.14105525","173","3.14198725","173","3.14149925","173","3.1407955","173","3.14176275","173","3.14139925","173","3.141698","173","173"
"65","3.14116975","177","3.14223125","177","3.140725","177","3.14180725","177","3.14202225","177","3.14163975","177","3.14162425","177","3.14137875","177","3.141579","177","177"
"66","3.14210075","176","3.1415215","176","3.14140925","176","3.14147725","176","3.142128","176","3.14134325","176","3.1412385","176","3.1414755","176","3.1419695","176","176"
"67","3.14226375","180","3.14153525","180","3.1415635","180","3.14175275","180","3.14174575","180","3.14182175","180","3.14171075","180","3.14152975","180","3.14090175","180","180"
"68","3.1416985","182","3.14165575","182","3.1419095","182","3.14141525","182","3.1416005","182","3.1416395","182","3.14137125","182","3.14146","182","3.141336","182","182"
