"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Total Runtime (ms)"
"1","3.1411485","212","3.1413975","212","3.1420065","212","3.141648","212","3.141773","212","3.1411775","212","3.14211475","212","3.1414185","212","3.141981","212","3.14180725","212","3.1417685","212","222"
"2","3.141849","214","3.14141025","214","3.14180825","214","3.14176925","214","3.14106575","214","3.141747","214","3.14096075","214","3.1419595","214","3.14174575","214","3.141348","214","3.141412","214","214"
"3","3.14224075","216","3.1414705","216","3.141575","216","3.14117525","216","3.141327","216","3.141815","216","3.14222575","216","3.14193775","216","3.14215925","216","3.1421425","216","3.141688","216","216"
"4","3.1423895","212","3.1414005","212","3.141052","212","3.14213825","212","3.14102825","212","3.14229475","212","3.14155825","212","3.141004","212","3.141328","212","3.14043725","212","3.1418075","212","212"
"5","3.141809","210","3.14206675","210","3.14135325","210","3.14222575","210","3.14137175","210","3.141749","210","3.1423765","210","3.141193","210","3.14234675","210","3.141169","210","3.1422305","210","210"
"6","3.14181675","213","3.1417015","213","3.1415045","213","3.14151475","213","3.14040675","213","3.14227275","213","3.1411505","213","3.1417085","213","3.14119625","213","3.14136775","213","3.141916","213","213"
"7","3.141874","220","3.1423365","220","3.14164575","220","3.1414115","220","3.1417885","220","3.14127925","220","3.1413345","220","3.14206025","220","3.14141825","220","3.14166025","220","3.1416365","220","221"
"8","3.14136325","214","3.1415735","214","3.141276","214","3.14224825","214","3.1420575","214","3.14196275","214","3.141669","214","3.14076025","214","3.141251","214","3.14190175","214","3.14165375","214","214"
"9","3.14199675","210","3.14225975","210","3.14125225","210","3.141536","210","3.14178925","210","3.14134475","210","3.1415885","210","3.1411825","210","3.14118975","210","3.1407015","210","3.14131725","210","210"
"10","3.14140325","221","3.14146875","221","3.14158775","221","3.141621","221","3.14137575","221","3.14193925","221","3.141324","221","3.1420285","221","3.141516","221","3.14139875","221","3.14157225","221","222"
"11","3.14206625","209","3.14160075","209","3.1412665","209","3.14195025","209","3.14200825","209","3.1416855","209","3.14186875","209","3.14080175","209","3.14143975","209","3.141849","209","3.141965","209","209"
