"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Total Runtime (ms)"
"1","3.14194175","226","3.1416645","226","3.141437","226","3.1413825","226","3.142019","226","3.141438","226","3.14144","226","3.14176675","226","3.14169075","226","3.141598","226","3.14162175","226","3.14099025","226","237"
"2","3.14113875","234","3.1414655","234","3.1418085","234","3.142114","234","3.14146625","234","3.14211625","234","3.14183625","234","3.14175075","234","3.1424115","234","3.141634","234","3.141694","234","3.14147025","234","235"
"3","3.14147425","233","3.142023","233","3.14128475","233","3.14195425","233","3.14172125","233","3.1414495","233","3.14171725","233","3.142117","233","3.140968","233","3.14102325","233","3.14161","233","3.141896","233","233"
"4","3.141721","231","3.14140975","231","3.14186325","231","3.14095475","231","3.14187175","231","3.14051125","231","3.14206125","231","3.1410935","231","3.14165975","231","3.141032","231","3.141427","231","3.1418125","231","231"
"5","3.14133925","228","3.14113775","228","3.1414345","228","3.14102575","228","3.140466","228","3.1424155","228","3.14146675","228","3.14181675","228","3.14208025","228","3.141673","228","3.141339","228","3.14124075","228","229"
"6","3.14161175","228","3.14042225","228","3.141859","228","3.1415855","228","3.14114725","228","3.1412925","228","3.14136225","228","3.14152775","228","3.141398","228","3.1407055","228","3.14128375","228","3.14216125","228","228"
"7","3.14145225","228","3.14192875","228","3.14152175","228","3.142039","228","3.141343","228","3.1421455","228","3.1417395","228","3.1421145","228","3.141945","228","3.140093","228","3.141339","228","3.14161425","228","228"
"8","3.14105125","234","3.14220675","234","3.14171375","234","3.14172375","234","3.1418805","234","3.1419885","234","3.1412825","234","3.141608","234","3.142237","234","3.14085975","234","3.1414315","234","3.14120425","234","234"
"9","3.14159675","236","3.14213925","236","3.14178575","236","3.141777","236","3.141747","236","3.14080175","236","3.1417345","236","3.14156875","236","3.141865","236","3.14159025","236","3.14145325","236","3.14237775","236","236"
"10","3.14114825","234","3.1412265","234","3.141875","234","3.1412835","234","3.141612","234","3.141486","234","3.141009","234","3.14176975","234","3.14231175","234","3.1414975","234","3.141497","234","3.14191225","234","234"
"11","3.14132925","230","3.14130575","230","3.14127025","230","3.142071","230","3.14173525","230","3.141587","230","3.141662","230","3.1410745","230","3.14112025","230","3.141934","230","3.1416395","230","3.14149425","230","230"
"12","3.14161175","227","3.14101025","227","3.14170175","227","3.14115075","227","3.14163825","227","3.14123375","227","3.1414515","227","3.141674","227","3.1417865","227","3.141967","227","3.141006","227","3.14145325","227","227"
"13","3.1412665","230","3.14197225","230","3.14211475","230","3.14099675","230","3.141999","230","3.14111325","230","3.141771","230","3.14222575","230","3.1413175","230","3.14153275","230","3.14198","230","3.14103325","230","230"
"14","3.14130425","226","3.1422725","226","3.14147025","226","3.14125525","226","3.1410025","226","3.14163425","226","3.14239425","226","3.14154375","226","3.141868","226","3.1419085","226","3.1417715","226","3.1418725","226","226"
