"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Job[16] Result","Job[16] Runtime (ms)","Total Runtime (ms)"
"1","3.14157325","305","3.14202825","305","3.14195","305","3.13994575","305","3.14198125","305","3.14164575","305","3.1416545","305","3.14167175","305","3.14129275","305","3.14126725","305","3.1418975","305","3.1409795","305","3.14173625","305","3.142027","305","3.1416425","305","3.14165575","305","315"
"2","3.14186875","306","3.1414545","306","3.141506","306","3.1414615","306","3.1415005","306","3.14111725","306","3.14214775","306","3.141749","306","3.14160825","306","3.141336","306","3.1421055","306","3.14214625","306","3.14086825","306","3.1420285","306","3.14172525","306","3.14115725","306","306"
"3","3.141801","303","3.1422465","303","3.14181225","303","3.141802","303","3.14131225","303","3.1418855","303","3.14116025","303","3.141311","303","3.140928","303","3.1415395","303","3.1404615","303","3.141863","303","3.1411075","303","3.14189825","303","3.1412335","303","3.14097","303","303"
"4","3.14133875","309","3.1416055","309","3.1415635","309","3.142619","309","3.14188325","309","3.14187475","309","3.14199925","309","3.1420665","309","3.1415385","309","3.14175375","309","3.1407115","309","3.14165475","309","3.1423445","309","3.141464","309","3.140836","309","3.141482","309","310"
"5","3.14178525","306","3.142235","306","3.1417485","306","3.14189675","306","3.14098725","306","3.1417665","306","3.14104","306","3.1421215","306","3.141412","306","3.1413095","306","3.14154","306","3.1408975","306","3.1424515","306","3.140951","306","3.14179225","306","3.1414955","306","307"
"6","3.140955","303","3.14148975","303","3.14125275","303","3.1410775","303","3.14177575","303","3.141992","303","3.14094975","303","3.141765","303","3.14159675","303","3.14136375","303","3.14158725","303","3.142047","303","3.14169075","303","3.14238175","303","3.14171325","303","3.14157375","303","303"
"7","3.1411955","302","3.141732","302","3.14224175","302","3.14227475","302","3.14135875","302","3.141725","302","3.1412405","302","3.1418105","302","3.14141075","302","3.14143325","302","3.14180525","302","3.1417635","302","3.14119825","302","3.1415465","302","3.14167675","302","3.141091","302","302"
"8","3.14172875","300","3.141631","300","3.14145475","300","3.14193025","300","3.1423325","300","3.14165575","300","3.140836","300","3.1416705","300","3.1421745","300","3.14209275","300","3.1412265","300","3.1405115","300","3.1420295","300","3.14137775","300","3.1416005","300","3.141577","300","300"
"9","3.1415175","306","3.14154775","306","3.14102","306","3.1417965","306","3.1413675","306","3.14216775","306","3.1415715","306","3.14156425","306","3.1417965","306","3.14185075","306","3.14177425","306","3.14090625","306","3.14190875","306","3.14079975","306","3.14243275","306","3.14180425","306","306"
"10","3.14172975","284","3.141797","284","3.1414015","284","3.14135","284","3.1416605","284","3.1425305","284","3.14223725","284","3.14166825","284","3.14146125","284","3.142617","284","3.141229","284","3.142086","284","3.14132375","284","3.141745","284","3.14172325","284","3.14212975","284","309"
