"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Total Runtime (ms)"
"1","3.141884","89","3874"
"2","3.14131425","115","115"
"3","3.14128375","76","76"
"4","3.141464","117","117"
"5","3.14100775","145","145"
"6","3.14172725","71","71"
"7","3.1417455","54","54"
"8","3.141528","84","84"
"9","3.142104","48","48"
"10","3.14193525","45","45"
"11","3.14180975","44","45"
"12","3.1410305","45","45"
"13","3.14187125","36","37"
"14","3.141494","39","39"
"15","3.1414865","40","40"
"16","3.14117275","35","35"
"17","3.14198825","43","43"
"18","3.1419525","43","43"
"19","3.141831","36","36"
"20","3.1419295","39","39"
"21","3.14127475","42","42"
"22","3.141491","47","48"
"23","3.14204925","35","35"
"24","3.140973","47","47"
"25","3.141634","47","47"
"26","3.1413965","39","39"
"27","3.142361","36","36"
"28","3.14150975","34","34"
"29","3.1421745","38","38"
"30","3.14172775","36","36"
"31","3.141455","34","34"
"32","3.14115025","32","32"
"33","3.14165325","40","40"
"34","3.14169975","32","32"
"35","3.1418025","36","36"
"36","3.141677","36","36"
"37","3.14102725","43","44"
"38","3.14239675","32","32"
"39","3.141479","34","34"
"40","3.14219525","44","44"
"41","3.14175325","43","43"
"42","3.14133625","34","34"
"43","3.141662","32","32"
"44","3.14126075","39","39"
"45","3.141689","41","41"
"46","3.14082","35","35"
"47","3.1419885","38","38"
"48","3.14085525","35","35"
"49","3.14242075","33","33"
"50","3.14135725","36","36"
"51","3.14087925","28","29"
"52","3.141697","34","34"
"53","3.141774","35","35"
"54","3.1416925","33","33"
"55","3.14187825","33","33"
"56","3.14134625","35","36"
"57","3.1415455","32","32"
"58","3.1411495","33","33"
"59","3.14166375","33","33"
"60","3.14184775","32","32"
"61","3.14145625","33","33"
"62","3.14159425","29","29"
"63","3.1416765","35","35"
"64","3.14265425","37","37"
"65","3.140706","33","33"
"66","3.14182675","29","29"
"67","3.14222725","31","31"
"68","3.141756","32","32"
"69","3.14122075","29","29"
"70","3.1420195","35","36"
"71","3.14139975","32","33"
"72","3.14142225","34","34"
"73","3.14216175","34","34"
"74","3.14125725","30","30"
"75","3.1414715","38","38"
"76","3.1413015","34","34"
"77","3.14190925","30","30"
"78","3.1417195","32","32"
"79","3.14131775","41","41"
"80","3.142029","29","29"
"81","3.1420195","35","35"
"82","3.1417145","34","34"
"83","3.141637","28","28"
"84","3.1418715","32","32"
"85","3.14187025","32","32"
"86","3.1419895","31","31"
"87","3.1422255","33","33"
"88","3.1417195","35","35"
"89","3.14122325","33","33"
"90","3.14235175","31","31"
"91","3.14161125","31","31"
"92","3.14181375","32","32"
"93","3.14179575","32","32"
"94","3.1417905","30","30"
"95","3.14242725","32","32"
"96","3.14117325","28","28"
"97","3.14108025","36","36"
"98","3.1418","28","28"
"99","3.1417785","32","32"
"100","3.141261","32","32"
