"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Total Runtime (ms)"
"1","3.14166525","91","3.14150775","91","3.14091325","91","3.141654","91","102"
"2","3.14275975","85","3.1412205","85","3.142075","85","3.1415495","85","85"
"3","3.1420085","82","3.1411515","82","3.1414575","82","3.1410585","82","82"
"4","3.1415565","85","3.14160675","85","3.14154425","85","3.141739","85","85"
"5","3.14103275","90","3.142138","90","3.14133225","90","3.14135025","90","90"
"6","3.14134475","84","3.14058425","84","3.14145125","84","3.1410615","84","84"
"7","3.14187675","90","3.141026","90","3.14167575","90","3.1412795","90","90"
"8","3.14086775","83","3.14132675","83","3.1413565","83","3.14126425","83","83"
"9","3.1414505","85","3.1415025","85","3.1415175","85","3.140835","85","85"
"10","3.1412975","81","3.1412555","81","3.14149","81","3.1418435","81","81"
"11","3.141928","84","3.1410345","84","3.1412185","84","3.141931","84","84"
"12","3.143087","89","3.14165325","89","3.1416815","89","3.141937","89","89"
"13","3.14141175","88","3.14166225","88","3.14273425","88","3.1414895","88","88"
"14","3.1422845","82","3.14177275","82","3.14142575","82","3.141895","82","82"
"15","3.14154975","85","3.14215475","85","3.1416085","85","3.14079875","85","85"
"16","3.1411895","84","3.1419895","84","3.141646","84","3.14244075","84","84"
"17","3.14169175","81","3.1410075","81","3.1416295","81","3.14161325","81","81"
"18","3.14148975","83","3.14201125","83","3.14188275","83","3.141571","83","83"
"19","3.14240575","83","3.141356","83","3.1413375","83","3.1418345","83","83"
"20","3.14174925","83","3.14166825","83","3.14179975","83","3.141701","83","83"
"21","3.14187625","84","3.1421935","84","3.141653","84","3.141542","84","84"
"22","3.1417785","81","3.142313","81","3.14168","81","3.1421985","81","82"
"23","3.14202225","80","3.1416995","80","3.14145075","80","3.14125525","80","80"
"24","3.14115875","78","3.14130425","78","3.141391","78","3.1411125","78","78"
"25","3.1418515","79","3.141575","79","3.1420215","79","3.14130725","79","79"
"26","3.141831","81","3.14206275","81","3.14096675","81","3.14178675","81","81"
"27","3.1418325","91","3.142559","91","3.14107725","91","3.14107675","91","91"
"28","3.142128","89","3.142309","89","3.14107775","89","3.14178025","89","89"
"29","3.14123725","83","3.14124125","83","3.14121125","83","3.141368","83","83"
"30","3.14157475","87","3.14187975","87","3.1415385","87","3.1419235","87","87"
"31","3.141572","93","3.141786","93","3.142012","93","3.1418455","93","93"
"32","3.14116975","81","3.1417585","81","3.14178325","81","3.14091375","81","81"
"33","3.1417195","85","3.1407235","85","3.14138975","85","3.14170725","85","85"
"34","3.1413805","82","3.14187925","82","3.14177675","82","3.14158975","82","82"
"35","3.14114275","84","3.14198975","84","3.14155775","84","3.14181575","84","84"
"36","3.14145975","81","3.14156975","81","3.14181625","81","3.142302","81","81"
"37","3.14092775","81","3.1415685","81","3.14157375","81","3.14155625","81","81"
"38","3.14175575","87","3.141935","87","3.1415985","87","3.14195175","87","87"
"39","3.14140675","86","3.14108025","86","3.141883","86","3.142388","86","86"
"40","3.142015","85","3.14187475","85","3.14218725","85","3.142171","85","85"
"41","3.14110075","86","3.1420865","86","3.142","86","3.141449","86","86"
"42","3.1415785","99","3.14158475","99","3.1411905","99","3.14163825","99","99"
"43","3.141381","84","3.14188325","84","3.1411475","84","3.14186075","84","84"
"44","3.14111925","80","3.1414515","80","3.1417025","80","3.141268","80","80"
"45","3.14170325","92","3.14165325","92","3.14224725","92","3.1412875","92","92"
"46","3.14186825","87","3.14132075","87","3.14151925","87","3.14171175","87","87"
"47","3.14109075","86","3.1418715","86","3.14187175","86","3.14168325","86","86"
"48","3.141361","83","3.14076125","83","3.14084675","83","3.141501","83","84"
"49","3.1418115","83","3.14142075","83","3.14076825","83","3.14139575","83","83"
