"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Total Runtime (ms)"
"1","3.14151425","115","3.14117975","115","3.1413925","115","3.1407645","115","3.14225025","115","125"
"2","3.14173675","109","3.1410885","109","3.1413915","109","3.1415275","109","3.1413805","109","109"
"3","3.141372","99","3.14128675","99","3.141696","99","3.14108675","99","3.141131","99","99"
"4","3.14184475","105","3.14175325","105","3.14114525","105","3.1413705","105","3.141411","105","106"
"5","3.1417795","116","3.14122525","116","3.14172425","116","3.142389","116","3.140832","116","116"
"6","3.14183825","119","3.14140425","119","3.1414775","119","3.14164025","119","3.141426","119","119"
"7","3.14203625","108","3.14195","108","3.14096","108","3.1407595","108","3.14108","108","108"
"8","3.14205825","109","3.1413475","109","3.14139675","109","3.14147525","109","3.140964","109","109"
"9","3.1418","111","3.14143575","111","3.14214875","111","3.1412915","111","3.1417345","111","111"
"10","3.141393","103","3.141389","103","3.14159325","103","3.141652","103","3.14115775","103","103"
"11","3.1415215","106","3.14209525","106","3.14184675","106","3.14176925","106","3.1413545","106","106"
"12","3.1417135","105","3.142157","105","3.1421865","105","3.14158375","105","3.141844","105","105"
"13","3.14197575","104","3.1417055","104","3.14138775","104","3.14164225","104","3.14183925","104","104"
"14","3.1413845","101","3.14189875","101","3.14117675","101","3.1417055","101","3.14162975","101","101"
"15","3.14148925","104","3.14165375","104","3.140888","104","3.14184825","104","3.14201475","104","104"
"16","3.14188075","109","3.141671","109","3.14158925","109","3.141165","109","3.14175725","109","109"
"17","3.141367","98","3.1422655","98","3.14137475","98","3.1412975","98","3.141773","98","98"
"18","3.142039","107","3.141087","107","3.14164375","107","3.141823","107","3.14138625","107","107"
"19","3.14074675","108","3.14110025","108","3.141125","108","3.1413345","108","3.14109325","108","108"
"20","3.14205575","104","3.14116625","104","3.141921","104","3.1412925","104","3.14150575","104","104"
"21","3.14078375","109","3.14084775","109","3.141587","109","3.14187725","109","3.14155","109","109"
"22","3.141719","112","3.14205325","112","3.142005","112","3.141441","112","3.14185525","112","112"
"23","3.141975","103","3.1415855","103","3.1412285","103","3.14168375","103","3.141506","103","103"
"24","3.1415935","109","3.14153175","109","3.142277","109","3.1408205","109","3.14157425","109","110"
