"JPPF driver statistics" 
 
Execution 
 
"Total tasks executed" 50000
"Cumulated exec time" 1.88E+07
"Latest exec time" 416
"Min exec time" 0
"Max exec time" 1660
"Avg exec time" 375.15624
 
"Node Execution" 
 
"Cumulated node exec time" 10761
"Latest node exec time" 0
"Min node exec time" 0
"Max node exec time" 108
"Avg node exec time" 0.21522
 
"Network overhead" 
 
"Cumulated transport time" 1.87E+07
"Latest transport time" 416
"Min transport time" 0
"Max transport time" 1660
"Avg transport time" 374.94102
 
Jobs 
 
"Total submitted jobs" 508
"Latest number of jobs" 0
"Max number of jobs" 100
"Latest job exec time" 156976
"Min job exec time" 43
"Max job exec time" 157576
"Avg job exec time" 147775.781496063
"Min number of tasks in a job" 1
"Max number of tasks in a job" 1
"Avg number of tasks in a job" 1
 
"Job dispatches" 
 
"Total job dispatches" 50000
"Latest job dispatches" 0
"Max job dispatches" 162
"Latest dispatch time" 828
"Min dispatch time" 1
"Max dispatch time" 5992
"Avg dispatch time" 548.73136
"Min tasks in a dispatch" 1
"Max tasks in a dispatch" 1
"Avg tasks in a dispatch" 1
 
"Tasks distribution" 
 
"Min number of tasks in a job" 1
"Max number of tasks in a job" 1
"Avg number of tasks in a job" 1
"Min tasks in a dispatch" 1
"Max tasks in a dispatch" 1
"Avg tasks in a dispatch" 1
"Min dispatches per job" 1
"Max dispatches per job" 100
"Avg dispatches per job" 98.4251968503937
 
Queue 
 
"Latest queue time" 156142
"Cumulated queue time" 4.49E+09
"Min queue time" 0
"Max queue time" 157163
"Avg queue time" 89779.31848
"Total queued" 50000
"Queue Size" 0
"Max queue Size" 9988
 
Connections 
 
"number of nodes" 2
"Max number of nodes" 2
"Idle nodes" 2
"Busy nodes" 0
"number of clients" -11
"Max number of clients" 101
 
"Node Class Loading" 
 
"Total requests from nodes" 70
"Avg node request time" 1.1
"Min node request time" 0
"Max node request time" 18
"Latest node request time" 1
 
"Client Class Loading" 
 
"Total requests to clients" 4
"Avg client request time" 6.9249085
"Min client request time" 1.485955
"Max client request time" 12.450785
"Latest client request time" 1.485955
 
"Inbound network traffic (MB)" 
 
"Traffic from clients" 1.74E+08
"Traffic from nodes" 1.14E+08
"JMX inbound traffic" 371672
"Total inbound traffic" 2.88E+08
 
"Outbound network traffic (MB)" 
 
"Traffic to clients" 1.09E+08
"Traffic to nodes" 1.81E+08
"JMX outbound traffic" 2.47E+08
"Total outbound traffic" 5.38E+08
