JPPF driver statistics,
,
Execution,
,
Total tasks executed,1000000
Cumulated exec time,2.55E+08
Latest exec time,389
Min exec time,0
Max exec time,678
Avg exec time,254.933141
,
Node Execution,
,
Cumulated node exec time,2.37E+07
Latest node exec time,57
Min node exec time,0
Max node exec time,201
Avg node exec time,23.666221
,
Network overhead,
,
Cumulated transport time,2.31E+08
Latest transport time,332
Min transport time,0
Max transport time,555
Avg transport time,231.26692
,
Jobs,
,
Total submitted jobs,14834
Latest number of jobs,0
Max number of jobs,100
Latest job exec time,1068
Min job exec time,0
Max job exec time,1276
Avg job exec time,672.47438317379
Min number of tasks in a job,1
Max number of tasks in a job,1
Avg number of tasks in a job,1
,
Job dispatches,
,
Total job dispatches,1000000
Latest job dispatches,0
Max job dispatches,6592
Latest dispatch time,390
Min dispatch time,0
Max dispatch time,678
Avg dispatch time,255.525994
Min tasks in a dispatch,1
Max tasks in a dispatch,1
Avg tasks in a dispatch,1
,
Tasks distribution,
,
Min number of tasks in a job,1
Max number of tasks in a job,1
Avg number of tasks in a job,1
Min tasks in a dispatch,1
Max tasks in a dispatch,1
Avg tasks in a dispatch,1
Min dispatches per job,1
Max dispatches per job,100
Avg dispatches per job,67.4127005527841
,
Queue,
,
Latest queue time,678
Cumulated queue time,2.59E+08
Min queue time,0
Max queue time,1078
Avg queue time,258.512714
Total queued,1000000
Queue Size,0
Max queue Size,2411
,
Connections,
,
number of nodes,1
Max number of nodes,1
Idle nodes,1
Busy nodes,0
number of clients,-47
Max number of clients,101
,
Node Class Loading,
,
Total requests from nodes,69
Avg node request time,0.217391304347826
Min node request time,0
Max node request time,11
Latest node request time,4
,
Client Class Loading,
,
Total requests to clients,2
Avg client request time,6.6560905
Min client request time,2.888545
Max client request time,10.423636
Latest client request time,2.888545
,
Inbound network traffic (MB),
,
Traffic from clients,3.48E+09
Traffic from nodes,2.27E+09
JMX inbound traffic,714113
Total inbound traffic,5.75E+09
,
Outbound network traffic (MB),
,
Traffic to clients,2.15E+09
Traffic to nodes,3.62E+09
JMX outbound traffic,4.93E+09
Total outbound traffic,1.07E+10
