Thread Pool Count,Average Result,Average Job Runtime (ms),Average Total Runtime (ms),Full Benchmark Duration (s)
1,3.1416045856,1613,1772,178
2,3.1415920528,893,1011,101
3,3.141616658,881,986,99
4,3.141601936,854,954,96
5,3.141587854,876,999,100
6,3.1415902644,823,944,95
7,3.141598946,887,1004,101
8,3.141592988,877,998,100
9,3.1415932804,905,999,100
10,3.141587152,903,1026,103
11,3.1416139492,896,1020,102
12,3.1415957048,909,1050,105
13,3.1415751264,914,1036,104
14,3.1415897508,952,1063,107
15,3.141599978,951,1076,108
16,3.1415531556,972,1072,108
